Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,46.58,46.58,46.09,46.28,995300,0.0,0
2009-12-08,46.04,46.42,45.76,45.85,1428500,0.0,0
2009-12-09,45.99,46.33,45.54,46.2,1455800,0.0,0
2009-12-10,46.39,46.65,46.2,46.55,1444600,0.0,0
2009-12-11,46.58,47.35,46.42,47.1,1362400,0.0,0
2009-12-14,47.27,47.63,47.11,47.35,1003200,0.0,0
2009-12-15,47.18,47.59,46.93,47.54,1011800,0.0,0
2009-12-16,47.58,47.84,47.41,47.69,1140500,0.0,0
2009-12-17,47.61,47.81,46.61,46.62,967700,0.0,0
2009-12-18,47.81,47.81,46.5,46.95,1617200,0.0,0
2009-12-21,46.88,47.28,46.86,47.16,951700,0.0,0
2009-12-22,47.31,47.66,46.91,47.44,645000,0.0,0
2009-12-23,47.51,47.8,47.4,47.56,774400,0.0,0
2009-12-24,47.45,48.02,47.45,48.02,177500,0.0,0
2009-12-28,47.91,48.31,47.79,48.3,529700,0.0,0
2009-12-29,48.4,48.76,48.3,48.61,597300,0.0,0
2009-12-30,48.4,48.66,48.36,48.61,443700,0.0,0
2009-12-31,48.68,48.77,48.01,48.03,601300,0.0,0
2010-01-04,48.38,48.45,47.77,48.36,773700,0.0,0
2010-01-05,48.4,48.49,47.9,48.14,677800,0.0,0
2010-01-06,48.13,48.52,48.08,48.31,1060200,0.0,0
2010-01-07,48.57,48.57,47.85,48.18,981500,0.0,0
2010-01-08,48.14,48.33,47.59,48.29,635900,0.0,0
2010-01-11,48.53,48.61,48.0,48.18,449700,0.0,0
2010-01-12,48.15,48.75,48.08,48.73,770600,0.0,0
2010-01-13,48.73,49.0,48.54,48.71,478300,0.0,0
2010-01-14,48.58,48.75,48.3,48.31,653100,0.0,0
2010-01-15,48.23,48.68,47.91,48.15,693900,0.0,0
2010-01-19,48.06,48.61,48.06,48.57,464700,0.0,0
2010-01-20,48.34,48.34,47.56,47.93,549100,0.0,0
2010-01-21,47.87,48.32,46.89,47.11,1038500,0.0,0
2010-01-22,46.96,47.07,46.45,46.65,858600,0.0,0
2010-01-25,46.93,47.08,46.44,46.96,467200,0.0,0
2010-01-26,46.87,47.3,46.39,47.22,786300,0.0,0
2010-01-27,47.13,47.62,47.13,47.56,643600,0.0,0
2010-01-28,47.56,47.66,47.18,47.44,577200,0.0,0
2010-01-29,47.53,47.53,46.62,46.72,802100,0.0,0
2010-02-01,46.81,47.58,46.75,47.54,657500,0.0,0
2010-02-02,47.61,48.54,47.61,48.5,781800,0.0,0
2010-02-03,48.49,48.49,47.79,48.12,499400,0.0,0
2010-02-04,47.91,47.96,46.88,46.9,652500,0.0,0
2010-02-05,46.7,46.85,45.92,46.29,1000100,0.0,0
2010-02-08,46.32,46.65,46.03,46.19,378200,0.0,0
2010-02-09,46.61,47.26,46.47,46.7,638400,0.0,0
2010-02-10,46.9,46.9,46.51,46.72,359300,0.35,0
2010-02-11,46.62,46.84,46.11,46.71,620800,0.0,0
2010-02-12,46.42,46.72,45.93,46.18,939200,0.0,0
2010-02-16,46.27,46.94,46.18,46.83,655200,0.0,0
2010-02-17,46.78,47.4,46.7,47.21,695400,0.0,0
2010-02-18,47.2,47.76,47.19,47.65,447100,0.0,0
2010-02-19,47.52,47.88,47.3,47.37,821800,0.0,0
2010-02-22,47.53,47.69,47.15,47.25,802100,0.0,0
2010-02-23,47.22,47.38,46.72,47.03,1380600,0.0,0
2010-02-24,47.06,47.06,45.16,45.9,3051200,0.0,0
