Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,47.47,48.38,46.97,47.74,6854400,0.0,0
2009-12-08,47.47,47.59,46.35,46.68,8014400,0.0,0
2009-12-09,46.88,47.15,45.89,46.7,9348800,0.0,0
2009-12-10,47.22,47.92,46.83,47.83,8126200,0.0,0
2009-12-11,48.01,48.28,47.46,47.76,5705200,0.0,0
2009-12-14,48.29,48.53,47.96,48.21,4879600,0.0,0
2009-12-15,48.33,49.09,48.04,48.42,6608200,0.0,0
2009-12-16,48.67,50.11,48.6,49.43,7310400,0.0,0
2009-12-17,49.06,49.4,48.55,48.68,5978200,0.0,0
2009-12-18,49.17,49.53,48.74,48.98,10903200,0.0,0
2009-12-21,49.37,50.46,49.18,49.62,5884500,0.0,0
2009-12-22,49.83,50.38,49.6,49.78,4906700,0.0,0
2009-12-23,50.57,51.28,50.22,50.75,5447500,0.0,0
2009-12-24,50.89,51.19,50.7,50.84,1492400,0.0,0
2009-12-28,51.32,51.69,50.92,51.13,3665800,0.0,0
2009-12-29,51.35,51.57,50.4,50.73,3381600,0.0,0
2009-12-30,50.53,51.04,50.32,51.01,2798700,0.0,0
2009-12-31,51.07,51.35,50.61,50.64,3451200,0.0,0
2010-01-04,51.65,52.28,51.44,52.21,5771300,0.0,0
2010-01-05,52.12,52.61,51.92,52.36,7365300,0.0,0
2010-01-06,52.26,53.64,52.15,53.53,9950000,0.0,0
2010-01-07,53.29,54.31,53.07,54.08,7691900,0.0,0
2010-01-08,53.83,56.02,53.75,54.97,13487200,0.0,0
2010-01-11,55.47,55.68,53.97,54.97,10301600,0.0,0
2010-01-12,53.84,55.01,53.53,54.14,9407300,0.0,0
2010-01-13,54.24,55.3,53.08,55.12,8803900,0.0,0
2010-01-14,54.55,55.89,54.55,55.47,7211800,0.0,0
2010-01-15,55.41,56.0,54.57,55.11,12585500,0.0,0
2010-01-19,54.36,55.43,54.1,55.19,7363000,0.0,0
2010-01-20,54.28,54.58,52.89,53.75,10724500,0.0,0
2010-01-21,53.7,54.07,52.53,53.15,11573600,0.0,0
2010-01-22,52.43,53.2,50.51,50.76,14339800,0.0,0
2010-01-25,51.11,51.8,50.18,51.2,9890500,0.0,0
2010-01-26,50.77,52.71,50.39,51.16,9105700,0.0,0
2010-01-27,50.93,51.58,50.43,51.12,9693300,0.0,0
2010-01-28,51.44,51.93,49.97,50.28,8888400,0.0,0
2010-01-29,50.88,51.5,48.93,49.37,11921200,0.0,0
2010-02-01,50.03,50.73,49.74,50.41,8508100,0.0,0
2010-02-02,50.96,51.76,50.55,51.44,7972100,0.0,0
2010-02-03,51.13,52.03,51.02,51.34,6110700,0.0,0
2010-02-04,50.56,50.72,48.49,48.63,9732100,0.0,0
2010-02-05,48.71,49.15,46.88,48.28,11505100,0.0,0
2010-02-08,48.42,49.55,47.9,48.33,7956800,0.0,0
2010-02-09,49.12,50.56,49.02,49.61,9163500,0.0,0
2010-02-10,49.49,49.99,48.51,49.52,6904200,0.0,0
2010-02-11,49.45,50.49,48.67,50.39,7325000,0.0,0
2010-02-12,49.72,50.53,49.27,50.19,8400000,0.21,0
2010-02-16,50.99,51.32,50.4,51.24,6115900,0.0,0
2010-02-17,51.38,51.52,50.64,51.07,6430200,0.0,0
2010-02-18,51.42,51.77,50.81,51.37,7704400,0.0,0
2010-02-19,49.46,50.26,49.16,49.88,18088700,0.0,0
2010-02-22,46.9,48.35,46.64,48.06,87130600,0.0,0
2010-02-23,48.0,48.18,46.96,47.52,35857500,0.0,0
2010-02-24,47.72,48.0,47.11,47.54,22980900,0.0,0
2010-02-25,46.9,47.57,46.38,47.47,17558200,0.0,0
2010-02-26,47.72,47.93,47.24,47.69,15524000,0.0,0
2010-03-01,48.26,48.38,47.58,47.94,12843400,0.0,0
2010-03-02,48.08,49.08,47.61,49.03,17688300,0.0,0
2010-03-03,49.48,49.98,49.2,49.36,15293200,0.0,0
2010-03-04,49.36,49.75,48.61,49.08,12989200,0.0,0
2010-03-05,49.5,49.91,49.34,49.81,11023900,0.0,0
2010-03-08,49.82,50.46,49.78,50.33,12253000,0.0,0
2010-03-09,49.99,50.4,49.72,50.03,12032000,0.0,0
2010-03-10,49.96,50.36,49.36,50.11,11854600,0.0,0
2010-03-11,50.0,50.1,49.45,49.88,8021300,0.0,0
2010-03-12,50.09,50.48,49.8,50.38,8398200,0.0,0
2010-03-15,50.03,50.48,49.41,50.2,10054100,0.0,0
2010-03-16,50.59,51.25,50.09,51.14,9911800,0.0,0
2010-03-17,51.34,52.28,51.13,51.99,12425700,0.0,0
2010-03-18,51.91,52.09,50.58,50.93,12906100,0.0,0
2010-03-19,50.21,51.35,49.75,50.21,18665900,0.0,0
2010-03-22,48.94,50.19,48.43,49.56,15691300,0.0,0
2010-03-23,49.59,49.93,49.0,49.2,10663100,0.0,0
2010-03-24,48.72,49.42,48.4,48.56,11762400,0.0,0
2010-03-25,49.06,49.37,47.36,47.43,12399200,0.0,0
2010-03-26,47.71,48.39,47.69,48.14,11645300,0.0,0
2010-03-29,48.64,49.49,48.54,49.23,10952500,0.0,0
2010-03-30,49.41,49.82,49.0,49.21,10340600,0.0,0
2010-03-31,49.51,49.61,49.13,49.53,11957700,0.0,0
2010-04-01,50.14,50.64,49.93,50.4,11194100,0.0,0
2010-04-05,50.76,51.7,50.55,51.34,9733800,0.0,0
2010-04-06,51.43,52.31,51.36,52.13,10429500,0.0,0
2010-04-07,52.18,52.18,51.27,51.55,9757000,0.0,0
2010-04-08,51.11,52.13,50.77,52.0,8790900,0.0,0
2010-04-09,52.35,52.57,51.7,51.93,7648400,0.0,0
2010-04-12,51.67,52.17,51.63,51.76,5928200,0.0,0
2010-04-13,51.83,51.83,50.43,51.13,10312400,0.0,0
2010-04-14,51.52,52.63,51.34,52.38,9175700,0.0,0
2010-04-15,52.31,52.69,52.05,52.46,5998100,0.0,0
2010-04-16,51.88,52.42,50.63,51.36,11292900,0.0,0
2010-04-19,50.88,51.45,50.35,50.92,9762400,0.0,0
2010-04-20,51.83,53.08,51.67,52.96,11961900,0.0,0
2010-04-21,52.99,53.47,52.43,53.09,8688900,0.0,0
2010-04-22,52.5,53.4,52.13,53.22,11255300,0.0,0
2010-04-23,54.75,57.13,54.56,56.73,22082900,0.0,0
2010-04-26,56.67,57.11,56.4,56.74,10580700,0.0,0
2010-04-27,56.51,56.66,54.64,54.88,14671400,0.0,0
2010-04-28,55.24,55.53,53.95,55.43,10860300,0.0,0
2010-04-29,56.41,57.75,55.65,57.1,27991300,0.0,0
2010-04-30,57.24,57.61,55.05,55.75,24492000,0.0,0
2010-05-03,55.51,56.19,54.69,55.66,14228400,0.0,0
2010-05-04,54.29,55.08,53.48,53.82,14154100,0.0,0
2010-05-05,52.58,53.33,51.86,52.53,14303300,0.0,0
2010-05-06,52.39,53.16,47.61,51.01,18571600,0.0,0
2010-05-07,50.42,51.24,48.56,49.07,21513600,0.0,0
2010-05-10,51.14,52.3,51.14,52.17,19198700,0.0,0
2010-05-11,51.54,52.99,51.49,52.17,11655400,0.0,0
2010-05-12,52.54,52.81,51.21,52.02,11561700,0.0,0
2010-05-13,52.35,53.33,51.5,52.25,9807600,0.0,0
2010-05-14,51.94,52.05,49.97,50.64,12514100,0.0,0
2010-05-17,50.91,51.04,48.79,50.07,12538500,0.0,0
2010-05-18,50.82,51.63,49.53,49.75,13130100,0.0,0
2010-05-19,49.53,50.28,48.11,48.86,15471800,0.0,0
2010-05-20,47.55,47.74,46.0,46.23,19423500,0.0,0
2010-05-21,45.11,47.36,44.92,47.22,21535400,0.0,0
2010-05-24,46.94,47.26,44.92,44.96,19525800,0.0,0
2010-05-25,43.75,45.73,43.45,45.63,20573000,0.0,0
2010-05-26,46.31,47.1,45.78,45.86,17318000,0.0,0
2010-05-27,47.29,47.68,45.74,46.85,20613000,0.0,0
2010-05-28,46.59,46.85,43.44,43.98,27777000,0.21,0
2010-06-01,42.65,42.65,40.47,40.54,35731200,0.0,0
2010-06-02,42.08,44.19,41.79,44.11,26839300,0.0,0
2010-06-03,44.91,45.06,42.65,44.36,25274400,0.0,0
