Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,31.67,31.87,31.48,31.72,354200,0.0,0
2009-12-08,31.59,31.62,30.98,31.59,698200,0.0,0
2009-12-09,31.47,31.59,31.23,31.49,237400,0.0,0
2009-12-10,31.73,32.15,31.66,31.77,232900,0.0,0
2009-12-11,31.88,32.17,31.75,32.13,229700,0.0,0
2009-12-14,32.52,32.68,32.17,32.59,380600,0.0,0
2009-12-15,32.39,32.93,32.24,32.79,388300,0.0,0
2009-12-16,32.84,33.37,32.69,32.97,437600,0.0,0
2009-12-17,32.58,32.94,32.58,32.69,351900,0.0,0
2009-12-18,32.73,32.98,32.56,32.84,481000,0.0,0
2009-12-21,32.88,33.4,32.88,33.15,368500,0.0,0
2009-12-22,33.17,34.75,33.17,34.69,771900,0.0,0
2009-12-23,34.65,35.72,34.65,35.52,731900,0.0,0
2009-12-24,35.68,35.95,35.58,35.74,130400,0.0,0
2009-12-28,35.79,35.99,35.36,35.52,252900,0.0,0
2009-12-29,35.75,35.78,35.37,35.41,236400,0.0,0
2009-12-30,35.27,35.59,35.02,35.13,337900,0.0,0
2009-12-31,35.23,35.24,34.66,34.66,259600,0.0,0
2010-01-04,35.06,35.32,34.87,35.16,268000,0.0,0
2010-01-05,34.97,35.28,34.81,35.14,392700,0.0,0
2010-01-06,35.14,35.41,34.96,35.34,658400,0.0,0
2010-01-07,35.16,35.93,35.16,35.93,405200,0.0,0
2010-01-08,35.75,36.73,35.67,36.67,384600,0.0,0
2010-01-11,36.78,36.88,36.53,36.83,521100,0.0,0
2010-01-12,36.47,36.59,35.87,36.06,462300,0.0,0
2010-01-13,36.09,36.34,35.91,36.29,244800,0.0,0
2010-01-14,36.14,36.43,36.03,36.17,267000,0.0,0
2010-01-15,36.04,36.26,35.41,35.6,407800,0.0,0
2010-01-19,35.55,36.1,35.55,36.1,310300,0.0,0
2010-01-20,35.66,35.91,35.25,35.67,277600,0.0,0
2010-01-21,35.59,35.89,35.2,35.59,686700,0.0,0
2010-01-22,35.61,35.9,35.32,35.44,558100,0.0,0
2010-01-25,35.77,35.84,35.11,35.33,409800,0.0,0
2010-01-26,35.32,35.48,34.99,35.0,404400,0.0,0
2010-01-27,34.81,34.97,33.92,34.61,432500,0.0,0
