Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,21.05,21.17,20.91,20.98,1971300,0,0
2009-12-08,20.87,20.93,20.66,20.74,1897300,0,0
2009-12-09,20.64,20.85,20.48,20.79,1474700,0,0
2009-12-10,20.83,21.0,20.71,20.73,1516800,0,0
2009-12-11,20.78,20.81,20.44,20.49,1244000,0,0
2009-12-14,20.59,20.88,20.39,20.87,2541700,0,0
2009-12-15,20.73,20.83,20.55,20.66,1218500,0,0
2009-12-16,20.68,20.85,20.62,20.66,1153100,0,0
2009-12-17,20.56,20.98,20.43,20.94,2636600,0,0
2009-12-18,21.14,21.47,21.09,21.46,3728900,0,0
2009-12-21,21.45,21.73,21.39,21.7,1845200,0,0
2009-12-22,21.72,22.2,21.68,22.03,1647400,0,0
2009-12-23,22.11,22.11,21.97,22.07,1281100,0,0
2009-12-24,22.12,22.27,22.0,22.2,638200,0,0
2009-12-28,22.28,22.34,22.13,22.21,1566600,0,0
2009-12-29,22.22,22.31,22.21,22.26,1050800,0,0
2009-12-30,22.16,22.43,22.16,22.36,1016000,0,0
2009-12-31,22.4,22.46,22.28,22.28,1195700,0,0
2010-01-04,22.21,22.57,22.21,22.44,1883600,0,0
2010-01-05,22.37,22.5,22.09,22.25,1723700,0,0
2010-01-06,22.19,22.29,22.07,22.21,1214800,0,0
2010-01-07,22.21,22.22,22.02,22.15,1024100,0,0
2010-01-08,22.1,22.32,22.06,22.31,736000,0,0
2010-01-11,22.33,22.35,22.02,22.12,1097800,0,0
2010-01-12,21.97,22.08,21.78,21.8,1981200,0,0
2010-01-13,21.79,22.05,21.74,22.01,999700,0,0
2010-01-14,21.97,22.22,21.95,22.19,1026900,0,0
2010-01-15,22.12,22.2,21.92,21.97,1210800,0,0
2010-01-19,21.93,22.04,21.85,21.98,1850700,0,0
2010-01-20,21.89,22.04,21.7,21.98,1636400,0,0
2010-01-21,22.05,22.35,21.95,22.22,1906600,0,0
2010-01-22,22.22,22.27,21.88,21.89,2363200,0,0
2010-01-25,21.98,22.03,21.65,21.74,1416100,0,0
2010-01-26,21.68,21.72,21.39,21.46,1016300,0,0
2010-01-27,21.38,21.59,21.2,21.53,1301500,0,0
2010-01-28,21.49,21.52,20.92,21.14,1464800,0,0
2010-01-29,21.23,21.5,21.1,21.27,1974700,0,0
2010-02-01,21.37,21.46,21.22,21.36,993800,0,0
2010-02-02,21.33,21.72,21.24,21.34,1374800,0,0
2010-02-03,21.26,21.45,21.13,21.4,1293500,0,0
2010-02-04,21.25,21.26,21.02,21.05,1207000,0,0
2010-02-05,21.07,21.2,20.81,21.17,1299900,0,0
2010-02-08,21.14,21.24,20.89,20.95,739000,0,0
2010-02-09,21.07,21.21,20.87,21.06,953400,0,0
2010-02-10,21.02,21.24,20.99,21.14,680100,0,0
2010-02-11,21.04,21.14,20.9,21.07,1219600,0,0
2010-02-12,20.96,21.53,20.71,21.51,1527000,0,0
2010-02-16,21.5,21.62,21.12,21.21,1799700,0,0
2010-02-17,21.15,22.17,21.15,22.1,2296500,0,0
2010-02-18,22.03,22.14,21.75,21.79,2045700,0,0
2010-02-19,21.7,21.81,21.31,21.35,2884300,0,0
2010-02-22,21.45,22.09,21.33,22.04,2116800,0,0
2010-02-23,21.93,22.16,21.86,21.9,1875700,0,0
2010-02-24,21.89,22.05,21.89,22.04,1516300,0,0
2010-02-25,21.93,22.03,21.69,22.02,1411100,0,0
2010-02-26,22.07,22.07,21.85,21.9,946800,0,0
2010-03-01,21.72,22.08,21.72,22.08,2021800,0,0
2010-03-02,22.07,22.25,22.07,22.21,1850200,0,0
2010-03-03,22.17,22.34,22.05,22.19,797700,0,0
2010-03-04,22.17,22.3,22.1,22.27,770700,0,0
2010-03-05,22.3,22.49,22.21,22.44,692300,0,0
2010-03-08,22.35,22.5,22.33,22.46,614000,0,0
2010-03-09,22.37,22.64,22.37,22.54,834300,0,0
2010-03-10,22.47,22.75,22.47,22.75,975400,0,0
2010-03-11,22.63,22.8,22.57,22.65,1019300,0,0
2010-03-12,22.76,22.76,22.55,22.75,617000,0,0
2010-03-15,22.66,22.75,22.45,22.65,743000,0,0
2010-03-16,22.51,22.64,22.38,22.62,1027500,0,0
2010-03-17,22.6,22.76,22.44,22.66,1048600,0,0
2010-03-18,22.58,22.86,22.58,22.77,832500,0,0
