Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,19.04,19.25,18.78,18.92,5514400,0.0,0
2009-12-08,18.65,19.1,18.58,18.82,4281100,0.0,0
2009-12-09,19.05,19.05,18.52,18.57,4579200,0.0,0
2009-12-10,18.61,18.73,18.27,18.33,4021400,0.0,0
2009-12-11,18.4,18.67,18.24,18.66,3721100,0.0,0
2009-12-14,18.73,18.73,18.21,18.63,3829200,0.0,0
2009-12-15,18.48,18.54,17.4,17.56,12168700,0.0,0
2009-12-16,17.74,17.91,17.31,17.44,7636400,0.0,0
2009-12-17,17.27,17.73,17.14,17.21,7921400,0.0,0
2009-12-18,17.09,17.6,16.76,17.57,11278100,0.0,0
2009-12-21,17.54,17.77,17.38,17.75,4564900,0.0,0
2009-12-22,17.67,17.71,17.36,17.44,5423900,0.0,0
2009-12-23,17.4,17.5,16.94,16.96,4988900,0.0,0
2009-12-24,17.09,17.43,17.09,17.35,2008500,0.0,0
2009-12-28,17.25,17.49,17.1,17.19,3800900,0.0,0
2009-12-29,17.28,17.37,17.09,17.19,2665000,0.0,0
2009-12-30,17.06,17.14,16.78,16.88,3498500,0.0,0
2009-12-31,16.9,17.12,16.84,16.97,3784800,0.0,0
2010-01-04,17.27,17.3,16.9,17.09,6668600,0.0,0
2010-01-05,16.98,17.38,16.86,17.33,8285700,0.0,0
2010-01-06,17.24,17.96,17.0,17.81,8224800,0.0,0
2010-01-07,17.9,19.48,17.6,18.87,15574600,0.0,0
2010-01-08,18.76,19.27,18.67,19.24,6714700,0.0,0
2010-01-11,19.33,19.53,19.0,19.46,7180200,0.0,0
2010-01-12,19.26,19.32,18.72,18.78,9228700,0.0,0
2010-01-13,18.91,19.15,18.49,19.05,8276800,0.0,0
2010-01-14,19.05,20.06,18.95,19.82,7962100,0.0,0
2010-01-15,19.65,19.74,19.19,19.56,10337100,0.0,0
2010-01-19,19.47,19.63,19.24,19.53,5851900,0.0,0
2010-01-20,19.45,20.01,19.33,19.59,8259000,0.0,0
2010-01-21,19.68,21.65,19.66,20.51,18108000,0.0,0
2010-01-22,20.51,21.47,19.79,20.53,20884600,0.0,0
2010-01-25,20.52,20.66,19.29,20.07,12374200,0.0,0
2010-01-26,19.84,20.39,19.62,19.75,9918600,0.0,0
2010-01-27,19.71,20.75,19.6,20.66,11197700,0.0,0
2010-01-28,21.75,21.91,20.55,20.75,20523500,0.0,0
2010-01-29,20.56,20.72,20.24,20.35,13430100,0.0,0
2010-02-01,20.46,20.56,19.77,20.49,11481000,0.0,0
2010-02-02,20.49,20.64,20.05,20.3,11749100,0.0,0
2010-02-03,20.11,20.11,19.12,19.46,13874900,0.0,0
2010-02-04,19.42,19.49,18.33,18.4,12493100,0.0,0
2010-02-05,18.37,18.96,17.93,18.81,9157500,0.0,0
2010-02-08,18.71,19.31,18.27,18.73,7662000,0.0,0
2010-02-09,18.91,19.29,18.73,18.98,5773100,0.0,0
2010-02-10,18.89,19.58,18.81,19.23,5819800,0.0,0
2010-02-11,19.19,19.24,18.72,18.8,9105600,0.0,0
2010-02-12,18.62,18.73,18.23,18.71,8346600,0.0,0
2010-02-16,18.99,19.14,18.84,18.98,9008200,0.0,0
2010-02-17,19.16,19.25,18.74,18.9,9022600,0.0,0
2010-02-18,18.77,19.05,18.47,18.92,9492600,0.0,0
2010-02-19,18.94,19.34,18.94,19.26,7952400,0.0,0
2010-02-22,19.37,19.99,19.28,19.78,7016700,0.0,0
2010-02-23,19.83,19.85,18.98,19.03,7776400,0.0,0
2010-02-24,19.11,19.96,19.04,19.88,8697700,0.0,0
2010-02-25,19.57,19.7,19.18,19.68,6841500,0.01,0
