Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,10.69,10.94,10.69,10.7,6184200,0.0,0
2009-12-08,10.6,10.77,10.53,10.56,5646900,0.0,0
2009-12-09,10.52,10.79,10.38,10.76,6300900,0.0,0
2009-12-10,10.78,10.84,10.61,10.63,8940000,0.0,0
2009-12-11,10.68,10.74,10.43,10.58,5672700,0.0,0
2009-12-14,10.57,10.75,10.51,10.67,4614900,0.0,0
2009-12-15,10.63,10.69,10.48,10.56,4423200,0.0,0
2009-12-16,10.66,11.19,10.66,11.12,13206300,0.0,0
2009-12-17,11.05,11.23,10.9,11.12,9060200,0.0,0
2009-12-18,11.18,11.25,10.97,11.25,10122700,0.0,0
2009-12-21,11.48,11.52,11.29,11.39,10066500,0.0,0
2009-12-22,11.43,11.5,11.34,11.48,7103800,0.0,0
2009-12-23,11.59,11.63,11.52,11.56,5651400,0.0,0
2009-12-24,11.59,11.66,11.55,11.64,1995200,0.0,0
2009-12-28,11.71,11.82,11.45,11.57,4939700,0.0,0
2009-12-29,11.58,11.59,11.25,11.47,7119700,0.0,0
2009-12-30,11.49,11.89,11.45,11.88,9471900,0.0,0
2009-12-31,11.87,11.97,11.72,11.72,6022500,0.0,0
2010-01-04,11.96,12.22,11.85,12.17,11116900,0.0,0
2010-01-05,12.15,12.26,11.87,11.93,14536200,0.0,0
2010-01-06,11.87,12.01,11.74,11.84,7171200,0.0,0
2010-01-07,11.85,11.86,11.56,11.62,8556300,0.0,0
2010-01-08,11.32,11.65,11.26,11.52,11329000,0.0,0
2010-01-11,11.76,12.01,11.74,11.82,11497500,0.0,0
2010-01-12,11.77,11.88,11.32,11.41,11522800,0.0,0
2010-01-13,11.56,11.79,11.33,11.72,8800200,0.0,0
2010-01-14,11.7,11.91,11.6,11.81,6398700,0.0,0
2010-01-15,11.79,11.98,11.29,11.45,13716200,0.0,0
2010-01-19,11.52,11.77,11.45,11.7,7802900,0.0,0
2010-01-20,11.69,11.71,11.25,11.44,16283900,0.0,0
2010-01-21,12.78,13.08,12.46,12.55,35144100,0.0,0
2010-01-22,12.48,12.64,11.77,11.85,20111600,0.0,0
2010-01-25,12.1,12.28,11.97,12.19,15582000,0.0,0
2010-01-26,12.17,12.64,12.08,12.44,16018200,0.0,0
2010-01-27,12.38,12.51,12.03,12.29,15416200,0.0,0
2010-01-28,12.36,12.42,11.68,11.83,14128500,0.0,0
2010-01-29,11.82,11.92,10.61,10.76,28653200,0.0,0
2010-02-01,11.1,11.58,10.99,11.53,18205800,0.0,0
2010-02-02,11.52,11.98,11.45,11.97,17569900,0.0,0
2010-02-03,11.83,12.15,11.76,12.13,16905200,0.0,0
2010-02-04,11.7,11.9,11.45,11.61,21505800,0.0,0
2010-02-05,11.66,11.72,11.25,11.61,23836800,0.0,0
2010-02-08,11.63,12.07,11.49,11.71,14937100,0.0,0
2010-02-09,11.95,12.07,11.74,11.81,12415000,0.0,0
2010-02-10,11.83,12.02,11.7,11.9,9770100,0.0,0
2010-02-11,11.91,12.13,11.72,12.08,8142000,0.0,0
2010-02-12,11.95,12.15,11.69,12.04,11482500,0.0,0
2010-02-16,12.11,12.78,12.11,12.71,19036400,0.0,0
2010-02-17,12.84,12.91,12.59,12.88,13328300,0.0,0
2010-02-18,12.8,13.4,12.7,13.35,17442500,0.0,0
2010-02-19,13.24,13.49,13.14,13.21,15071300,0.0,0
2010-02-22,13.22,13.44,13.13,13.35,10665100,0.0,0
2010-02-23,13.29,13.35,12.9,13.09,11630800,0.0,0
2010-02-24,13.13,13.35,12.5,12.56,27780900,0.0,0
2010-02-25,12.34,12.59,11.99,12.55,28118900,0.0,0
2010-02-26,12.67,12.88,12.5,12.82,9090300,0.0,0
2010-03-01,12.95,13.82,12.88,13.75,20620200,0.0,0
2010-03-02,13.85,13.9,13.47,13.53,13412000,0.0,0
2010-03-03,13.36,13.42,12.63,12.64,25207200,0.0,0
2010-03-04,12.76,12.77,12.33,12.71,15528100,0.0,0
2010-03-05,12.78,12.95,12.57,12.83,10340300,0.0,0
2010-03-08,13.0,13.04,12.65,12.81,9933400,0.0,0
2010-03-09,12.8,12.97,12.56,12.62,12782500,0.0,0
2010-03-10,12.7,12.82,12.24,12.35,25708800,0.0,0
2010-03-11,12.11,12.41,11.84,12.39,26402500,0.0,0
2010-03-12,12.46,12.46,12.14,12.41,14388000,0.0,0
2010-03-15,12.33,12.34,11.97,12.1,11815100,0.0,0
2010-03-16,12.22,12.4,12.03,12.32,11810000,0.0,0
2010-03-17,12.37,12.62,12.25,12.44,11421100,0.0,0
2010-03-18,12.5,12.57,12.37,12.44,6879500,0.0,0
2010-03-19,12.5,12.54,12.09,12.19,12289900,0.0,0
2010-03-22,12.1,12.84,12.03,12.7,15350900,0.0,0
2010-03-23,12.73,13.27,12.68,13.17,20338400,0.0,0
