Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,12.55,12.98,12.55,12.77,5474800,0.0,0
2009-12-08,12.74,12.9,12.58,12.7,3716800,0.0,0
2009-12-09,12.68,12.95,12.61,12.94,4262600,0.0,0
2009-12-10,12.92,13.09,12.62,12.66,3858600,0.0,0
2009-12-11,12.7,12.82,12.47,12.6,3307600,0.0,0
2009-12-14,12.7,12.95,12.59,12.94,2369600,0.0,0
2009-12-15,12.88,12.99,12.44,12.47,4935800,0.0,0
2009-12-16,12.55,13.0,12.55,12.89,3648600,0.0,0
2009-12-17,12.86,12.9,12.46,12.47,3473200,0.0,0
2009-12-18,12.78,12.91,12.66,12.87,5628400,0.0,0
2009-12-21,12.97,13.22,12.95,13.1,3159400,0.0,0
2009-12-22,13.15,13.28,12.99,13.05,2211500,0.0,0
2009-12-23,13.16,13.26,12.96,13.1,2044200,0.0,0
2009-12-24,13.1,13.2,13.08,13.17,420700,0.0,0
2009-12-28,13.18,13.19,12.82,12.99,1532200,0.0,0
2009-12-29,12.98,13.06,12.78,13.02,1924200,0.0,0
2009-12-30,13.04,13.19,12.9,13.19,2032700,0.0,0
2009-12-31,13.17,13.33,13.07,13.09,2777400,0.0,0
2010-01-04,13.33,13.75,13.3,13.67,4911500,0.0,0
2010-01-05,13.74,13.9,13.56,13.89,5108700,0.0,0
2010-01-06,13.8,14.01,13.71,13.76,3638100,0.0,0
2010-01-07,13.67,13.78,13.41,13.6,2857300,0.0,0
2010-01-08,13.78,13.91,13.61,13.84,3073600,0.0,0
2010-01-11,13.85,13.99,13.75,13.85,2700400,0.0,0
2010-01-12,13.66,13.71,13.42,13.57,3067800,0.0,0
2010-01-13,13.59,13.92,13.38,13.89,4605800,0.0,0
2010-01-14,14.03,14.41,13.91,14.14,5782600,0.0,0
2010-01-15,14.06,14.23,13.59,13.64,5321400,0.0,0
2010-01-19,13.88,13.93,13.65,13.71,4660900,0.0,0
2010-01-20,13.79,13.83,13.41,13.57,6881200,0.0,0
2010-01-21,13.42,13.73,12.87,13.38,13939800,0.0,0
2010-01-22,13.28,13.42,12.68,12.74,10509100,0.0,0
2010-01-25,12.82,13.02,12.69,12.87,3026600,0.0,0
2010-01-26,12.81,12.81,12.24,12.34,7473900,0.0,0
2010-01-27,12.31,12.62,12.18,12.51,3802600,0.0,0
2010-01-28,12.71,12.75,11.88,12.22,7522300,0.0,0
2010-01-29,12.38,12.52,11.66,11.71,6065900,0.0,0
2010-02-01,11.69,12.32,11.67,12.22,5537600,0.0,0
2010-02-02,12.46,12.79,12.37,12.62,7371300,0.0,0
2010-02-03,12.62,12.91,12.53,12.7,4170800,0.0,0
2010-02-04,12.58,12.6,12.21,12.35,7246700,0.0,0
2010-02-05,12.34,12.58,12.09,12.44,6419200,0.0,0
2010-02-08,12.56,12.71,12.3,12.46,3650700,0.0,0
2010-02-09,12.64,12.82,12.48,12.7,5078800,0.0,0
2010-02-10,12.69,12.94,12.63,12.69,5137100,0.0,0
2010-02-11,12.67,12.9,12.46,12.82,3951800,0.0,0
2010-02-12,12.58,12.99,12.23,12.8,4896000,0.0,0
2010-02-16,13.01,13.04,12.67,13.03,3488000,0.0,0
2010-02-17,13.09,13.21,13.01,13.21,3679200,0.0,0
2010-02-18,13.09,13.51,13.05,13.5,3336800,0.0,0
2010-02-19,13.48,13.59,13.27,13.45,3251200,0.0,0
2010-02-22,13.84,14.21,13.78,14.11,8725200,0.0,0
2010-02-23,14.04,14.08,13.47,13.61,5876300,0.0,0
2010-02-24,13.77,14.03,13.69,14.02,7070200,0.0,0
2010-02-25,13.57,13.86,13.33,13.81,7126300,0.0,0
2010-02-26,13.94,14.12,13.72,14.09,5891800,0.0,0
2010-03-01,14.07,14.53,13.84,14.46,9255200,0.0,0
2010-03-02,14.62,14.8,14.48,14.54,6330300,0.0,0
2010-03-03,14.61,14.9,14.32,14.34,4820000,0.0,0
2010-03-04,14.44,14.53,14.16,14.32,2771700,0.0,0
2010-03-05,14.38,14.61,14.25,14.55,3047900,0.0,0
2010-03-08,14.63,14.75,14.49,14.69,3434100,0.0,0
2010-03-09,14.68,14.82,14.51,14.58,4293600,0.0,0
2010-03-10,14.59,14.71,14.42,14.53,4337600,0.0,0
2010-03-11,14.46,14.48,14.1,14.42,4857500,0.0,0
2010-03-12,14.44,14.44,14.1,14.17,3314200,0.0,0
2010-03-15,14.17,14.22,13.98,14.17,4262300,0.0,0
2010-03-16,14.14,14.55,14.13,14.46,3857800,0.0,0
2010-03-17,14.56,15.02,14.53,14.85,4792800,0.0,0
2010-03-18,14.93,14.93,14.53,14.6,2665300,0.0,0
2010-03-19,14.61,14.61,14.06,14.13,4935100,0.0,0
2010-03-22,14.01,14.52,13.98,14.48,4799400,0.0,0
2010-03-23,14.59,15.27,14.57,15.14,6734000,0.0,0
2010-03-24,15.06,15.13,14.77,14.81,5484000,0.0,0
2010-03-25,15.04,15.32,14.97,15.06,5555200,0.0,0
2010-03-26,15.13,15.27,14.6,14.73,5554900,0.0,0
2010-03-29,14.77,14.92,14.45,14.56,3855800,0.0,0
2010-03-30,14.62,14.83,14.51,14.79,3337600,0.0,0
2010-03-31,14.67,14.79,14.38,14.39,4687600,0.0,0
2010-04-01,14.49,14.72,14.15,14.29,4367200,0.0,0
2010-04-05,14.42,14.76,14.41,14.74,2694900,0.0,0
2010-04-06,14.66,14.75,14.53,14.67,2079100,0.0,0
2010-04-07,14.62,14.69,14.39,14.52,5358000,0.0,0
2010-04-08,14.42,14.44,14.21,14.38,3154500,0.0,0
2010-04-09,14.45,14.55,14.34,14.53,2415500,0.0,0
2010-04-12,14.63,14.69,14.45,14.58,3258000,0.0,0
2010-04-13,14.49,14.71,14.46,14.68,4582200,0.0,0
2010-04-14,14.75,15.17,14.69,15.02,4691700,0.0,0
2010-04-15,15.0,15.27,14.94,15.15,3364900,0.0,0
2010-04-16,15.09,15.09,14.58,14.91,3588200,0.0,0
2010-04-19,14.85,14.85,14.25,14.59,4244600,0.0,0
2010-04-20,14.68,14.85,14.49,14.76,2980500,0.0,0
2010-04-21,15.05,15.13,14.52,14.7,3782100,0.0,0
2010-04-22,14.41,14.49,14.13,14.44,8797100,0.0,0
2010-04-23,14.39,14.54,14.23,14.35,5030200,0.0,0
2010-04-26,14.35,14.76,14.35,14.53,4594900,0.0,0
2010-04-27,14.45,14.63,14.22,14.23,4399100,0.0,0
2010-04-28,14.39,14.61,14.18,14.5,4919900,0.0,0
