Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,18.97,19.31,18.95,19.12,2108300,0.0,0
2009-12-08,18.84,19.0,18.06,18.5,2576300,0.0,0
2009-12-09,18.5,19.05,18.45,19.0,3167000,0.0,0
2009-12-10,19.06,19.22,18.85,18.85,2060400,0.0,0
2009-12-11,19.0,19.46,19.0,19.33,3491900,0.16,0
2009-12-14,19.4,19.54,19.21,19.25,2147000,0.0,0
2009-12-15,19.25,19.35,19.1,19.14,1835900,0.0,0
2009-12-16,19.27,19.33,18.99,19.0,2228900,0.0,0
2009-12-17,18.99,19.04,18.6,18.66,2117600,0.0,0
2009-12-18,18.81,19.09,18.74,18.79,2934900,0.0,0
2009-12-21,18.95,19.25,18.95,19.18,1483200,0.0,0
2009-12-22,19.14,19.29,19.04,19.23,1913700,0.0,0
2009-12-23,19.23,19.38,19.15,19.35,1692100,0.0,0
2009-12-24,19.34,19.55,19.27,19.51,591600,0.0,0
2009-12-28,19.51,19.69,19.38,19.46,1216400,0.0,0
2009-12-29,19.47,19.47,19.36,19.38,1591400,0.0,0
2009-12-30,19.36,19.93,19.25,19.8,1207200,0.0,0
2009-12-31,19.89,20.17,19.74,19.84,1606500,0.0,0
2010-01-04,20.05,20.22,19.86,20.22,1793700,0.0,0
2010-01-05,20.17,20.21,19.8,19.92,1843000,0.0,0
2010-01-06,19.92,20.49,19.8,20.33,2189300,0.0,0
2010-01-07,20.25,20.33,19.9,19.95,1736800,0.0,0
2010-01-08,19.92,20.24,19.91,20.2,1137300,0.0,0
2010-01-11,20.22,20.22,19.81,20.02,1143900,0.0,0
2010-01-12,19.83,20.13,19.71,19.99,1547500,0.0,0
2010-01-13,20.01,20.81,19.84,20.62,2678700,0.0,0
2010-01-14,20.61,20.78,20.51,20.73,2028700,0.0,0
2010-01-15,20.72,20.72,20.22,20.39,1734000,0.0,0
2010-01-19,20.3,20.57,20.26,20.57,1196300,0.0,0
2010-01-20,20.4,20.7,20.26,20.65,2032900,0.0,0
2010-01-21,20.69,21.2,20.59,20.85,2429600,0.0,0
2010-01-22,20.69,20.78,20.17,20.18,2673200,0.0,0
2010-01-25,20.45,20.6,20.24,20.27,2081100,0.0,0
2010-01-26,20.28,20.59,19.8,20.5,3496300,0.0,0
2010-01-27,21.09,21.29,20.11,20.81,5674500,0.0,0
2010-01-28,21.07,21.3,20.18,20.42,2348500,0.0,0
2010-01-29,20.49,20.51,20.01,20.1,4299600,0.0,0
2010-02-01,20.29,20.69,20.19,20.63,2332800,0.0,0
2010-02-02,20.73,21.12,20.67,20.74,3865500,0.0,0
2010-02-03,20.69,20.82,20.43,20.55,3082600,0.0,0
2010-02-04,20.36,20.43,19.98,20.03,4079700,0.0,0
2010-02-05,20.1,20.16,19.54,19.88,3618200,0.0,0
2010-02-08,19.92,20.18,19.5,19.94,3492100,0.0,0
2010-02-09,20.15,20.3,20.09,20.11,4447800,0.0,0
2010-02-10,20.18,20.28,19.87,19.95,3336800,0.0,0
2010-02-11,19.82,20.35,19.63,20.3,3501000,0.0,0
2010-02-12,20.07,20.44,19.81,20.44,2134600,0.0,0
2010-02-16,20.49,20.92,20.49,20.86,1960800,0.0,0
2010-02-17,20.94,21.24,20.76,21.18,1623300,0.0,0
2010-02-18,21.1,21.3,20.97,21.14,2548100,0.0,0
2010-02-19,21.02,21.6,21.02,21.33,2279200,0.0,0
2010-02-22,21.33,21.43,21.13,21.14,1657400,0.0,0
2010-02-23,21.13,21.17,20.64,20.71,1569500,0.0,0
2010-02-24,20.8,21.31,20.7,21.27,1967000,0.0,0
2010-02-25,20.96,21.0,20.65,20.8,2227400,0.0,0
2010-02-26,20.72,20.85,20.33,20.71,1920700,0.0,0
2010-03-01,20.76,21.44,20.68,21.32,2217900,0.0,0
2010-03-02,21.4,21.49,20.85,20.86,3194500,0.0,0
2010-03-03,20.85,21.19,20.77,20.89,2803100,0.0,0
2010-03-04,20.89,21.24,20.68,20.89,2671600,0.0,0
2010-03-05,20.95,21.08,20.87,20.97,2658300,0.16,0
2010-03-08,20.98,21.19,20.98,21.05,2664500,0.0,0
2010-03-09,20.85,21.18,20.85,20.95,2193600,0.0,0
2010-03-10,21.04,22.25,20.93,21.77,3436200,0.0,0
2010-03-11,21.8,21.81,21.38,21.55,1973100,0.0,0
2010-03-12,21.56,21.72,21.35,21.66,1835900,0.0,0
2010-03-15,21.6,21.84,21.34,21.57,1351200,0.0,0
2010-03-16,21.75,21.8,21.41,21.72,1747600,0.0,0
2010-03-17,21.8,22.37,21.8,22.28,2139300,0.0,0
2010-03-18,22.26,22.32,21.9,22.18,2242200,0.0,0
2010-03-19,22.36,22.41,22.08,22.36,3627500,0.0,0
2010-03-22,22.15,22.5,21.9,22.42,3338400,0.0,0
2010-03-23,22.51,22.99,22.46,22.94,2212800,0.0,0
2010-03-24,22.85,22.98,22.72,22.9,2561400,0.0,0
2010-03-25,23.05,23.12,22.67,22.67,3362000,0.0,0
2010-03-26,22.76,22.9,22.31,22.5,1732300,0.0,0
2010-03-29,22.53,22.95,22.45,22.54,1623100,0.0,0
2010-03-30,22.7,22.84,22.42,22.67,1564900,0.0,0
2010-03-31,22.67,22.79,22.26,22.34,2348200,0.0,0
2010-04-01,22.4,22.88,22.2,22.44,1289500,0.0,0
2010-04-05,22.46,22.85,22.4,22.8,1511300,0.0,0
2010-04-06,22.59,22.99,22.54,22.99,1106500,0.0,0
2010-04-07,22.94,23.35,22.87,23.2,2148500,0.0,0
2010-04-08,23.06,23.3,22.79,23.3,1943600,0.0,0
2010-04-09,23.4,23.69,23.36,23.62,2312500,0.0,0
2010-04-12,23.68,23.73,23.39,23.46,1358100,0.0,0
2010-04-13,23.37,23.37,22.85,23.11,2279600,0.0,0
2010-04-14,23.23,23.73,23.18,23.73,1967200,0.0,0
2010-04-15,23.61,23.71,23.49,23.6,1522000,0.0,0
2010-04-16,23.46,23.51,23.08,23.16,1553400,0.0,0
2010-04-19,23.1,23.1,22.63,23.04,2265500,0.0,0
2010-04-20,23.17,24.23,23.17,23.86,2970200,0.0,0
2010-04-21,23.87,23.99,23.4,23.51,1602300,0.0,0
2010-04-22,23.49,23.65,23.0,23.55,2063800,0.0,0
2010-04-23,23.68,24.04,23.63,24.04,2025700,0.0,0
2010-04-26,24.14,24.6,23.94,24.47,3053400,0.0,0
2010-04-27,24.29,24.51,23.63,23.74,3383700,0.0,0
2010-04-28,24.37,25.92,24.17,25.01,8812500,0.0,0
2010-04-29,25.46,26.27,25.32,26.27,6319800,0.0,0
2010-04-30,26.35,26.5,25.81,26.11,3563900,0.0,0
2010-05-03,26.19,26.81,26.19,26.71,3842600,0.0,0
2010-05-04,26.27,26.27,25.46,25.68,4226500,0.0,0
2010-05-05,25.37,25.38,24.79,24.84,4485800,0.0,0
2010-05-06,24.71,24.93,21.91,23.59,4733400,0.0,0
2010-05-07,23.66,23.88,22.52,22.75,5350700,0.0,0
2010-05-10,24.02,24.56,23.93,24.02,3503800,0.0,0
2010-05-11,23.71,25.02,23.71,24.67,2998700,0.0,0
2010-05-12,24.95,25.87,24.85,25.87,3326400,0.0,0
2010-05-13,25.76,25.77,24.59,24.78,3985500,0.0,0
2010-05-14,24.42,24.61,23.15,23.57,4141200,0.0,0
2010-05-17,23.52,23.95,23.06,23.8,3476800,0.0,0
2010-05-18,23.83,24.01,22.59,22.72,3936500,0.0,0
2010-05-19,22.59,23.12,22.33,22.97,6057600,0.0,0
2010-05-20,22.39,22.65,21.88,22.28,5668200,0.0,0
2010-05-21,21.77,22.76,21.71,22.71,3388000,0.0,0
2010-05-24,22.56,23.19,22.39,22.89,3800600,0.0,0
2010-05-25,21.99,22.8,21.85,22.8,4288400,0.0,0
2010-05-26,23.02,23.33,22.41,22.56,6401200,0.0,0
2010-05-27,23.09,23.76,23.02,23.76,5154700,0.0,0
2010-05-28,23.59,23.87,23.43,23.43,4399800,0.0,0
2010-06-01,23.05,23.56,22.71,22.77,4727100,0.0,0
2010-06-02,22.87,23.63,22.87,23.63,2392800,0.0,0
2010-06-03,23.72,23.98,23.22,23.72,3429700,0.0,0
2010-06-04,23.3,23.84,22.91,23.0,3659600,0.16,0
2010-06-07,22.39,22.58,21.97,21.98,6254900,0.0,0
2010-06-08,21.92,22.13,21.57,21.97,4664600,0.0,0
2010-06-09,22.24,22.89,22.06,22.29,3007700,0.0,0
2010-06-10,22.81,23.12,22.49,23.03,3490200,0.0,0
2010-06-11,22.64,23.86,22.64,23.57,4198600,0.0,0
2010-06-14,23.83,23.94,23.36,23.45,3671200,0.0,0
2010-06-15,23.36,23.76,23.29,23.66,4446100,0.0,0
2010-06-16,23.49,23.84,23.36,23.62,2317900,0.0,0
2010-06-17,23.64,23.67,23.22,23.51,2388800,0.0,0
2010-06-18,23.58,23.73,23.49,23.56,1904800,0.0,0
2010-06-21,23.95,24.27,23.84,24.01,2941500,0.0,0
2010-06-22,23.9,24.13,23.45,23.51,2134300,0.0,0
2010-06-23,23.5,23.61,23.09,23.4,1930500,0.0,0
2010-06-24,23.2,23.2,22.57,22.6,2436400,0.0,0
2010-06-25,22.82,22.97,22.51,22.52,3120300,0.0,0
2010-06-28,22.6,22.8,22.25,22.28,2209600,0.0,0
2010-06-29,21.84,21.89,20.84,20.97,3851700,0.0,0
2010-06-30,20.94,21.34,20.4,20.75,3553700,0.0,0
2010-07-01,20.68,20.84,19.91,20.12,3513900,0.0,0
2010-07-02,20.31,20.36,19.91,20.09,2015700,0.0,0
2010-07-06,20.38,20.64,19.76,19.94,1670300,0.0,0
2010-07-07,19.75,20.73,19.5,20.71,2819400,0.0,0
2010-07-08,20.45,20.71,20.13,20.31,3758600,0.0,0
2010-07-09,20.24,20.58,20.0,20.5,3724100,0.0,0
2010-07-12,20.18,20.67,20.04,20.67,2357800,0.0,0
2010-07-13,21.2,21.83,21.06,21.19,6057100,0.0,0
2010-07-14,20.99,21.32,20.81,20.89,3629100,0.0,0
2010-07-15,20.9,21.06,20.62,20.88,1984900,0.0,0
2010-07-16,20.85,20.86,20.43,20.74,3421500,0.0,0
2010-07-19,20.72,21.07,20.62,20.85,1888600,0.0,0
2010-07-20,20.11,20.94,19.61,20.84,4742300,0.0,0
2010-07-21,20.89,21.09,20.44,20.81,3682800,0.0,0
2010-07-22,20.94,21.41,20.65,21.06,3144000,0.0,0
2010-07-23,20.87,21.39,20.82,21.29,2257900,0.0,0
2010-07-26,21.33,22.19,21.33,21.96,2414500,0.0,0
2010-07-27,22.16,22.23,21.76,22.21,3022300,0.0,0
2010-07-28,22.17,22.43,21.79,21.88,1725500,0.0,0
2010-07-29,22.13,22.51,21.7,22.14,2231400,0.0,0
