Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,46.19,46.75,46.12,46.46,187700,0.0,0
2009-12-08,46.07,46.07,45.15,45.87,206300,0.0,0
2009-12-09,45.87,46.0,45.64,45.93,216100,0.0,0
2009-12-10,46.21,46.69,45.91,46.02,100600,0.0,0
2009-12-11,46.01,46.46,45.79,46.33,75200,0.0,0
2009-12-14,46.64,46.87,46.33,46.87,107100,0.0,0
2009-12-15,46.61,47.16,46.18,47.08,164600,0.0,0
2009-12-16,47.22,47.44,46.94,47.17,92800,0.0,0
2009-12-17,46.83,47.03,46.44,46.59,125600,0.0,0
2009-12-18,46.64,46.64,45.99,46.53,243100,0.0,0
2009-12-21,46.59,47.53,46.32,47.45,117400,0.0,0
2009-12-22,47.41,48.14,47.3,47.94,186300,0.0,0
2009-12-23,48.0,48.02,47.83,47.92,70900,0.0,0
2009-12-24,47.91,48.03,47.65,47.93,19000,0.0,0
2009-12-28,47.98,48.09,47.87,47.99,88000,0.0,0
2009-12-29,47.83,48.24,47.69,48.05,127100,0.0,0
2009-12-30,48.08,48.35,47.71,47.85,54000,0.0,0
2009-12-31,48.0,48.1,47.1,47.12,92300,0.0,0
2010-01-04,48.69,48.91,48.21,48.52,288400,0.0,0
2010-01-05,48.51,48.53,47.98,48.0,205900,0.0,0
2010-01-06,48.03,48.56,47.86,48.49,303400,0.0,0
2010-01-07,48.63,49.03,48.4,48.93,110100,0.0,0
2010-01-08,48.91,49.26,48.79,49.22,66600,0.0,0
2010-01-11,50.38,53.75,50.04,53.07,448700,0.0,0
2010-01-12,52.97,53.79,52.49,52.62,196700,0.0,0
2010-01-13,53.0,53.61,51.43,52.46,118100,0.0,0
2010-01-14,52.54,52.82,51.99,52.3,191300,0.0,0
2010-01-15,51.96,52.45,51.39,51.43,225900,0.0,0
2010-01-19,51.59,53.24,51.59,53.2,213600,0.0,0
2010-01-20,53.02,53.09,52.18,52.97,111400,0.0,0
2010-01-21,52.79,53.43,52.22,52.56,124400,0.0,0
2010-01-22,52.39,52.4,51.27,51.43,177100,0.0,0
2010-01-25,51.54,51.84,50.86,51.18,156300,0.0,0
2010-01-26,51.0,51.61,50.86,51.2,103800,0.0,0
2010-01-27,51.03,51.26,50.72,51.09,154300,0.0,0
2010-01-28,51.09,51.3,50.72,50.99,72100,0.0,0
2010-01-29,50.88,51.34,49.83,49.98,235600,0.0,0
2010-02-01,50.12,50.54,49.65,50.47,113500,0.0,0
2010-02-02,50.36,51.36,50.36,51.19,71500,0.0,0
2010-02-03,51.21,51.49,50.51,50.98,68300,0.0,0
2010-02-04,50.72,50.76,49.74,49.79,85800,0.0,0
2010-02-05,49.7,49.74,48.96,49.64,144600,0.0,0
2010-02-08,49.82,50.44,49.57,50.03,122700,0.0,0
2010-02-09,50.18,50.65,49.88,50.58,115300,0.0,0
2010-02-10,50.32,50.54,49.94,50.16,77400,0.0,0
2010-02-11,50.06,50.56,49.89,50.5,75000,0.0,0
2010-02-12,50.08,50.63,49.74,50.58,132300,0.0,0
2010-02-16,50.85,51.76,50.32,51.68,82900,0.0,0
2010-02-17,51.9,52.02,51.53,51.67,120400,0.0,0
2010-02-18,51.83,51.83,50.02,51.61,242200,0.0,0
2010-02-19,51.55,52.25,51.33,52.25,114700,0.0,0
2010-02-22,52.45,52.48,51.89,52.15,83800,0.0,0
2010-02-23,51.97,52.46,51.45,52.29,159800,0.0,0
2010-02-24,52.29,52.88,51.27,52.24,212100,0.0,0
