Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,27.05,27.05,26.56,26.6,3847100.0,0.0,0
2009-12-08,26.49,26.49,26.0,26.12,4270000.0,0.0,0
2009-12-09,26.06,26.21,25.86,26.04,2944700.0,0.0,0
2009-12-10,26.35,26.83,26.32,26.61,4555000.0,0.0,0
2009-12-11,26.92,26.93,26.49,26.53,4018400.0,0.0,0
2009-12-14,26.86,27.37,26.72,27.28,3031200.0,0.0,0
2009-12-15,27.27,27.28,26.82,27.03,3107700.0,0.0,0
2009-12-16,27.26,27.34,27.06,27.16,3241200.0,0.0,0
2009-12-17,27.04,27.29,26.83,27.07,2541200.0,0.0,0
2009-12-18,27.15,27.23,26.45,26.9,3509600.0,0.0,0
2009-12-21,27.03,27.62,26.96,27.47,3180300.0,0.0,0
2009-12-22,27.27,27.54,27.04,27.27,2381200.0,0.0,0
2009-12-23,27.45,27.62,27.29,27.43,1561500.0,0.0,0
2009-12-24,27.46,27.6,27.29,27.5,499000.0,0.0,0
2009-12-28,27.51,27.66,27.4,27.52,1430100.0,0.0,0
2009-12-29,27.62,27.62,27.09,27.23,2188900.0,0.0,0
2009-12-30,27.15,27.41,27.13,27.37,1795400.0,0.0,0
2009-12-31,27.5,27.5,27.02,27.04,1057600.0,0.0,0
2010-01-04,27.31,27.31,26.73,26.88,3350600.0,0.0,0
2010-01-05,26.9,27.6,26.57,27.2,3223400.0,0.0,0
2010-01-06,27.13,27.81,27.07,27.74,2968300.0,0.0,0
2010-01-07,27.82,28.1,27.6,27.75,2719200.0,0.0,0
2010-01-08,27.55,27.65,27.3,27.59,3140000.0,0.0,0
2010-01-11,27.73,28.51,27.73,28.37,4025800.0,0.0,0
2010-01-12,28.2,28.61,27.94,28.57,5185900.0,0.0,0
2010-01-13,28.54,28.54,27.95,28.33,3243900.0,0.0,0
2010-01-14,28.29,28.37,27.52,27.76,4511700.0,0.0,0
2010-01-15,27.79,28.01,27.12,27.23,6035800.0,0.0,0
2010-01-19,27.48,27.78,27.17,27.72,5559200.0,0.0,0
2010-01-20,26.06,26.58,25.9,26.17,15018700.0,0.0,0
2010-01-21,26.15,26.19,24.79,25.24,10370300.0,0.0,0
2010-01-22,25.05,25.57,24.82,25.2,7165100.0,0.0,0
2010-01-25,25.43,25.69,24.97,25.24,5638200.0,0.0,0
2010-01-26,25.22,25.92,25.1,25.62,5387200.0,0.0,0
2010-01-27,25.58,26.03,25.44,25.92,5671200.0,0.0,0
2010-01-28,25.99,26.18,25.65,25.81,6519600.0,0.0,0
2010-01-29,25.89,26.18,25.71,25.82,5884100.0,0.0,0
2010-02-01,25.91,26.18,25.78,26.11,3758600.0,0.0,0
2010-02-02,26.12,26.48,25.98,26.45,4714200.0,0.0,0
2010-02-03,26.15,26.36,25.89,26.27,4773900.0,0.0,0
2010-02-04,25.98,26.16,25.29,25.52,5001800.0,0.0,0
2010-02-05,24.87,25.46,24.4,25.41,8826100.0,0.0,0
2010-02-08,25.35,25.78,25.09,25.31,3456500.0,0.0,0
2010-02-09,25.69,25.79,25.38,25.69,3366100.0,0.0,0
2010-02-10,25.63,25.91,25.41,25.71,2964900.0,0.0,0
2010-02-11,25.69,26.42,25.49,26.19,4028700.0,0.0,0
2010-02-12,25.92,26.3,25.62,26.26,4754500.0,0.0,0
2010-02-16,26.42,26.88,26.09,26.78,3478900.0,0.0,0
2010-02-17,26.97,26.97,26.48,26.69,4488800.0,0.0,0
2010-02-18,26.52,27.03,26.5,26.97,3739300.0,0.0,0
2010-02-19,26.83,27.02,26.66,26.93,3433900.0,0.0,0
