Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,37.4,37.42,36.4,36.6,1860900,0.0,0
2009-12-08,36.6,37.2,36.28,37.03,1977300,0.0,0
2009-12-09,36.97,37.09,36.36,36.51,1789200,0.0,0
2009-12-10,37.49,37.84,37.39,37.61,3127700,0.0,0
2009-12-11,37.8,38.04,37.21,37.89,2176000,0.25,0
2009-12-14,37.67,38.04,37.62,37.8,2368500,0.0,0
2009-12-15,37.64,37.95,37.56,37.87,2372200,0.0,0
2009-12-16,38.46,39.54,38.39,39.18,3158000,0.0,0
2009-12-17,38.5,39.53,38.35,39.2,2521000,0.0,0
2009-12-18,39.6,40.38,39.32,40.32,3668000,0.0,0
2009-12-21,40.39,40.6,39.87,40.03,2353900,0.0,0
2009-12-22,40.18,40.5,39.91,40.41,1507700,0.0,0
2009-12-23,40.6,40.72,40.29,40.56,1080200,0.0,0
2009-12-24,40.51,41.22,40.51,41.0,495700,0.0,0
2009-12-28,40.92,41.19,40.44,40.59,680400,0.0,0
2009-12-29,40.62,40.83,40.31,40.38,969400,0.0,0
2009-12-30,40.39,40.76,40.14,40.71,911400,0.0,0
2009-12-31,40.68,41.0,40.31,40.31,736000,0.0,0
2010-01-04,40.7,41.89,40.21,41.18,2330200,0.0,0
2010-01-05,40.91,41.66,40.6,41.64,1569500,0.0,0
2010-01-06,41.57,41.69,40.86,40.99,1517900,0.0,0
2010-01-07,40.74,41.28,40.54,40.96,1048000,0.0,0
2010-01-08,40.84,40.89,40.29,40.8,1344700,0.0,0
2010-01-11,40.88,41.47,40.83,41.09,1099000,0.0,0
2010-01-12,40.8,41.63,40.69,41.32,1606800,0.0,0
2010-01-13,41.2,41.84,40.99,41.73,1477000,0.0,0
2010-01-14,41.56,41.68,41.02,41.47,1191300,0.0,0
2010-01-15,41.48,41.55,40.51,40.57,1657900,0.0,0
2010-01-19,40.54,41.22,40.38,41.1,1194600,0.0,0
2010-01-20,40.8,40.8,39.97,40.39,1474500,0.0,0
2010-01-21,40.42,40.44,39.16,39.3,1979600,0.0,0
2010-01-22,39.18,39.35,38.21,38.33,1826500,0.0,0
2010-01-25,38.89,39.34,38.49,39.14,1562000,0.0,0
2010-01-26,39.01,39.57,38.54,38.89,2311800,0.0,0
2010-01-27,39.11,39.98,38.68,39.84,2050800,0.0,0
2010-01-28,40.63,40.97,36.95,38.3,5056600,0.0,0
2010-01-29,38.64,38.76,37.23,37.56,2663300,0.0,0
2010-02-01,37.67,38.71,37.37,38.63,2245400,0.0,0
2010-02-02,38.73,39.05,38.37,38.73,1741200,0.0,0
2010-02-03,38.49,38.81,38.17,38.38,1475800,0.0,0
2010-02-04,37.72,38.39,36.54,36.54,2274400,0.0,0
2010-02-05,36.6,37.16,35.9,36.99,3487900,0.0,0
2010-02-08,37.21,37.61,36.41,36.43,1735900,0.0,0
2010-02-09,36.87,37.39,36.25,36.86,1844400,0.0,0
2010-02-10,36.73,37.45,36.73,37.14,1454900,0.0,0
2010-02-11,37.02,37.25,36.7,37.1,1402200,0.0,0
2010-02-12,36.86,37.15,36.52,37.05,1829300,0.0,0
2010-02-16,37.43,37.98,37.08,37.98,1242200,0.0,0
2010-02-17,38.18,38.29,37.55,37.79,1504600,0.0,0
2010-02-18,37.8,37.96,37.27,37.55,1739700,0.0,0
2010-02-19,37.57,38.08,37.46,37.81,1647700,0.0,0
2010-02-22,38.04,38.27,37.57,37.88,1469600,0.0,0
2010-02-23,37.84,38.06,37.45,37.55,2207600,0.0,0
2010-02-24,37.81,38.37,37.57,38.33,1379300,0.0,0
2010-02-25,37.93,38.14,37.52,38.09,1076400,0.0,0
2010-02-26,38.28,38.58,37.75,38.37,1529700,0.0,0
2010-03-01,38.34,38.73,38.29,38.68,1047000,0.0,0
2010-03-02,38.7,38.97,38.65,38.91,1466800,0.0,0
2010-03-03,38.94,39.41,38.82,39.09,1403300,0.0,0
2010-03-04,39.04,39.82,38.98,39.79,1699000,0.0,0
2010-03-05,39.83,40.87,39.83,40.86,1754900,0.0,0
2010-03-08,40.79,40.84,40.31,40.39,1316900,0.0,0
2010-03-09,40.36,40.73,40.02,40.49,1167200,0.0,0
2010-03-10,40.52,40.61,40.2,40.45,1710200,0.0,0
2010-03-11,40.13,40.42,39.9,40.42,1083900,0.0,0
2010-03-12,40.63,40.88,40.19,40.57,1320700,0.27,0
2010-03-15,40.41,40.73,40.13,40.67,1265200,0.0,0
2010-03-16,40.85,41.0,40.53,40.97,1334800,0.0,0
2010-03-17,41.05,42.23,41.05,42.03,1956400,0.0,0
2010-03-18,42.16,42.16,41.75,42.01,1055100,0.0,0
2010-03-19,42.29,42.29,41.42,41.7,1518200,0.0,0
2010-03-22,41.53,42.22,41.4,42.19,837400,0.0,0
2010-03-23,42.13,42.54,41.98,42.5,1330500,0.0,0
2010-03-24,42.26,42.42,41.48,41.84,1374500,0.0,0
2010-03-25,42.02,42.8,41.72,42.01,1547300,0.0,0
2010-03-26,42.01,42.42,41.48,41.91,1506800,0.0,0
2010-03-29,42.16,42.22,41.78,42.12,970700,0.0,0
2010-03-30,42.16,42.47,41.73,42.0,1009300,0.0,0
2010-03-31,41.76,42.14,41.48,41.82,1435500,0.0,0
2010-04-01,42.22,42.7,42.16,42.51,1222900,0.0,0
2010-04-05,42.24,42.57,42.22,42.5,1713800,0.0,0
2010-04-06,42.48,42.64,42.15,42.55,1665200,0.0,0
2010-04-07,42.65,42.78,42.12,42.26,1632500,0.0,0
2010-04-08,42.05,42.46,41.93,42.35,2967800,0.0,0
2010-04-09,42.44,43.05,42.27,43.0,1680700,0.0,0
2010-04-12,43.13,43.32,42.7,42.9,1631200,0.0,0
2010-04-13,42.74,43.6,42.68,43.49,1323600,0.0,0
2010-04-14,43.41,44.5,43.41,44.49,2166800,0.0,0
2010-04-15,44.45,44.79,44.24,44.66,1949500,0.0,0
2010-04-16,44.41,44.68,42.95,43.15,3128900,0.0,0
2010-04-19,43.37,43.94,43.18,43.86,2150200,0.0,0
2010-04-20,44.02,44.61,43.69,44.51,1522900,0.0,0
2010-04-21,44.46,44.72,43.72,44.29,1382100,0.0,0
2010-04-22,44.12,45.12,43.44,44.87,2230100,0.0,0
2010-04-23,44.57,45.22,44.25,44.8,2247800,0.0,0
2010-04-26,44.86,44.99,43.81,43.98,1485500,0.0,0
2010-04-27,43.63,44.16,42.63,42.8,1899200,0.0,0
2010-04-28,43.03,43.51,42.84,42.99,2083500,0.0,0
2010-04-29,43.37,44.97,43.28,44.8,1715600,0.0,0
2010-04-30,44.82,44.93,43.73,43.78,1461000,0.0,0
2010-05-03,43.94,44.65,43.78,44.57,1344600,0.0,0
2010-05-04,43.99,44.13,43.39,43.6,2538700,0.0,0
2010-05-05,43.21,43.82,42.84,43.05,1698400,0.0,0
2010-05-06,42.83,43.47,38.44,40.67,4050500,0.0,0
2010-05-07,40.63,40.94,39.58,39.95,4105100,0.0,0
2010-05-10,41.96,42.52,41.21,41.87,2614000,0.0,0
2010-05-11,41.28,41.83,40.83,41.11,2975700,0.0,0
2010-05-12,41.35,41.92,41.19,41.83,2242300,0.0,0
2010-05-13,41.68,41.68,40.84,40.89,2138300,0.0,0
2010-05-14,40.51,40.51,39.55,39.92,2448600,0.0,0
2010-05-17,40.01,40.68,39.48,40.41,2010700,0.0,0
2010-05-18,40.7,41.09,39.36,39.55,2202000,0.0,0
2010-05-19,39.38,39.81,38.53,39.4,1997800,0.0,0
2010-05-20,38.43,38.67,37.25,37.26,2823700,0.0,0
2010-05-21,36.31,39.15,36.0,38.79,4011200,0.0,0
2010-05-24,38.63,38.64,37.16,37.18,3025500,0.0,0
2010-05-25,35.78,37.96,35.78,37.92,3498000,0.0,0
2010-05-26,38.04,38.6,37.46,37.61,2663800,0.0,0
2010-05-27,38.56,39.55,38.39,39.16,2586100,0.0,0
2010-05-28,38.95,39.14,37.61,37.68,3086300,0.0,0
2010-06-01,37.36,37.96,36.96,37.06,2150900,0.0,0
2010-06-02,37.16,38.15,36.62,38.11,2522500,0.0,0
2010-06-03,38.03,38.06,37.16,37.64,2159700,0.0,0
2010-06-04,36.56,37.49,36.37,36.46,4172700,0.0,0
2010-06-07,36.79,37.04,35.83,35.85,2137600,0.0,0
2010-06-08,35.9,36.58,35.38,36.5,2721100,0.0,0
2010-06-09,36.63,37.07,35.79,35.92,2418900,0.0,0
2010-06-10,36.09,37.44,36.09,37.36,2305400,0.27,0
2010-06-11,36.76,38.26,36.76,38.14,2035200,0.0,0
2010-06-14,38.89,38.96,37.74,37.78,1596600,0.0,0
2010-06-15,39.06,39.06,38.19,38.63,2538300,0.0,0
2010-06-16,38.45,38.58,37.71,37.88,3079000,0.0,0
2010-06-17,37.88,38.11,37.23,37.83,2674600,0.0,0
2010-06-18,37.83,37.95,37.4,37.75,2182800,0.0,0
2010-06-21,38.16,38.45,37.17,37.31,1868200,0.0,0
2010-06-22,37.09,37.82,36.55,36.6,2241900,0.0,0
2010-06-23,36.72,36.97,36.29,36.45,1643200,0.0,0
2010-06-24,36.19,36.43,35.07,35.2,2981700,0.0,0
2010-06-25,35.5,36.68,35.31,36.4,3398000,0.0,0
2010-06-28,36.38,36.73,35.91,35.96,1598300,0.0,0
2010-06-29,35.49,35.57,34.12,34.32,3288500,0.0,0
2010-06-30,34.13,34.79,33.88,33.97,2218600,0.0,0
2010-07-01,33.87,34.28,32.76,33.76,2918000,0.0,0
