Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,11.55,11.56,11.31,11.33,1632800,0.0,0.0
2009-12-08,11.26,11.34,11.19,11.24,1957200,0.0,0.0
2009-12-09,11.26,11.26,11.02,11.15,1177600,0.0,0.0
2009-12-10,11.15,11.26,11.02,11.07,985600,0.0,0.0
2009-12-11,11.1,11.29,11.07,11.21,1166400,0.0,0.0
2009-12-14,11.22,11.33,11.1,11.27,1239600,0.0,0.0
2009-12-15,11.27,11.38,11.23,11.25,1136800,0.0,0.0
2009-12-16,11.33,11.37,11.2,11.23,1218400,0.0,0.0
2009-12-17,11.19,11.37,11.12,11.33,1644000,0.0,0.0
2009-12-18,11.4,11.61,11.32,11.61,3224800,0.0,0.0
2009-12-21,11.63,11.86,11.61,11.8,1249200,0.0,0.0
2009-12-22,11.79,11.99,11.78,11.94,848400,0.0,0.0
2009-12-23,11.97,12.14,11.83,12.06,1020000,0.0,0.0
2009-12-24,12.05,12.19,12.01,12.14,319600,0.0,0.0
2009-12-28,12.19,12.24,12.11,12.16,871200,0.0,0.0
2009-12-29,12.14,12.2,12.06,12.17,344000,0.0,0.0
2009-12-30,12.11,12.22,12.04,12.09,630800,0.0,0.0
2009-12-31,12.12,12.12,11.89,11.9,547600,0.0,0.0
2010-01-04,11.95,12.23,11.9,11.98,1316400,0.0,0.0
2010-01-05,12.01,12.06,11.57,11.86,2732400,0.0,0.0
2010-01-06,11.81,11.93,11.7,11.83,1483200,0.0,0.0
2010-01-07,11.75,12.02,11.75,11.99,919200,0.0,0.0
2010-01-08,12.02,12.11,11.85,11.99,548000,0.0,0.0
2010-01-11,11.99,11.99,11.78,11.89,984000,0.0,0.0
2010-01-12,11.85,11.94,11.78,11.9,1346400,0.0,0.0
2010-01-13,11.97,12.02,11.82,11.97,1309200,0.0,0.0
2010-01-14,11.96,12.0,11.8,11.87,1093600,0.0,0.0
2010-01-15,11.93,11.93,11.71,11.78,1418400,0.0,0.0
2010-01-19,11.74,11.93,11.68,11.88,2829200,0.0,0.0
2010-01-20,11.45,11.56,11.26,11.49,2541200,0.0,0.0
2010-01-21,11.54,11.73,11.24,11.4,1836000,0.0,0.0
2010-01-22,11.43,11.56,11.23,11.26,1514000,0.0,0.0
2010-01-25,11.31,11.53,11.15,11.51,1590800,0.0,0.0
2010-01-26,11.13,11.46,11.03,11.37,2916000,0.0,0.0
2010-01-27,11.3,11.79,11.2,11.73,3318400,0.0,0.0
2010-01-28,11.93,12.02,11.5,11.57,5424800,0.0,0.0
2010-01-29,11.57,11.75,11.32,11.34,2592800,0.0,0.0
2010-02-01,11.43,11.74,11.37,11.72,1876800,0.0,0.0
2010-02-02,11.69,11.92,11.63,11.89,1108800,0.0,0.0
2010-02-03,11.81,11.93,11.6,11.71,1363200,0.0,0.0
2010-02-04,11.68,11.71,11.39,11.41,1210400,0.0,0.0
2010-02-05,11.46,11.54,11.19,11.37,1222400,0.0,0.0
2010-02-08,11.7,11.7,11.24,11.26,1016000,0.0,0.0
2010-02-09,11.39,11.56,11.26,11.54,1178800,0.0,0.0
2010-02-10,11.47,11.55,11.35,11.45,883200,0.0,0.0
2010-02-11,11.39,11.68,11.26,11.65,983600,0.0,0.0
2010-02-12,11.59,11.64,11.46,11.63,937200,0.0,0.0
2010-02-16,11.68,11.8,11.63,11.78,686000,0.0,0.0
2010-02-17,11.86,12.09,11.82,12.07,998800,0.0,0.0
2010-02-18,12.04,12.04,11.84,11.96,940400,0.0,0.0
2010-02-19,11.97,12.06,11.87,12.0,917200,0.0,0.0
2010-02-22,12.04,12.13,11.97,11.99,961200,0.0,0.0
2010-02-23,12.0,12.15,11.9,12.01,1641600,0.0,0.0
2010-02-24,12.07,12.32,11.91,12.3,927200,0.0,0.0
2010-02-25,12.26,12.47,12.2,12.33,1655200,0.0,0.0
2010-02-26,12.36,12.4,12.23,12.29,1735600,0.0,0.0
2010-03-01,12.54,12.91,12.42,12.88,3799200,0.0,0.0
2010-03-02,12.86,12.94,12.69,12.79,2250000,0.0,0.0
2010-03-03,12.85,12.9,12.68,12.75,1466400,0.0,0.0
2010-03-04,12.81,12.91,12.67,12.71,1481600,0.0,0.0
2010-03-05,12.73,12.94,12.69,12.91,2079200,0.0,0.0
2010-03-08,12.93,13.01,12.85,12.96,809600,0.0,0.0
2010-03-09,12.94,13.03,12.83,12.9,1207600,0.0,0.0
2010-03-10,12.86,13.09,12.81,12.98,1176800,0.0,0.0
2010-03-11,12.91,13.06,12.87,13.05,759200,0.035,0.0
2010-03-12,13.06,13.13,12.93,13.13,678400,0.0,0.0
2010-03-15,13.07,13.13,12.94,13.07,732800,0.0,0.0
2010-03-16,13.07,13.6,13.07,13.57,2652800,0.0,0.0
2010-03-17,13.35,13.44,13.05,13.28,3016400,0.0,0.0
2010-03-18,13.25,13.42,13.13,13.42,962000,0.0,0.0
2010-03-19,13.49,13.49,13.3,13.35,2049200,0.0,0.0
2010-03-22,13.29,13.64,13.21,13.58,1220400,0.0,0.0
2010-03-23,13.57,13.57,13.38,13.49,1067600,0.0,0.0
2010-03-24,13.42,13.5,13.22,13.23,973600,0.0,0.0
2010-03-25,13.27,13.39,13.07,13.08,1216000,0.0,0.0
2010-03-26,13.12,13.27,13.04,13.11,908400,0.0,0.0
2010-03-29,13.18,13.27,13.02,13.12,725200,0.0,0.0
2010-03-30,13.17,13.36,13.07,13.28,895200,0.0,0.0
2010-03-31,13.28,13.39,13.07,13.07,868800,0.0,0.0
2010-04-01,13.12,13.38,13.11,13.38,826800,0.0,0.0
2010-04-05,13.45,13.74,13.31,13.73,994800,0.0,0.0
2010-04-06,13.71,13.85,13.65,13.85,860400,0.0,0.0
2010-04-07,14.92,15.29,14.67,14.99,6803600,0.0,0.0
2010-04-08,15.09,15.15,14.86,14.97,2057600,0.0,0.0
2010-04-09,15.3,15.3,14.89,14.97,1356000,0.0,0.0
2010-04-12,15.05,15.07,14.86,14.93,910000,0.0,0.0
2010-04-13,14.93,15.09,14.88,15.05,1316000,0.0,0.0
2010-04-14,15.13,15.14,14.93,15.07,2200800,0.0,0.0
2010-04-15,15.13,15.26,14.99,15.08,779200,0.0,0.0
2010-04-16,15.11,15.19,14.99,15.07,1302800,0.0,0.0
2010-04-19,15.06,15.47,15.04,15.34,2651600,0.0,0.0
2010-04-20,15.45,15.59,15.23,15.3,1404400,0.0,0.0
2010-04-21,15.32,15.63,15.17,15.58,1816800,0.0,0.0
2010-04-22,15.38,15.84,15.34,15.73,2490800,0.0,0.0
2010-04-23,15.71,15.74,15.47,15.71,1151600,0.0,0.0
2010-04-26,16.04,16.18,15.78,15.81,1218400,0.0,0.0
2010-04-27,15.69,15.76,15.2,15.23,1939600,0.0,0.0
2010-04-28,15.26,15.46,15.0,15.1,1415600,0.0,0.0
2010-04-29,15.14,15.74,15.14,15.68,1511600,0.0,0.0
2010-04-30,15.76,15.76,15.13,15.13,2260000,0.0,0.0
