Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,18.81,18.84,18.35,18.47,13467900,0.0,0
2009-12-08,18.47,18.55,18.22,18.43,12468100,0.0,0
2009-12-09,18.58,18.58,18.23,18.37,7700800,0.0,0
2009-12-10,18.42,18.72,18.37,18.47,12053500,0.0,0
2009-12-11,18.5,18.62,18.38,18.49,8632400,0.0,0
2009-12-14,18.67,18.67,18.18,18.48,14043900,0.0,0
2009-12-15,18.47,18.52,17.93,17.96,16156800,0.0,0
2009-12-16,18.14,18.2,17.57,17.72,21080300,0.0,0
2009-12-17,17.57,17.78,17.46,17.47,16896700,0.0,0
2009-12-18,17.5,17.98,17.5,17.89,21995200,0.0,0
2009-12-21,17.99,18.42,17.96,18.42,15144800,0.0,0
2009-12-22,18.39,18.44,17.98,18.28,12430100,0.0,0
2009-12-23,18.22,18.28,17.86,17.92,7837200,0.0,0
2009-12-24,17.88,18.12,17.85,18.11,2946700,0.0,0
2009-12-28,18.1,18.3,17.94,18.02,9822800,0.0,0
2009-12-29,18.02,18.15,17.94,18.0,6203300,0.05,0
2009-12-30,17.93,18.05,17.84,18.05,5438900,0.0,0
2009-12-31,18.01,18.21,17.99,18.1,5899500,0.0,0
2010-01-04,18.14,18.42,18.11,18.39,12891700,0.0,0
2010-01-05,18.3,18.9,18.28,18.86,14503500,0.0,0
2010-01-06,18.84,19.19,18.75,19.06,12293600,0.0,0
2010-01-07,19.0,19.68,18.89,19.43,15241200,0.0,0
2010-01-08,19.27,19.5,19.09,19.46,9935000,0.0,0
2010-01-11,19.7,19.7,19.38,19.55,8482600,0.0,0
2010-01-12,19.44,19.73,19.33,19.54,13119300,0.0,0
2010-01-13,19.53,20.01,19.39,19.87,12736800,0.0,0
2010-01-14,19.78,20.43,19.72,20.36,13383700,0.0,0
2010-01-15,20.28,20.28,19.66,19.79,13590500,0.0,0
2010-01-19,19.69,19.91,19.37,19.69,15470200,0.0,0
2010-01-20,19.94,20.37,19.91,20.11,18602200,0.0,0
2010-01-21,20.28,20.69,19.82,20.21,24864100,0.0,0
2010-01-22,20.15,21.58,19.75,19.83,20007400,0.0,0
2010-01-25,20.11,20.2,19.63,19.95,13692400,0.0,0
2010-01-26,19.61,20.03,19.48,19.54,15866800,0.0,0
2010-01-27,19.43,20.28,19.39,20.19,19763800,0.0,0
2010-01-28,20.28,20.4,19.93,20.09,17788000,0.0,0
2010-01-29,20.26,20.47,20.01,20.16,18317200,0.0,0
2010-02-01,20.22,20.39,20.02,20.24,12029500,0.0,0
2010-02-02,20.23,20.35,19.9,19.99,14793600,0.0,0
2010-02-03,19.91,19.98,19.47,19.66,12353800,0.0,0
2010-02-04,19.53,19.62,18.99,19.01,20550000,0.0,0
2010-02-05,19.16,19.5,18.72,19.27,22491200,0.0,0
2010-02-08,19.23,19.32,18.82,18.88,15753400,0.0,0
2010-02-09,19.0,19.18,18.7,18.88,13742600,0.0,0
2010-02-10,18.87,19.2,18.71,18.98,12219500,0.0,0
2010-02-11,19.03,19.05,18.72,18.88,8753400,0.0,0
2010-02-12,18.69,18.8,18.47,18.7,16552700,0.0,0
2010-02-16,18.91,19.2,18.67,19.18,11484600,0.0,0
2010-02-17,19.17,19.21,18.88,19.08,21960400,0.0,0
2010-02-18,19.0,19.29,18.92,19.22,9075800,0.0,0
2010-02-19,19.16,19.5,19.14,19.41,11805100,0.0,0
2010-02-22,19.7,19.87,19.5,19.74,12844900,0.0,0
2010-02-23,19.64,19.8,19.46,19.51,13288900,0.0,0
2010-02-24,19.64,20.03,19.6,19.92,12020100,0.0,0
2010-02-25,19.41,19.92,19.29,19.54,12541000,0.0,0
2010-02-26,19.46,19.87,19.46,19.78,9446500,0.0,0
2010-03-01,19.79,19.88,19.61,19.7,6843500,0.0,0
2010-03-02,19.98,20.03,19.76,19.89,7907800,0.0,0
2010-03-03,19.85,20.03,19.78,19.82,8391800,0.0,0
2010-03-04,19.83,19.95,19.74,19.89,7836000,0.0,0
2010-03-05,19.99,20.3,19.81,20.26,9443000,0.0,0
2010-03-08,20.22,20.35,20.09,20.09,8185800,0.0,0
2010-03-09,19.94,20.0,19.71,19.83,13248300,0.0,0
2010-03-10,19.94,20.26,19.91,20.07,11993900,0.0,0
2010-03-11,19.99,20.52,19.95,20.48,14610600,0.0,0
2010-03-12,20.65,20.9,20.55,20.64,14154500,0.0,0
2010-03-15,20.57,20.89,20.46,20.82,8366100,0.0,0
2010-03-16,20.87,21.01,20.74,21.0,10743300,0.0,0
2010-03-17,20.93,21.16,20.82,21.07,11859900,0.0,0
2010-03-18,20.97,21.11,20.74,20.89,8568200,0.0,0
2010-03-19,21.01,21.22,20.72,21.01,13977300,0.0,0
2010-03-22,20.81,21.21,20.8,21.08,9702700,0.0,0
2010-03-23,21.09,21.14,20.85,21.1,9573700,0.0,0
2010-03-24,20.98,21.26,20.98,21.05,7370300,0.0,0
2010-03-25,21.18,21.46,21.01,21.04,10567700,0.0,0
2010-03-26,21.1,21.26,20.77,20.94,10817100,0.0,0
2010-03-29,20.97,21.06,20.78,20.91,6911400,0.05,0
2010-03-30,20.93,21.11,20.8,20.83,9124000,0.0,0
2010-03-31,20.71,20.94,20.65,20.85,8451300,0.0,0
2010-04-01,20.97,21.15,20.84,21.14,6820400,0.0,0
