Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,54.04,54.73,53.94,54.46,3486400,0.0,0
2009-12-08,54.19,54.19,53.3,53.97,4107700,0.0,0
2009-12-09,53.58,53.7,52.79,53.32,4835800,0.0,0
2009-12-10,53.61,54.57,53.45,53.73,4786500,0.0,0
2009-12-11,54.43,55.09,54.3,54.89,5805200,0.0,0
2009-12-14,55.29,55.35,54.95,55.29,4999500,0.0,0
2009-12-15,55.19,55.6,54.86,55.56,5467900,0.0,0
2009-12-16,55.68,55.96,55.44,55.56,5235500,0.0,0
2009-12-17,55.41,55.46,54.94,55.03,3718800,0.0,0
2009-12-18,55.29,55.37,54.67,54.94,9565800,0.0,0
2009-12-21,55.01,55.39,54.8,54.86,4094500,0.0,0
2009-12-22,54.87,55.25,54.74,54.85,4007000,0.0,0
2009-12-23,54.86,55.19,54.68,54.98,2877100,0.0,0
2009-12-24,55.11,55.76,55.11,55.65,1253900,0.0,0
2009-12-28,55.6,55.98,55.36,55.73,2021900,0.0,0
2009-12-29,55.83,56.07,55.6,55.6,2266000,0.0,0
2009-12-30,55.6,55.79,55.37,55.75,2191100,0.0,0
2009-12-31,55.89,55.97,54.83,54.9,2643600,0.0,0
2010-01-04,55.53,56.84,55.25,56.65,6104100,0.0,0
2010-01-05,56.66,56.66,55.59,55.81,5004900,0.0,0
2010-01-06,55.81,56.02,55.39,55.52,4726900,0.0,0
2010-01-07,55.37,55.86,55.02,55.75,4264400,0.0,0
2010-01-08,55.57,55.92,55.56,55.86,4654800,0.0,0
2010-01-11,55.94,57.15,55.94,57.07,5530000,0.0,0
2010-01-12,56.79,56.91,56.2,56.74,4672000,0.0,0
2010-01-13,56.8,57.47,56.78,57.39,4877100,0.0,0
2010-01-14,57.14,57.62,57.04,57.59,3551300,0.0,0
2010-01-15,57.6,57.68,56.69,56.94,5343300,0.0,0
2010-01-19,56.94,57.69,56.66,57.18,3680700,0.0,0
2010-01-20,56.95,57.14,55.86,56.5,3673200,0.0,0
2010-01-21,56.51,56.83,55.17,55.47,5111300,0.0,0
2010-01-22,55.26,55.59,54.57,54.64,5814000,0.0,0
2010-01-25,54.98,54.98,54.23,54.25,4999400,0.0,0
2010-01-26,53.78,54.46,53.62,54.15,4996400,0.0,0
2010-01-27,53.2,53.66,52.6,53.47,7690700,0.0,0
2010-01-28,53.54,53.65,52.64,53.28,5578700,0.0,0
2010-01-29,53.3,54.17,52.71,53.37,7232100,0.0,0
2010-02-01,53.59,53.76,53.15,53.43,4916700,0.0,0
2010-02-02,53.7,54.12,53.54,53.81,6129300,0.0,0
2010-02-03,53.64,54.12,53.55,53.97,4151000,0.0,0
2010-02-04,53.68,53.74,52.47,52.5,5983200,0.0,0
2010-02-05,52.5,52.99,51.45,52.6,7825300,0.0,0
2010-02-08,52.42,52.46,51.66,51.73,5260400,0.0,0
2010-02-09,52.36,53.08,51.97,52.61,5277500,0.0,0
2010-02-10,52.61,52.94,52.29,52.71,4933100,0.0,0
2010-02-11,52.49,52.87,52.09,52.76,5504100,0.0,0
2010-02-12,52.12,52.41,51.42,51.96,7957400,0.0,0
2010-02-16,52.25,52.54,51.85,52.46,6291000,0.0,0
2010-02-17,52.78,53.76,52.39,53.61,5988500,0.425,0
2010-02-18,53.76,54.36,53.67,54.22,4124800,0.0,0
2010-02-19,54.32,54.85,54.22,54.54,5296100,0.0,0
2010-02-22,54.8,54.86,54.23,54.45,3311300,0.0,0
2010-02-23,54.43,54.73,53.91,53.96,4152300,0.0,0
2010-02-24,54.28,54.69,53.96,54.62,4842400,0.0,0
2010-02-25,53.79,54.69,53.37,54.66,5920600,0.0,0
