Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,11.41,11.56,11.2,11.34,11021200,0.0,0.0
2009-12-08,11.24,11.41,11.18,11.23,8823000,0.0,0.0
2009-12-09,11.31,11.51,11.2,11.28,10628900,0.0,0.0
2009-12-10,11.31,11.66,11.31,11.61,12262300,0.0,0.0
2009-12-11,11.67,11.71,11.42,11.51,8010900,0.0,0.0
2009-12-14,11.65,11.76,11.59,11.64,7588600,0.0,0.0
2009-12-15,11.65,11.83,11.56,11.63,8078200,0.0,0.0
2009-12-16,11.73,11.82,11.57,11.58,8013100,0.0,0.0
2009-12-17,11.53,11.76,11.53,11.57,8944600,0.0,0.0
2009-12-18,11.61,11.74,11.54,11.57,8950400,0.0,0.0
2009-12-21,11.62,11.9,11.59,11.85,7622300,0.0,0.0
2009-12-22,11.85,11.89,11.74,11.81,5454700,0.0,0.0
2009-12-23,11.76,11.88,11.57,11.72,7816300,0.0,0.0
2009-12-24,11.74,11.85,11.65,11.83,2154600,0.0,0.0
2009-12-28,11.8,11.87,11.59,11.65,5171800,0.0,0.0
2009-12-29,11.65,11.71,11.6,11.65,5036900,0.0,0.0
2009-12-30,11.61,11.74,11.61,11.69,4828200,0.0,0.0
2009-12-31,11.72,11.74,11.52,11.61,4796600,0.0,0.0
2010-01-04,11.96,12.44,11.86,12.4,15454500,0.0,0.0
2010-01-05,12.56,12.87,12.46,12.72,17087200,0.0,0.0
2010-01-06,12.75,13.19,12.59,13.04,16896900,0.0,0.0
2010-01-07,13.02,13.21,12.74,13.14,12077800,0.0,0.0
2010-01-08,13.12,13.16,12.85,12.96,13914200,0.0,0.0
2010-01-11,13.07,13.12,12.63,12.83,10924500,0.0,0.0
2010-01-12,12.6,12.67,12.33,12.62,10643800,0.0,0.0
2010-01-13,12.62,12.62,12.24,12.52,16334700,0.0,0.0
2010-01-14,12.52,12.74,12.41,12.67,9420900,0.0,0.0
2010-01-15,12.65,13.03,12.58,13.01,21476500,0.0,0.0
2010-01-19,13.0,13.12,12.87,13.08,13518600,0.0,0.0
2010-01-20,12.96,13.32,12.91,13.25,19232000,0.0,0.0
2010-01-21,13.23,13.32,12.85,13.1,14618500,0.0,0.0
2010-01-22,12.96,13.0,12.54,12.6,15366200,0.0,0.0
2010-01-25,12.71,12.86,12.51,12.72,10782600,0.0,0.0
2010-01-26,12.66,13.21,12.6,13.19,22434700,0.0,0.0
2010-01-27,13.06,13.21,12.71,12.96,25500800,0.0,0.0
2010-01-28,12.93,13.02,12.48,12.78,16059700,0.0,0.0
2010-01-29,12.8,13.21,12.75,12.77,16339100,0.0,0.0
2010-02-01,12.94,13.3,12.93,13.28,13116400,0.0,0.0
2010-02-02,13.32,13.39,13.05,13.35,12607900,0.0,0.0
2010-02-03,13.12,13.28,12.92,13.13,8913000,0.0,0.0
2010-02-04,12.92,12.98,12.53,12.55,10470100,0.0,0.0
2010-02-05,12.51,12.6,12.12,12.59,13516200,0.0,0.0
2010-02-08,12.58,12.63,12.35,12.37,7159400,0.0,0.0
2010-02-09,12.53,12.68,12.36,12.55,9645500,0.0,0.0
2010-02-10,12.49,12.55,12.22,12.48,8711100,0.0,0.0
2010-02-11,12.49,12.54,12.21,12.48,14182600,0.0,0.0
2010-02-12,12.36,12.38,12.18,12.31,12805700,0.05,0.0
2010-02-16,12.41,12.54,12.36,12.5,9928400,0.0,0.0
2010-02-17,12.52,12.59,12.31,12.39,8019200,0.0,0.0
