Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,18.98,19.18,18.94,19.0,2677300,0.0,0
2009-12-08,19.0,19.01,18.68,18.77,2967500,0.0,0
2009-12-09,18.71,18.81,18.4,18.55,2905800,0.0,0
2009-12-10,18.59,18.85,18.59,18.7,2404700,0.0,0
2009-12-11,18.83,18.97,18.66,18.84,2070100,0.0,0
2009-12-14,18.94,19.02,18.76,18.89,2143700,0.0,0
2009-12-15,18.89,18.95,18.71,18.92,2222400,0.0,0
2009-12-16,18.95,19.22,18.77,19.14,2963000,0.0,0
2009-12-17,19.25,19.25,18.83,18.84,3296200,0.0,0
2009-12-18,19.62,20.59,19.62,20.25,10690800,0.0,0
2009-12-21,20.4,20.44,20.05,20.29,2907100,0.0,0
2009-12-22,20.36,20.36,20.05,20.24,2535200,0.0,0
2009-12-23,20.29,20.6,20.24,20.55,1646300,0.0,0
2009-12-24,20.63,20.63,20.51,20.61,546700,0.0,0
2009-12-28,20.62,20.8,20.52,20.69,1135800,0.0,0
2009-12-29,20.71,20.86,20.64,20.73,1570300,0.0,0
2009-12-30,20.71,20.99,20.59,20.91,1552900,0.0,0
2009-12-31,20.77,20.97,20.57,20.58,1820700,0.0,0
2010-01-04,20.86,21.12,20.63,21.01,2652000,0.0,0
2010-01-05,21.05,21.35,20.8,21.23,4628700,0.0,0
2010-01-06,21.14,21.29,20.93,21.0,3002000,0.0,0
2010-01-07,20.97,21.01,20.62,20.71,5674700,0.0,0
2010-01-08,20.66,20.97,20.64,20.87,2351400,0.0,0
2010-01-11,20.9,21.01,20.41,20.81,3443200,0.0,0
2010-01-12,20.65,20.8,20.29,20.53,2484800,0.0,0
2010-01-13,20.67,20.78,20.33,20.72,2563200,0.0,0
2010-01-14,20.9,20.9,20.52,20.66,1863700,0.0,0
2010-01-15,20.78,20.78,20.09,20.36,5208400,0.0,0
2010-01-19,20.34,20.74,20.27,20.63,2912200,0.0,0
2010-01-20,20.42,20.5,20.2,20.39,4285700,0.0,0
2010-01-21,20.39,20.69,20.12,20.41,3777300,0.0,0
2010-01-22,20.33,20.5,19.71,19.82,4467100,0.0,0
2010-01-25,19.92,20.01,19.56,19.87,2491500,0.0,0
2010-01-26,19.71,20.14,19.6,19.97,3492000,0.0,0
2010-01-27,19.87,20.07,19.74,20.05,2533600,0.0,0
2010-01-28,19.86,20.08,19.3,19.6,3629600,0.0,0
2010-01-29,19.55,20.0,19.28,19.45,4373500,0.0,0
2010-02-01,19.45,19.69,19.32,19.69,2978300,0.0,0
2010-02-02,19.64,19.94,19.45,19.89,5028500,0.0,0
2010-02-03,18.15,20.02,18.01,19.79,19269900,0.0,0
2010-02-04,19.45,20.01,19.39,19.56,6963000,0.0,0
2010-02-05,19.53,19.8,19.39,19.73,6293700,0.0,0
2010-02-08,19.58,19.81,19.51,19.51,2717500,0.0,0
2010-02-09,19.79,19.8,19.41,19.53,4305200,0.0,0
2010-02-10,19.56,19.62,19.33,19.42,3108700,0.0,0
2010-02-11,19.49,19.96,19.48,19.83,2867500,0.0,0
2010-02-12,19.69,19.84,19.56,19.78,2602600,0.0,0
2010-02-16,19.84,20.19,19.82,20.05,2696000,0.0,0
2010-02-17,20.2,20.52,20.04,20.48,3123000,0.0,0
2010-02-18,20.49,20.57,20.18,20.36,2781000,0.0,0
2010-02-19,20.28,20.64,20.27,20.48,2231300,0.0,0
2010-02-22,20.52,20.8,20.29,20.65,3246700,0.0,0
2010-02-23,20.66,20.8,20.58,20.7,2996900,0.0,0
2010-02-24,20.75,21.06,20.57,20.93,4341200,0.0,0
2010-02-25,20.69,21.17,20.57,21.11,4412100,0.0,0
2010-02-26,21.16,21.38,21.05,21.16,5170200,0.0,0
2010-03-01,21.22,21.73,21.11,21.6,4996700,0.0,0
2010-03-02,21.6,21.7,21.32,21.45,3470300,0.0,0
2010-03-03,21.42,21.69,21.4,21.53,4326300,0.0,0
2010-03-04,21.71,22.47,21.71,22.29,7932800,0.0,0
2010-03-05,22.34,22.62,22.32,22.5,3886600,0.0,0
2010-03-08,22.44,22.65,22.41,22.54,3248100,0.0,0
2010-03-09,22.45,22.73,22.41,22.51,3963400,0.0,0
2010-03-10,22.63,22.99,22.54,22.84,4206300,0.0,0
2010-03-11,22.75,22.77,22.46,22.7,3497100,0.0,0
2010-03-12,22.7,22.74,22.43,22.62,5059100,0.0,0
2010-03-15,22.67,22.91,22.47,22.81,4077800,0.0,0
2010-03-16,22.88,22.9,22.6,22.71,2618000,0.0,0
2010-03-17,22.69,22.78,22.62,22.69,1786100,0.0,0
2010-03-18,22.69,22.97,22.65,22.9,1974800,0.0,0
2010-03-19,23.08,23.08,22.48,22.76,4554100,0.0,0
2010-03-22,22.21,22.56,22.16,22.53,3562100,0.0,0
2010-03-23,22.53,22.58,22.28,22.43,2572800,0.0,0
2010-03-24,22.35,22.51,22.32,22.39,1949500,0.0,0
2010-03-25,22.52,22.66,22.15,22.15,3456900,0.0,0
2010-03-26,22.32,22.33,21.94,22.03,3143400,0.0,0
2010-03-29,21.87,22.05,21.83,21.9,3689000,0.0,0
2010-03-30,21.98,22.14,21.9,22.04,2701300,0.0,0
2010-03-31,22.01,22.23,21.88,22.09,2245100,0.0,0
2010-04-01,22.14,22.39,22.1,22.38,3260200,0.0,0
2010-04-05,22.45,23.0,22.45,22.77,3670000,0.0,0
2010-04-06,22.64,22.96,22.6,22.86,1839400,0.0,0
2010-04-07,22.86,22.92,22.48,22.54,2965700,0.0,0
2010-04-08,22.41,22.64,22.26,22.59,2235700,0.0,0
2010-04-09,22.6,22.8,22.49,22.79,2648700,0.0,0
2010-04-12,22.86,22.93,22.59,22.66,2605900,0.0,0
2010-04-13,22.54,22.62,22.29,22.52,2324900,0.0,0
2010-04-14,22.49,22.83,22.46,22.76,2589500,0.0,0
2010-04-15,22.68,22.93,22.59,22.8,3412100,0.0,0
2010-04-16,22.72,22.88,22.54,22.59,3289000,0.0,0
2010-04-19,22.65,22.86,22.44,22.79,2949900,0.0,0
2010-04-20,22.83,23.05,22.77,23.0,2127400,0.0,0
2010-04-21,23.09,23.29,22.96,23.26,3185300,0.0,0
2010-04-22,23.09,23.37,22.81,23.28,2474000,0.0,0
2010-04-23,23.33,23.34,22.99,23.29,2091600,0.0,0
2010-04-26,23.26,23.34,23.09,23.26,1653700,0.0,0
2010-04-27,23.27,23.51,22.98,23.02,2308300,0.0,0
2010-04-28,23.16,23.23,22.6,22.83,3582000,0.0,0
2010-04-29,22.61,23.78,22.57,23.36,6060700,0.0,0
2010-04-30,23.47,23.51,23.14,23.16,2749300,0.0,0
2010-05-03,23.18,23.65,23.03,23.53,2219300,0.0,0
2010-05-04,23.25,23.26,22.61,22.74,3175300,0.0,0
2010-05-05,22.71,23.01,22.52,22.72,2628900,0.0,0
2010-05-06,22.65,22.8,20.88,22.38,8407400,0.0,0
2010-05-07,22.23,22.41,20.99,21.19,7762900,0.0,0
2010-05-10,22.01,22.54,22.01,22.46,3749800,0.0,0
2010-05-11,22.26,22.93,22.09,22.52,2715900,0.0,0
2010-05-12,22.49,23.24,22.42,23.22,3757500,0.0,0
2010-05-13,22.96,23.51,22.57,23.04,2137500,0.0,0
2010-05-14,22.92,22.98,22.39,22.68,2182100,0.0,0
2010-05-17,22.77,23.06,22.43,22.79,2537700,0.0,0
2010-05-18,22.88,24.58,22.88,23.97,17461400,0.0,0
2010-05-19,23.62,24.82,23.5,23.77,11733700,0.0,0
2010-05-20,23.36,23.88,23.05,23.4,10776900,0.0,0
2010-05-21,23.0,23.56,22.87,23.22,9729900,0.0,0
2010-05-24,23.16,23.26,22.91,23.01,5797100,0.0,0
2010-05-25,22.36,22.42,21.98,22.35,7144700,0.0,0
2010-05-26,22.43,23.06,22.07,22.78,10706400,0.0,0
2010-05-27,23.08,23.63,23.0,23.61,5860400,0.0,0
2010-05-28,23.67,23.91,23.48,23.7,4039200,0.0,0
2010-06-01,23.56,23.78,23.08,23.11,4648300,0.0,0
2010-06-02,23.13,23.74,23.07,23.67,4978200,0.0,0
2010-06-03,23.67,25.03,23.56,24.53,8725400,0.0,0
2010-06-04,24.22,24.75,23.9,24.02,6325600,0.0,0
2010-06-07,24.13,24.32,23.39,23.49,6911900,0.0,0
2010-06-08,23.59,23.76,23.09,23.39,5891100,0.0,0
2010-06-09,23.56,24.4,23.56,23.74,5810900,0.0,0
2010-06-10,24.07,24.29,23.75,24.19,4633700,0.0,0
2010-06-11,24.04,24.43,24.04,24.4,2448700,0.0,0
2010-06-14,24.51,24.69,24.27,24.34,3243200,0.0,0
2010-06-15,24.58,24.88,24.49,24.84,4277200,0.0,0
2010-06-16,24.66,25.23,24.66,25.04,3622500,0.0,0
2010-06-17,25.0,25.08,24.79,25.07,3428500,0.0,0
2010-06-18,25.13,25.26,24.91,24.96,4775400,0.0,0
2010-06-21,25.15,25.3,24.55,24.64,3215800,0.0,0
2010-06-22,24.47,24.94,23.91,24.0,8899000,0.0,0
2010-06-23,24.0,24.44,24.0,24.17,5374400,0.0,0
2010-06-24,24.02,24.26,23.52,23.71,4168100,0.0,0
2010-06-25,23.67,23.78,23.48,23.55,4883700,0.0,0
2010-06-28,23.69,23.84,23.43,23.67,5001900,0.0,0
2010-06-29,23.4,23.48,22.48,22.67,5645000,0.0,0
2010-06-30,22.59,22.94,22.49,22.54,4309700,0.0,0
2010-07-01,22.53,22.76,22.02,22.32,4563100,0.0,0
2010-07-02,22.45,22.53,22.04,22.16,2154800,0.0,0
2010-07-06,22.45,22.51,21.85,22.03,3310400,0.0,0
2010-07-07,22.62,23.28,22.49,23.23,6564300,0.0,0
2010-07-08,23.35,24.13,23.25,23.77,7635200,0.0,0
2010-07-09,23.4,23.94,22.89,23.14,9313700,0.0,0
2010-07-12,23.02,23.35,22.93,23.17,4741200,0.0,0
2010-07-13,23.49,24.29,23.47,24.19,6879500,0.0,0
2010-07-14,24.06,24.57,24.0,24.56,5883200,0.0,0
2010-07-15,24.52,24.56,24.11,24.4,2671300,0.0,0
2010-07-16,24.4,24.4,23.62,23.69,2878600,0.0,0
2010-07-19,23.7,24.07,23.64,24.0,2210500,0.0,0
2010-07-20,23.63,24.23,23.49,24.17,2005000,0.0,0
2010-07-21,24.23,24.27,23.78,23.84,2496600,0.0,0
2010-07-22,24.06,24.35,24.01,24.28,5255600,0.0,0
2010-07-23,24.18,24.5,24.1,24.46,3181400,0.0,0
2010-07-26,24.55,24.72,24.28,24.58,2907100,0.0,0
2010-07-27,24.63,24.73,24.4,24.5,2238100,0.0,0
2010-07-28,24.42,24.61,24.0,24.14,3950800,0.0,0
2010-07-29,24.28,24.4,23.83,24.16,4751200,0.0,0
2010-07-30,23.95,24.28,23.85,23.9,4076000,0.0,0
2010-08-02,23.94,24.06,23.61,23.78,4572100,0.0,0
2010-08-03,24.05,24.98,23.87,24.81,8796900,0.0,0
2010-08-04,24.84,25.26,24.41,25.19,5729800,0.0,0
2010-08-05,24.97,25.25,24.74,25.06,4713800,0.0,0
2010-08-06,24.75,25.29,24.6,25.05,5086200,0.0,0
2010-08-09,25.01,25.25,24.85,25.16,4299200,0.0,0
2010-08-10,24.97,25.69,24.69,25.3,8262000,0.0,0
2010-08-11,24.75,24.96,24.28,24.44,7110600,0.0,0
2010-08-12,24.08,24.55,24.07,24.38,3625800,0.0,0
2010-08-13,24.23,25.3,24.12,24.23,3497900,0.0,0
2010-08-16,24.19,24.81,24.12,24.63,5447200,0.0,0
2010-08-17,24.79,25.02,24.68,24.83,3417700,0.0,0
2010-08-18,24.68,25.0,24.52,24.79,3418300,0.0,0
2010-08-19,24.63,25.22,24.62,24.92,8223800,0.0,0
2010-08-20,24.9,24.97,24.62,24.94,2769700,0.0,0
2010-08-23,24.97,25.19,24.63,24.71,2803700,0.0,0
2010-08-24,24.55,24.57,23.98,24.18,4944400,0.0,0
2010-08-25,23.96,24.63,23.9,24.48,7225000,0.0,0
2010-08-26,24.62,24.9,24.52,24.64,5357700,0.0,0
2010-08-27,24.74,25.12,24.48,25.08,3523900,0.0,0
2010-08-30,25.0,25.07,24.6,24.67,3317000,0.0,0
2010-08-31,24.49,24.81,24.23,24.7,4588900,0.0,0
2010-09-01,24.98,25.47,24.88,25.12,4289500,0.0,0
2010-09-02,25.26,25.38,25.06,25.25,2344700,0.0,0
2010-09-03,25.47,25.75,25.3,25.56,2861100,0.0,0
2010-09-07,25.45,25.65,25.22,25.27,1802100,0.0,0
2010-09-08,25.4,25.94,25.36,25.89,2889200,0.0,0
2010-09-09,26.05,26.22,25.92,26.03,1918100,0.0,0
2010-09-10,26.16,26.35,26.04,26.21,2599700,0.0,0
2010-09-13,26.32,26.81,26.16,26.81,3691900,0.0,0
2010-09-14,26.75,26.83,26.55,26.57,2650700,0.0,0
2010-09-15,26.54,26.74,26.39,26.64,1813200,0.0,0
2010-09-16,26.6,26.8,26.56,26.64,1759700,0.0,0
2010-09-17,26.71,26.75,26.34,26.71,4379200,0.0,0
2010-09-20,26.71,27.32,26.66,27.27,2305100,0.0,0
2010-09-21,27.3,27.32,26.9,27.05,3425000,0.0,0
2010-09-22,27.03,27.25,26.71,27.08,3451200,0.0,0
2010-09-23,26.89,27.19,26.64,26.69,2782800,0.0,0
2010-09-24,27.09,27.16,26.82,26.86,3357600,0.0,0
2010-09-27,26.77,26.96,26.73,26.81,2121600,0.0,0
2010-09-28,26.95,26.99,26.49,26.73,3454000,0.0,0
2010-09-29,26.62,26.9,26.55,26.84,2093100,0.0,0
2010-09-30,26.94,27.16,26.57,26.95,2771300,0.0,0
2010-10-01,27.09,27.14,26.73,26.93,2494900,0.0,0
2010-10-04,26.83,27.13,26.82,26.99,2984600,0.0,0
2010-10-05,27.24,27.82,27.19,27.66,3927700,0.0,0
2010-10-06,27.61,27.8,26.97,27.11,2734700,0.0,0
2010-10-07,27.16,27.32,26.97,27.16,2044600,0.0,0
2010-10-08,27.2,27.3,26.86,27.16,2237200,0.0,0
2010-10-11,27.13,27.22,26.9,26.96,1011500,0.0,0
2010-10-12,26.88,27.31,26.66,27.26,2850500,0.0,0
2010-10-13,27.28,27.6,27.25,27.33,2545000,0.0,0
2010-10-14,27.1,27.4,27.05,27.2,1180900,0.0,0
2010-10-15,27.33,27.5,27.04,27.31,3143800,0.0,0
2010-10-18,27.27,27.33,27.13,27.24,1364500,0.0,0
2010-10-19,26.96,27.17,26.66,26.9,2319600,0.0,0
2010-10-20,26.99,27.49,26.89,27.32,1726800,0.0,0
2010-10-21,27.49,27.54,27.02,27.33,1841200,0.0,0
2010-10-22,27.38,27.96,27.22,27.9,3577800,0.0,0
2010-10-25,28.01,28.53,27.98,28.32,2524100,0.0,0
2010-10-26,28.23,28.4,28.1,28.24,2749600,0.0,0
2010-10-27,28.05,28.39,28.02,28.25,3927200,0.0,0
2010-10-28,28.43,28.86,28.05,28.4,4163800,0.0,0
2010-10-29,27.93,30.14,26.96,29.51,7954600,0.0,0
2010-11-01,29.35,29.52,28.73,29.24,4470400,0.0,0
2010-11-02,29.48,29.54,29.08,29.16,2328200,0.0,0
2010-11-03,29.11,29.41,28.95,29.31,3254600,0.0,0
2010-11-04,29.54,29.96,29.46,29.95,3124400,0.0,0
2010-11-05,29.65,30.01,29.53,29.85,2095500,0.0,0
2010-11-08,29.64,30.18,29.64,30.04,2540500,0.0,0
2010-11-09,30.03,30.26,29.65,29.79,2909200,0.0,0
2010-11-10,29.64,29.72,28.89,29.38,5195100,0.0,0
2010-11-11,29.2,29.43,28.98,29.36,2519500,0.0,0
2010-11-12,29.16,29.37,28.81,29.05,2299200,0.0,0
2010-11-15,29.18,29.4,28.89,28.92,2542700,0.0,0
2010-11-16,28.7,29.02,28.66,28.95,3323900,0.0,0
2010-11-17,28.86,29.28,28.74,29.2,3124000,0.0,0
2010-11-18,29.47,29.86,29.39,29.58,1590700,0.0,0
2010-11-19,29.52,29.71,29.24,29.59,1152200,0.0,0
2010-11-22,29.51,30.08,29.43,30.08,2410900,0.0,0
2010-11-23,29.81,29.81,29.18,29.31,1678800,0.0,0
2010-11-24,29.5,30.3,29.5,30.14,1851000,0.0,0
2010-11-26,29.9,30.06,29.75,29.97,624700,0.0,0
2010-11-29,29.71,29.81,28.87,29.39,4488400,0.0,0
2010-11-30,29.07,29.19,28.75,29.13,3480700,0.0,0
2010-12-01,29.52,29.86,29.48,29.75,2343300,0.0,0
2010-12-02,29.87,30.06,29.59,29.98,3239100,0.0,0
2010-12-03,29.94,29.97,29.52,29.67,2755800,0.0,0
2010-12-06,29.69,29.86,29.61,29.72,1799700,0.0,0
2010-12-07,30.01,30.04,29.7,29.94,4036600,0.0,0
2010-12-08,30.05,30.16,29.74,29.94,1743200,0.0,0
2010-12-09,30.0,30.03,29.56,29.75,1365900,0.0,0
2010-12-10,30.57,30.77,29.92,30.31,7426000,0.0,0
2010-12-13,30.78,30.79,30.0,30.09,8011100,0.0,0
2010-12-14,30.14,30.27,30.02,30.14,2913200,0.0,0
2010-12-15,30.14,31.57,29.99,31.43,11280300,0.0,0
2010-12-16,31.14,31.56,30.61,31.52,8794500,3.0,0
2010-12-17,31.4,31.92,31.37,31.68,5065500,0.0,0
2010-12-20,31.86,31.86,31.43,31.54,2528500,0.0,0
2010-12-21,31.71,31.72,31.19,31.34,2203500,0.0,0
2010-12-22,31.43,31.44,30.92,31.06,2546000,0.0,0
2010-12-23,30.98,31.02,30.8,30.84,1540200,0.0,0
2010-12-27,30.77,30.84,30.32,30.64,2609100,0.0,0
2010-12-28,30.71,30.8,30.36,30.44,2104600,0.0,0
2010-12-29,30.56,30.56,30.2,30.41,1491600,0.0,0
2010-12-30,30.45,30.49,30.19,30.42,1280900,0.0,0
2010-12-31,30.45,30.46,30.18,30.19,1188300,0.0,0
2011-01-03,30.48,30.93,30.43,30.87,3295600,0.0,0
2011-01-04,31.05,31.09,30.47,30.68,2285800,0.0,0
2011-01-05,30.58,30.98,30.47,30.95,2142100,0.0,0
2011-01-06,30.9,31.35,30.8,31.2,1643800,0.0,0
2011-01-07,31.28,31.31,30.53,30.81,1691000,0.0,0
2011-01-10,30.36,30.6,29.86,30.41,3764300,0.0,0
2011-01-11,30.68,30.68,30.18,30.28,3361800,0.0,0
2011-01-12,30.4,30.42,29.96,30.07,2338100,0.0,0
2011-01-13,29.98,30.21,29.98,30.1,1416600,0.0,0
2011-01-14,30.13,30.69,30.01,30.63,2320200,0.0,0
2011-01-18,30.62,30.98,30.57,30.74,1865100,0.0,0
2011-01-19,30.68,30.76,30.09,30.13,2085200,0.0,0
2011-01-20,29.92,30.34,29.87,30.21,2525900,0.0,0
2011-01-21,30.24,30.51,29.73,29.76,1645000,0.0,0
2011-01-24,29.71,30.24,29.54,30.23,1629600,0.0,0
2011-01-25,29.95,30.08,29.62,30.04,2293900,0.0,0
2011-01-26,30.05,30.62,30.02,30.46,2260600,0.0,0
2011-01-27,30.35,30.69,30.09,30.4,1856600,0.0,0
2011-01-28,30.17,31.66,30.14,31.19,5768200,0.0,0
2011-01-31,31.18,31.32,30.77,31.09,2272100,0.0,0
2011-02-01,31.11,31.76,31.11,31.56,5541600,0.0,0
2011-02-02,31.44,31.75,31.41,31.45,2364400,0.0,0
2011-02-03,31.45,31.87,31.35,31.83,2215200,0.0,0
2011-02-04,31.88,32.92,31.42,32.6,3547500,0.0,0
2011-02-07,32.57,32.96,32.37,32.83,2963500,0.0,0
2011-02-08,32.83,33.24,32.63,32.8,3075400,0.0,0
2011-02-09,32.73,33.34,32.73,33.32,2363400,0.0,0
2011-02-10,33.13,33.52,33.01,33.46,2190700,0.0,0
2011-02-11,33.44,33.94,32.91,33.92,1910400,0.0,0
2011-02-14,34.05,34.72,33.67,33.8,5566400,0.0,0
2011-02-15,33.69,34.12,33.69,33.82,1165600,0.0,0
2011-02-16,34.08,34.27,33.82,34.17,1230300,0.0,0
2011-02-17,34.15,34.26,33.92,34.09,829500,0.0,0
2011-02-18,34.11,34.17,33.87,33.95,1134300,0.0,0
2011-02-22,33.64,33.69,32.39,32.43,2875000,0.0,0
2011-02-23,32.43,32.63,31.6,32.45,4299700,0.0,0
2011-02-24,32.43,33.06,32.34,32.92,2772000,0.0,0
2011-02-25,33.13,33.41,33.03,33.25,1502100,0.0,0
2011-02-28,33.25,33.28,32.39,32.61,2165900,0.0,0
2011-03-01,32.79,33.02,32.27,32.39,2187100,0.0,0
2011-03-02,32.33,33.14,32.29,32.93,2418300,0.0,0
2011-03-03,33.17,33.5,33.15,33.22,1545700,0.0,0
2011-03-04,33.15,33.48,33.11,33.39,1575500,0.0,0
