Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,59.21,60.23,59.21,59.94,808500,0,0
2009-12-08,59.7,59.76,58.87,59.23,781500,0,0
2009-12-09,59.13,59.52,58.62,59.44,547900,0,0
2009-12-10,59.73,61.39,59.73,60.75,1097100,0,0
2009-12-11,61.13,61.58,60.79,61.21,808000,0,0
2009-12-14,61.55,61.9,61.01,61.88,707700,0,0
2009-12-15,61.58,63.09,61.56,62.58,853000,0,0
2009-12-16,62.87,63.07,61.63,61.81,568100,0,0
2009-12-17,61.69,61.77,60.48,60.67,821500,0,0
2009-12-18,60.91,61.25,60.0,60.22,957300,0,0
2009-12-21,60.6,61.5,60.49,60.98,523400,0,0
2009-12-22,61.02,61.69,61.02,61.58,373600,0,0
2009-12-23,61.56,62.09,61.3,61.47,474400,0,0
2009-12-24,61.22,61.63,61.22,61.51,169500,0,0
2009-12-28,61.74,62.24,61.45,61.77,312100,0,0
2009-12-29,61.76,62.41,61.61,62.0,448000,0,0
2009-12-30,61.9,62.33,61.69,62.23,386900,0,0
2009-12-31,62.21,62.63,61.8,61.96,433600,0,0
2010-01-04,62.5,62.6,61.43,61.63,954400,0,0
2010-01-05,61.43,61.73,60.72,60.79,1545000,0,0
2010-01-06,60.71,61.19,60.45,60.9,1324200,0,0
2010-01-07,60.96,61.54,60.64,61.16,938100,0,0
2010-01-08,60.9,61.79,60.42,61.21,942500,0,0
2010-01-11,61.28,62.73,61.28,62.43,787500,0,0
2010-01-12,62.39,62.68,61.93,62.49,836300,0,0
2010-01-13,62.57,62.9,62.27,62.61,603300,0,0
2010-01-14,62.35,62.45,61.94,62.15,481600,0,0
2010-01-15,62.16,62.16,60.68,60.76,820000,0,0
2010-01-19,60.89,61.67,60.89,61.64,664300,0,0
2010-01-20,61.56,61.94,60.02,60.84,673500,0,0
2010-01-21,60.75,61.23,59.08,59.24,943700,0,0
2010-01-22,59.2,60.37,59.08,59.49,1093600,0,0
2010-01-25,59.92,59.92,58.88,59.23,765800,0,0
2010-01-26,59.22,59.22,57.44,58.04,2129300,0,0
2010-01-27,57.98,58.23,57.39,57.85,1110900,0,0
2010-01-28,57.87,58.22,57.35,57.82,871500,0,0
2010-01-29,58.03,58.69,56.97,56.98,1082400,0,0
2010-02-01,57.22,57.61,56.4,57.18,825700,0,0
2010-02-02,57.18,58.14,56.9,58.03,514000,0,0
2010-02-03,57.78,58.17,57.55,57.86,870600,0,0
2010-02-04,57.43,57.63,56.03,56.18,1227800,0,0
2010-02-05,56.31,57.56,55.97,57.47,2029500,0,0
2010-02-08,57.37,58.96,57.33,57.87,1234900,0,0
2010-02-09,58.51,59.0,57.9,58.2,829800,0,0
2010-02-10,57.98,58.28,57.16,57.51,709700,0,0
2010-02-11,57.65,57.97,57.09,57.88,884100,0,0
2010-02-12,57.65,58.38,57.54,58.26,931600,0,0
