Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,30.12,30.37,29.94,30.02,4416500,0.0,0
2009-12-08,29.8,29.97,29.4,29.54,7220300,0.0,0
2009-12-09,29.41,30.51,29.41,30.46,9244200,0.0,0
2009-12-10,30.59,30.87,30.45,30.55,7117900,0.0,0
2009-12-11,30.59,30.98,30.55,30.92,5091500,0.0,0
2009-12-14,30.94,31.06,30.38,30.44,5502600,0.0,0
2009-12-15,30.39,30.5,30.12,30.16,5904300,0.0,0
2009-12-16,30.35,30.75,30.08,30.47,7155800,0.0,0
2009-12-17,30.29,30.33,29.68,29.73,9743000,0.0,0
2009-12-18,29.7,29.7,28.4,29.19,17558200,0.0,0
2009-12-21,29.71,29.71,27.96,29.17,17653700,0.0,0
2009-12-22,29.36,29.45,29.07,29.45,7588900,0.0,0
2009-12-23,29.3,29.94,29.3,29.83,6216900,0.0,0
2009-12-24,29.83,29.88,29.72,29.86,1719200,0.0,0
2009-12-28,29.88,29.98,29.53,29.72,3166200,0.0,0
2009-12-29,29.69,29.83,29.61,29.66,2939500,0.0,0
2009-12-30,29.48,29.62,29.4,29.58,2822400,0.0,0
2009-12-31,29.63,29.63,29.22,29.26,2806100,0.0,0
2010-01-04,29.49,29.72,29.19,29.72,8171000,0.0,0
2010-01-05,29.56,29.61,29.18,29.48,10843200,0.0,0
2010-01-06,28.81,29.71,28.62,29.26,8945400,0.0,0
2010-01-07,29.23,29.48,29.06,29.43,5040700,0.0,0
2010-01-08,29.41,29.53,29.2,29.47,6139800,0.0,0
2010-01-11,29.48,29.59,29.4,29.52,4947500,0.0,0
2010-01-12,29.35,29.45,29.16,29.27,4646300,0.0,0
2010-01-13,29.2,29.61,29.16,29.54,4526600,0.0,0
2010-01-14,29.61,29.68,29.38,29.57,5686500,0.0,0
2010-01-15,29.42,29.52,29.05,29.16,8691800,0.0,0
2010-01-19,29.18,29.37,28.97,29.27,5621700,0.0,0
2010-01-20,29.16,29.52,29.09,29.44,5939000,0.0,0
2010-01-21,29.6,29.69,28.86,29.04,7951700,0.0,0
2010-01-22,28.93,29.32,28.66,28.67,6976400,0.0,0
2010-01-25,28.86,29.37,28.67,29.22,6138000,0.0,0
2010-01-26,29.12,29.24,28.77,28.82,6565500,0.0,0
2010-01-27,28.8,29.34,28.76,29.24,6706500,0.0,0
2010-01-28,29.28,29.48,28.98,29.0,5611100,0.0,0
2010-01-29,29.1,29.53,28.68,28.72,8441900,0.0,0
2010-02-01,28.91,29.01,28.69,28.98,6073200,0.0,0
2010-02-02,28.96,29.35,28.86,29.3,7675600,0.0,0
2010-02-03,28.68,28.83,27.27,27.58,23408700,0.0,0
2010-02-04,27.66,27.96,26.64,26.65,17080600,0.0,0
2010-02-05,26.65,26.83,26.29,26.54,12632300,0.0,0
2010-02-08,27.01,27.01,26.51,26.52,11686000,0.0,0
2010-02-09,26.73,26.96,26.62,26.78,7249200,0.0,0
2010-02-10,26.73,26.78,26.32,26.53,6630100,0.0,0
2010-02-11,26.49,26.77,26.32,26.77,5881800,0.0,0
2010-02-12,26.59,26.79,26.47,26.68,5645700,0.0,0
2010-02-16,26.84,27.26,26.68,27.26,5406500,0.138,0
2010-02-17,26.95,27.66,26.92,27.35,7799400,0.0,0
2010-02-18,27.46,27.8,27.38,27.75,5142100,0.0,0
