Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,31.78,31.83,31.2,31.32,2322600,0.0,0
2009-12-08,31.15,31.24,30.73,31.0,2575000,0.0,0
2009-12-09,30.91,31.75,30.54,31.71,2582800,0.0,0
2009-12-10,31.72,31.98,31.33,31.61,2866900,0.0,0
2009-12-11,31.63,31.91,31.08,31.27,1950900,0.0,0
2009-12-14,31.53,31.92,31.45,31.89,1894000,0.0,0
2009-12-15,31.89,32.04,31.49,31.75,2110500,0.0,0
2009-12-16,31.88,33.3,31.88,33.0,4441200,0.0,0
2009-12-17,32.85,33.9,32.67,33.66,5246900,0.0,0
2009-12-18,33.79,34.31,33.26,34.31,6259500,0.0,0
2009-12-21,34.42,34.97,34.15,34.65,4872500,0.0,0
2009-12-22,34.75,35.33,34.54,34.85,3649000,0.0,0
2009-12-23,34.82,35.4,34.82,35.34,2943700,0.0,0
2009-12-24,35.37,35.87,35.34,35.79,969400,0.0,0
2009-12-28,35.89,36.05,35.01,35.25,2561900,0.0,0
2009-12-29,35.28,35.38,34.86,35.27,1662700,0.0,0
2009-12-30,35.2,35.84,35.0,35.84,1690500,0.0,0
2009-12-31,35.84,36.04,35.4,35.4,1552200,0.0,0
2010-01-04,35.6,36.72,35.6,36.29,3118200,0.0,0
2010-01-05,36.36,38.04,36.12,37.25,7048900,0.0,0
2010-01-06,37.31,37.6,36.92,37.28,3996100,0.0,0
2010-01-07,37.2,37.28,36.14,36.55,3626500,0.0,0
2010-01-08,36.47,36.75,36.2,36.74,2521700,0.0,0
2010-01-11,36.81,37.24,36.51,36.78,2787900,0.0,0
2010-01-12,36.55,36.9,35.32,35.83,4171400,0.0,0
2010-01-13,35.92,36.5,35.31,36.45,2811200,0.0,0
2010-01-14,36.43,37.01,36.42,36.7,2097700,0.0,0
2010-01-15,36.69,36.75,34.76,35.26,4874900,0.0,0
2010-01-19,35.31,36.11,35.31,36.05,2865100,0.0,0
2010-01-20,35.73,35.8,34.7,35.49,3707900,0.0,0
2010-01-21,37.23,37.68,35.78,36.31,9389700,0.0,0
2010-01-22,36.04,36.04,32.63,32.66,10991300,0.0,0
2010-01-25,33.2,33.79,32.94,33.26,5392000,0.0,0
2010-01-26,33.26,33.43,32.58,32.76,4574200,0.0,0
2010-01-27,32.71,32.98,32.04,32.58,3780100,0.0,0
2010-01-28,32.74,32.74,31.3,31.65,4555400,0.0,0
2010-01-29,31.91,31.99,30.17,30.46,6185300,0.0,0
2010-02-01,30.69,31.89,30.62,31.83,4708300,0.0,0
2010-02-02,31.97,32.56,31.47,32.45,3502700,0.0,0
2010-02-03,32.25,32.81,32.12,32.46,2556300,0.0,0
2010-02-04,31.97,31.97,30.81,31.04,3643200,0.0,0
2010-02-05,31.03,31.76,30.6,31.61,5567800,0.0,0
2010-02-08,31.9,32.37,31.65,31.79,3680100,0.0,0
2010-02-09,32.4,32.76,31.92,32.37,4488400,0.0,0
2010-02-10,32.16,32.58,31.67,32.13,2744000,0.0,0
2010-02-11,32.2,32.5,31.73,32.3,3658200,0.0,0
2010-02-12,32.06,32.21,31.15,31.95,4832000,0.0,0
2010-02-16,32.33,34.15,32.23,34.14,7252800,0.0,0
2010-02-17,34.37,34.43,33.61,34.19,4111700,0.0,0
2010-02-18,34.03,34.84,33.63,34.8,3952000,0.0,0
2010-02-19,34.75,35.11,34.44,34.6,3839800,0.0,0
2010-02-22,34.69,34.86,33.9,33.97,4200800,0.0,0
2010-02-23,33.99,33.99,32.46,32.74,5144900,0.0,0
2010-02-24,32.92,33.24,31.13,31.26,11328200,0.0,0
2010-02-25,30.85,31.48,29.9,31.35,10621800,0.0,0
2010-02-26,31.4,31.4,30.76,30.97,4668800,0.0,0
2010-03-01,31.16,32.59,31.08,32.46,7416500,0.0,0
