Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,15.64,15.81,15.63,15.7,1050000,0.0,0.0
2009-12-08,15.67,15.72,15.5,15.64,946200,0.0,0.0
2009-12-09,15.66,15.69,15.52,15.68,1057400,0.0,0.0
2009-12-10,15.8,15.9,15.7,15.88,1604200,0.0,0.0
2009-12-11,16.04,16.32,16.02,16.29,3745000,0.0,0.0
2009-12-14,16.36,16.45,16.25,16.32,1970000,0.0,0.0
2009-12-15,16.28,16.28,16.13,16.17,1713400,0.0,0.0
2009-12-16,16.21,16.28,16.12,16.24,1788800,0.0,0.0
2009-12-17,16.14,16.25,16.05,16.21,1574000,0.0,0.0
2009-12-18,16.28,16.43,16.25,16.41,2283800,0.0,0.0
2009-12-21,16.42,16.64,16.42,16.51,1662600,0.0,0.0
2009-12-22,16.51,16.66,16.46,16.55,1848400,0.0,0.0
2009-12-23,16.59,16.75,16.42,16.72,2270800,0.0,0.0
2009-12-24,16.76,16.88,16.75,16.88,574800,0.0,0.0
2009-12-28,16.86,16.89,16.81,16.87,1063000,0.0,0.0
2009-12-29,16.87,17.03,16.87,16.98,1490200,0.0,0.0
2009-12-30,16.91,17.1,16.91,17.03,1437000,0.0,0.0
2009-12-31,17.04,17.04,16.82,16.84,1387000,0.0,0.0
2010-01-04,16.91,16.94,16.73,16.8,1541800,0.0,0.0
2010-01-05,16.8,16.89,16.54,16.58,1626000,0.0,0.0
2010-01-06,16.59,16.82,16.56,16.75,1934400,0.0,0.0
2010-01-07,16.76,16.76,16.6,16.72,1755800,0.0,0.0
2010-01-08,16.67,16.85,16.61,16.81,1292400,0.0,0.0
2010-01-11,16.88,17.1,16.88,17.06,1476200,0.0,0.0
2010-01-12,17.01,17.16,16.94,16.99,1646000,0.0,0.0
2010-01-13,17.01,17.16,16.94,17.11,1189400,0.0,0.0
2010-01-14,17.11,17.11,16.98,17.07,939000,0.0,0.0
2010-01-15,16.97,17.12,16.81,16.99,1651400,0.0,0.0
2010-01-19,16.95,17.14,16.9,17.13,1156000,0.0,0.0
2010-01-20,17.05,17.07,16.9,17.07,1406800,0.0,0.0
2010-01-21,17.03,17.19,16.86,16.95,2048200,0.0,0.0
2010-01-22,16.92,16.92,16.55,16.56,2242600,0.0,0.0
2010-01-25,16.65,16.73,16.49,16.66,1374800,0.0,0.0
2010-01-26,16.59,16.67,16.5,16.55,1560600,0.0,0.0
2010-01-27,16.55,16.65,16.29,16.54,1850000,0.0,0.0
2010-01-28,16.6,16.62,16.39,16.52,1961800,0.0,0.0
2010-01-29,16.53,16.64,16.41,16.53,2101600,0.0,0.0
2010-02-01,16.59,16.64,16.39,16.6,1657200,0.0,0.0
2010-02-02,16.57,16.76,16.46,16.76,2154000,0.0,0.0
2010-02-03,16.7,16.75,16.53,16.58,1550600,0.0,0.0
2010-02-04,16.44,16.51,16.28,16.28,3075200,0.0,0.0
2010-02-05,16.26,16.48,16.15,16.44,3570000,0.0,0.0
2010-02-08,16.46,16.49,16.25,16.25,1394200,0.0,0.0
2010-02-09,16.4,16.44,16.21,16.25,2664800,0.0,0.0
2010-02-10,16.2,16.44,16.11,16.4,3099800,0.4,0.0
2010-02-11,16.37,16.6,16.17,16.58,2294800,0.0,0.0
2010-02-12,16.51,16.51,16.3,16.45,2428000,0.0,0.0
2010-02-16,16.55,16.77,16.54,16.76,1408800,0.0,0.0
2010-02-17,16.83,16.84,16.65,16.72,1129800,0.0,0.0
2010-02-18,16.72,16.87,16.67,16.8,1046400,0.0,0.0
2010-02-19,16.78,17.17,16.75,17.11,1490000,0.0,0.0
2010-02-22,17.19,17.19,17.01,17.06,773600,0.0,0.0
2010-02-23,17.05,17.13,16.85,16.87,2540600,0.0,0.0
2010-02-24,16.92,16.95,16.69,16.79,2087400,0.0,0.0
2010-02-25,16.56,16.73,16.49,16.71,1461400,0.0,0.0
2010-02-26,16.77,16.79,16.58,16.64,1777000,0.0,0.0
2010-03-01,16.73,16.96,16.71,16.94,1017400,0.0,0.0
2010-03-02,17.07,17.15,17.02,17.15,1794600,0.0,0.0
2010-03-03,17.18,17.27,17.08,17.13,1023200,0.0,0.0
2010-03-04,17.13,17.16,17.0,17.09,934400,0.0,0.0
2010-03-05,17.1,17.19,17.08,17.16,1095200,0.0,0.0
2010-03-08,17.11,17.21,17.05,17.2,915200,0.0,0.0
2010-03-09,17.18,17.27,17.08,17.13,1007000,0.0,0.0
2010-03-10,17.11,17.16,16.99,17.14,1749400,0.0,0.0
2010-03-11,17.12,17.23,17.03,17.23,688000,0.0,0.0
2010-03-12,17.28,17.28,17.12,17.17,1245000,0.0,0.0
2010-03-15,17.17,17.25,17.11,17.25,807400,0.0,0.0
2010-03-16,17.22,17.45,17.19,17.44,1041800,0.0,0.0
2010-03-17,17.49,17.61,17.41,17.59,1725200,0.0,0.0
2010-03-18,17.54,17.63,17.44,17.53,1677600,0.0,0.0
2010-03-19,17.37,17.66,17.26,17.37,2707400,0.0,0.0
2010-03-22,17.31,17.31,17.11,17.25,1381800,0.0,0.0
2010-03-23,17.23,17.33,17.17,17.29,1130000,0.0,0.0
2010-03-24,17.3,17.33,17.1,17.14,1001400,0.0,0.0
2010-03-25,17.17,17.24,17.02,17.04,1837600,0.0,0.0
2010-03-26,17.09,17.21,17.03,17.03,1371800,0.0,0.0
2010-03-29,17.12,17.14,17.02,17.08,2601200,0.0,0.0
2010-03-30,17.08,17.16,16.98,16.99,2359600,0.0,0.0
2010-03-31,16.98,17.02,16.88,16.98,1962400,0.0,0.0
2010-04-01,17.03,17.16,16.98,17.15,2614400,0.0,0.0
2010-04-05,17.2,17.32,17.08,17.32,1106400,0.0,0.0
2010-04-06,17.29,17.51,17.23,17.49,1589800,0.0,0.0
2010-04-07,17.45,17.46,17.28,17.35,1063600,0.0,0.0
2010-04-08,17.27,17.27,17.15,17.24,995200,0.0,0.0
2010-04-09,17.23,17.35,17.06,17.34,791400,0.0,0.0
2010-04-12,17.36,17.47,17.27,17.47,991000,0.0,0.0
2010-04-13,17.44,17.53,17.34,17.51,1664200,0.0,0.0
2010-04-14,17.51,17.66,17.47,17.65,2063800,0.0,0.0
2010-04-15,17.66,17.66,17.45,17.5,1892600,0.0,0.0
2010-04-16,17.47,17.56,17.32,17.37,1617600,0.0,0.0
2010-04-19,17.31,17.47,17.29,17.44,1624400,0.0,0.0
2010-04-20,17.54,17.65,17.45,17.65,1086800,0.0,0.0
2010-04-21,17.62,17.76,17.58,17.75,1541000,0.0,0.0
2010-04-22,17.71,17.81,17.61,17.8,1036400,0.0,0.0
2010-04-23,17.76,17.86,17.67,17.86,953800,0.0,0.0
2010-04-26,17.83,17.87,17.77,17.81,1051400,0.0,0.0
2010-04-27,17.76,17.88,17.47,17.48,1258000,0.0,0.0
2010-04-28,17.52,17.57,17.39,17.52,1316200,0.0,0.0
2010-04-29,17.6,17.95,17.55,17.93,1948600,0.0,0.0
2010-04-30,17.97,18.28,17.93,18.04,2006200,0.0,0.0
2010-05-03,18.17,18.43,18.04,18.36,1881800,0.0,0.0
2010-05-04,18.48,18.48,17.92,18.2,1871200,0.0,0.0
2010-05-05,18.16,18.3,17.94,18.07,1750800,0.0,0.0
2010-05-06,17.99,17.99,16.38,17.34,4383400,0.0,0.0
2010-05-07,17.38,17.54,17.02,17.24,4555400,0.0,0.0
2010-05-10,17.75,17.83,17.24,17.81,3597800,0.0,0.0
2010-05-11,17.66,18.06,17.65,17.92,2617000,0.0,0.0
2010-05-12,18.16,18.16,17.94,18.11,2882200,0.4,0.0
2010-05-13,18.09,18.1,17.84,17.89,2560800,0.0,0.0
2010-05-14,17.82,17.87,17.63,17.75,1250800,0.0,0.0
2010-05-17,17.81,17.9,17.59,17.85,1604800,0.0,0.0
2010-05-18,17.87,18.06,17.66,17.69,1674200,0.0,0.0
2010-05-19,17.58,17.8,17.48,17.66,2302600,0.0,0.0
2010-05-20,17.35,17.42,17.02,17.03,2164600,0.0,0.0
2010-05-21,16.83,17.05,16.67,17.0,3692000,0.0,0.0
2010-05-24,16.89,17.14,16.79,16.9,1522000,0.0,0.0
2010-05-25,16.62,16.82,16.34,16.82,2048800,0.0,0.0
2010-05-26,16.9,17.07,16.78,16.86,1781800,0.0,0.0
2010-05-27,17.09,17.11,16.93,17.09,1369800,0.0,0.0
2010-05-28,17.09,17.29,17.05,17.1,1983000,0.0,0.0
2010-06-01,16.99,17.15,16.86,16.86,2140000,0.0,0.0
2010-06-02,16.95,17.16,16.84,17.16,2096600,0.0,0.0
2010-06-03,17.17,17.37,17.12,17.18,2347000,0.0,0.0
2010-06-04,16.92,17.09,16.72,16.78,2550600,0.0,0.0
2010-06-07,16.83,16.95,16.62,16.63,3809000,0.0,0.0
2010-06-08,16.62,16.95,16.55,16.94,2545400,0.0,0.0
2010-06-09,16.97,17.0,16.7,16.75,1987600,0.0,0.0
2010-06-10,16.95,17.25,16.94,17.25,1577600,0.0,0.0
2010-06-11,17.12,17.34,17.04,17.34,1682600,0.0,0.0
2010-06-14,17.49,17.49,17.3,17.32,1359200,0.0,0.0
2010-06-15,17.42,17.66,17.41,17.66,1438000,0.0,0.0
2010-06-16,17.58,17.95,17.58,17.87,1251200,0.0,0.0
2010-06-17,17.88,18.15,17.86,18.13,2092000,0.0,0.0
2010-06-18,18.21,18.23,18.01,18.06,2130200,0.0,0.0
2010-06-21,18.2,18.21,17.8,17.89,1015800,0.0,0.0
2010-06-22,17.92,17.94,17.54,17.56,1199600,0.0,0.0
2010-06-23,17.54,17.55,17.31,17.36,1571000,0.0,0.0
2010-06-24,17.35,17.83,17.31,17.7,3399800,0.0,0.0
2010-06-25,17.7,17.99,17.53,17.9,3493200,0.0,0.0
2010-06-28,17.8,18.15,17.73,18.06,1886800,0.0,0.0
2010-06-29,17.92,18.07,17.83,17.95,3171400,0.0,0.0
2010-06-30,17.94,17.99,17.67,17.7,2499800,0.0,0.0
2010-07-01,17.61,17.61,17.24,17.42,3442400,0.0,0.0
2010-07-02,17.43,17.75,17.39,17.63,1851400,0.0,0.0
2010-07-06,17.87,18.04,17.75,17.92,1750800,0.0,0.0
2010-07-07,17.99,18.42,17.89,18.41,2082600,0.0,0.0
2010-07-08,18.45,18.49,18.37,18.49,1385000,0.0,0.0
2010-07-09,18.47,18.54,18.37,18.52,1037600,0.0,0.0
2010-07-12,18.5,18.59,18.38,18.58,949800,0.0,0.0
2010-07-13,18.82,18.82,18.58,18.72,1525600,0.0,0.0
2010-07-14,18.63,18.76,18.51,18.75,1393800,0.0,0.0
2010-07-15,18.8,18.83,18.58,18.81,1336800,0.0,0.0
2010-07-16,18.73,18.73,18.38,18.44,1780400,0.0,0.0
2010-07-19,18.54,18.8,18.44,18.76,2400400,0.0,0.0
2010-07-20,18.64,18.96,18.56,18.96,1503000,0.0,0.0
2010-07-21,19.0,19.02,18.59,18.63,1045000,0.0,0.0
2010-07-22,18.83,19.14,18.82,19.02,1639000,0.0,0.0
2010-07-23,19.02,19.21,18.86,19.2,1602800,0.0,0.0
2010-07-26,19.27,19.29,19.16,19.28,1539600,0.0,0.0
2010-07-27,19.38,19.44,19.31,19.43,2270200,0.0,0.0
2010-07-28,19.37,19.52,19.3,19.32,1721400,0.0,0.0
2010-07-29,19.49,19.49,18.77,19.13,3323800,0.0,0.0
2010-07-30,18.92,19.1,18.76,18.94,1861800,0.0,0.0
2010-08-02,19.1,19.38,19.1,19.32,1751000,0.0,0.0
2010-08-03,19.24,19.34,19.14,19.23,1401800,0.0,0.0
2010-08-04,19.23,19.3,19.04,19.26,953400,0.0,0.0
2010-08-05,19.16,19.38,19.1,19.35,1571000,0.0,0.0
2010-08-06,19.28,19.49,19.14,19.48,1753400,0.0,0.0
