Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,27.5,27.63,27.06,27.3,1473200,0.0,0
2009-12-08,27.15,27.57,27.04,27.2,1045000,0.0,0
2009-12-09,27.18,27.52,27.11,27.24,1059700,0.0,0
2009-12-10,27.29,27.42,27.05,27.18,1049200,0.0,0
2009-12-11,27.41,27.41,26.92,27.23,1728000,0.0,0
2009-12-14,27.27,27.65,27.16,27.6,1730400,0.0,0
2009-12-15,27.61,27.64,27.25,27.33,1361700,0.0,0
2009-12-16,27.48,27.64,27.1,27.18,1146400,0.0,0
2009-12-17,27.05,27.27,26.84,26.94,1236400,0.0,0
2009-12-18,26.94,27.1,26.74,27.04,1711500,0.0,0
2009-12-21,27.11,27.26,26.91,27.24,1301600,0.0,0
2009-12-22,27.21,27.38,27.12,27.37,984900,0.0,0
2009-12-23,27.36,27.63,27.17,27.29,1215600,0.0,0
2009-12-24,27.45,27.72,27.36,27.66,465500,0.0,0
2009-12-28,27.73,27.99,27.55,27.64,833300,0.0,0
2009-12-29,27.64,27.82,27.39,27.45,659900,0.0,0
2009-12-30,27.45,27.52,27.28,27.51,609000,0.0,0
2009-12-31,27.52,27.67,26.54,26.54,1517000,0.0,0
2010-01-04,26.66,26.93,26.31,26.38,1426600,0.0,0
2010-01-05,26.52,26.79,26.27,26.75,1173300,0.0,0
2010-01-06,26.8,26.92,26.54,26.61,1061700,0.0,0
2010-01-07,26.65,26.87,26.34,26.67,1528800,0.0,0
2010-01-08,26.52,26.68,26.26,26.39,1089700,0.0,0
2010-01-11,26.16,26.49,26.12,26.45,1249600,0.0,0
2010-01-12,26.28,26.58,26.05,26.21,1261000,0.0,0
2010-01-13,26.35,26.84,26.3,26.78,1368900,0.0,0
2010-01-14,26.76,26.76,26.44,26.58,938400,0.0,0
2010-01-15,26.5,26.68,26.45,26.53,1531800,0.0,0
2010-01-19,26.54,27.31,26.54,27.21,1350500,0.0,0
2010-01-20,27.08,27.17,26.76,27.1,1324400,0.0,0
2010-01-21,27.12,27.32,26.4,26.46,1607600,0.0,0
2010-01-22,26.45,26.68,25.81,25.88,1934700,0.0,0
