Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,56.61,56.71,56.17,56.31,305900,0.0,0.0
2009-12-08,56.17,56.46,55.73,55.84,288200,0.0,0.0
2009-12-09,55.69,56.02,55.44,55.86,178200,0.0,0.0
2009-12-10,56.04,56.04,55.31,55.38,241300,0.0,0.0
2009-12-11,55.31,55.63,55.06,55.21,340000,0.0,0.0
2009-12-14,55.38,55.63,54.65,54.77,485000,0.0,0.0
2009-12-15,54.77,55.0,54.27,54.36,498400,0.0,0.0
2009-12-16,54.69,54.9,54.29,54.73,222500,0.0,0.0
2009-12-17,54.38,55.02,54.19,54.71,269000,0.0,0.0
2009-12-18,54.73,54.96,54.17,54.48,435200,0.0,0.0
2009-12-21,54.46,55.11,54.4,54.81,523900,0.0,0.0
2009-12-22,54.63,55.42,54.42,55.15,496200,0.0,0.0
2009-12-23,55.34,55.84,55.15,55.19,268100,0.0,0.0
2009-12-24,55.23,55.73,55.23,55.46,231300,0.0,0.0
2009-12-28,55.52,55.99,55.27,55.84,195300,0.68874,0.0
2009-12-29,55.75,56.24,55.67,55.97,194400,0.0,0.0
2009-12-30,55.8,56.01,55.57,55.94,147100,0.0,0.0
2009-12-31,56.07,56.07,55.42,55.5,261100,0.0,0.0
2010-01-04,56.22,56.32,55.48,56.32,348000,0.0,0.0
2010-01-05,56.07,56.85,55.75,56.2,339500,0.0,0.0
2010-01-06,56.28,57.19,55.82,57.1,585000,0.0,0.0
2010-01-07,57.29,57.65,56.64,56.93,328600,0.0,0.0
2010-01-08,56.76,57.02,56.64,56.87,279300,0.0,0.0
2010-01-11,56.95,57.65,56.74,57.44,254200,0.0,0.0
2010-01-12,56.95,57.94,56.74,57.59,417000,0.0,0.0
2010-01-13,57.59,58.01,57.38,57.71,193300,0.0,0.0
2010-01-14,57.52,58.05,57.4,57.59,272400,0.0,0.0
2010-01-15,57.44,57.82,56.83,56.91,226700,0.0,0.0
2010-01-19,56.76,57.8,56.68,57.56,118300,0.0,0.0
2010-01-20,57.46,58.49,57.4,58.22,294900,0.0,0.0
2010-01-21,58.49,58.68,57.65,57.75,183400,0.0,0.0
2010-01-22,57.1,57.48,56.72,56.74,344200,0.0,0.0
2010-01-25,57.04,57.4,56.55,56.85,672700,0.0,0.0
2010-01-26,56.58,56.7,55.82,56.3,608000,0.0,0.0
2010-01-27,56.09,56.28,54.96,56.01,502600,0.0,0.0
2010-01-28,56.09,56.18,55.06,55.08,313400,0.0,0.0
2010-01-29,55.1,59.82,54.85,55.19,354200,0.0,0.0
2010-02-01,55.4,55.78,55.29,55.54,294300,0.0,0.0
2010-02-02,55.38,57.04,55.38,56.72,564600,0.0,0.0
2010-02-03,56.64,58.01,56.49,57.69,485900,0.0,0.0
2010-02-04,57.12,59.92,57.0,59.39,732600,0.0,0.0
2010-02-05,59.14,59.54,58.72,59.14,819100,0.0,0.0
2010-02-08,59.23,59.29,58.45,58.45,368000,0.0,0.0
2010-02-09,58.7,58.83,58.34,58.64,253900,0.0,0.0
2010-02-10,58.87,58.95,58.3,58.51,150400,0.0,0.0
2010-02-11,58.24,58.7,58.17,58.55,250900,0.0,0.0
2010-02-12,58.2,58.55,58.2,58.38,173300,0.0,0.0
2010-02-16,58.41,58.74,58.05,58.66,243200,0.0,0.0
2010-02-17,59.1,59.75,58.97,59.44,337100,0.0,0.0
2010-02-18,59.12,59.48,58.97,59.29,154100,0.0,0.0
2010-02-19,59.12,60.68,59.12,60.38,341500,0.0,0.0
2010-02-22,60.62,60.95,60.53,60.93,215200,0.0,0.0
2010-02-23,60.76,62.91,60.68,61.56,641500,0.0,0.0
2010-02-24,61.48,62.76,61.39,61.84,389500,0.0,0.0
2010-02-25,61.31,62.17,61.2,61.9,470500,0.0,0.0
2010-02-26,62.0,62.68,61.9,62.66,354200,0.0,0.0
2010-03-01,62.63,63.67,62.51,63.48,345300,0.0,0.0
2010-03-02,63.69,64.4,63.06,63.79,287800,0.0,0.0
2010-03-03,64.11,64.59,63.41,63.52,323900,0.0,0.0
2010-03-04,63.67,64.09,63.35,64.09,265700,0.0,0.0
2010-03-05,64.11,64.53,63.67,64.47,243800,0.0,0.0
2010-03-08,64.65,65.37,64.23,64.72,415700,0.0,0.0
2010-03-09,64.51,66.27,64.51,65.77,390300,0.0,0.0
2010-03-10,65.75,65.98,65.41,65.66,206900,0.0,0.0
2010-03-11,65.75,66.13,65.12,65.85,261300,0.0,0.0
2010-03-12,65.75,66.27,65.66,66.13,165100,0.0,0.0
2010-03-15,65.92,66.46,65.43,66.19,210300,0.0,0.0
2010-03-16,66.06,66.91,66.04,66.78,133700,0.0,0.0
2010-03-17,66.93,67.26,66.74,66.99,235200,0.0,0.0
2010-03-18,66.72,67.33,66.63,66.97,296400,0.0,0.0
2010-03-19,65.98,66.76,65.62,65.98,375600,0.0,0.0
2010-03-22,65.98,66.65,65.75,66.51,207200,0.0,0.0
2010-03-23,66.63,67.33,66.44,67.16,313500,0.0,0.0
2010-03-24,66.97,67.18,66.04,66.34,222600,0.0,0.0
2010-03-25,66.57,67.33,66.34,67.07,219700,0.0,0.0
2010-03-26,67.01,67.62,66.76,66.99,206000,0.0,0.0
2010-03-29,67.31,67.84,66.69,67.82,267800,0.68874,0.0
2010-03-30,67.75,68.09,67.54,67.54,129200,0.0,0.0
2010-03-31,67.27,67.5,66.27,66.37,291300,0.0,0.0
2010-04-01,66.54,67.44,65.93,66.46,375500,0.0,0.0
