Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-06-24,48.68,48.68,48.62,48.62,3600,0.0,0.0
2015-06-25,48.25,48.25,47.49,47.49,4100,0.0,0.0
2015-06-26,47.49,47.49,47.49,47.49,100,0.0,0.0
2015-06-29,46.74,46.74,46.64,46.64,300,0.0,0.0
2015-06-30,47.05,47.1,46.28,46.72,2015000,0.0,0.0
2015-07-01,46.6,47.87,46.51,47.87,213500,0.0,0.0
2015-07-02,48.33,49.87,47.87,49.86,1936700,0.0,0.0
2015-07-06,49.96,50.94,48.32,48.91,2322200,0.0,0.0
2015-07-07,49.03,49.09,47.21,47.92,3388600,0.0,0.0
2015-07-08,47.95,49.02,45.65,45.81,4200100,0.0,0.0
2015-07-09,45.65,46.74,44.89,45.65,2535200,0.0,0.0
2015-07-10,46.01,47.26,45.57,47.1,2482800,0.0,0.0
2015-07-13,47.59,47.76,47.26,47.66,1386200,0.0,0.0
2015-07-14,47.64,48.37,47.13,47.71,1104100,0.0,0.0
2015-07-15,47.76,48.28,46.9,47.27,1342800,0.0,0.0
2015-07-16,47.33,48.85,47.21,47.81,1516000,0.0,0.0
2015-07-17,48.04,48.52,47.29,47.37,1346500,0.0,0.0
2015-07-20,47.56,48.28,47.18,47.22,2194200,0.0,0.0
2015-07-21,47.44,48.22,45.74,45.91,1998900,0.0,0.0
2015-07-22,46.3,46.9,45.7,46.14,999000,0.0,0.0
2015-07-23,45.85,46.63,45.53,45.91,1248300,0.0,0.0
2015-07-24,45.68,45.99,44.23,45.19,1281400,0.0,0.0
2015-07-27,44.84,45.58,44.39,44.64,1393100,0.0,0.0
2015-07-28,44.89,45.84,44.1,45.52,1816500,0.0,0.0
2015-07-29,45.17,45.82,44.56,45.56,1986900,0.0,0.0
2015-07-30,47.07,48.48,46.83,48.2,3918000,0.0,0.0
2015-07-31,47.18,48.91,46.92,48.38,1803400,0.0,0.0
2015-08-03,48.61,49.67,47.86,48.46,2361800,0.0,0.0
2015-08-04,47.76,48.68,47.75,48.0,780200,0.0,0.0
2015-08-05,48.55,49.07,47.73,48.14,1664100,0.0,0.0
2015-08-06,47.56,47.95,46.4,47.36,2815500,0.0,0.0
2015-08-07,47.32,48.03,46.78,47.99,2287300,0.0,0.0
2015-08-10,48.61,49.01,47.77,48.61,1580600,0.33787,0.0
2015-08-11,49.39,49.39,47.63,48.93,1916000,0.0,0.0
2015-08-12,48.93,49.29,47.63,48.86,1541700,0.0,0.0
2015-08-13,48.82,49.24,48.12,48.72,937000,0.0,0.0
2015-08-14,48.72,49.25,47.82,48.8,1041800,0.0,0.0
2015-08-17,48.34,48.94,48.34,48.88,792600,0.0,0.0
2015-08-18,48.64,49.07,48.55,48.75,894800,0.0,0.0
2015-08-19,48.61,48.85,47.9,47.9,1195200,0.0,0.0
2015-08-20,47.66,47.66,46.6,46.83,1439800,0.0,0.0
2015-08-21,46.48,46.51,45.25,45.54,2173600,0.0,0.0
2015-08-24,43.73,46.53,41.28,43.57,2381800,0.0,0.0
2015-08-25,45.0,45.05,42.46,42.83,2606800,0.0,0.0
2015-08-26,44.09,44.72,42.56,43.57,2064900,0.0,0.0
2015-08-27,44.95,45.73,44.56,45.71,2080600,0.0,0.0
2015-08-28,45.78,46.63,45.71,46.51,1674500,0.0,0.0
2015-08-31,46.38,46.48,45.26,45.81,1866000,0.0,0.0
2015-09-01,45.15,45.63,44.5,45.1,2054900,0.0,0.0
2015-09-02,45.47,45.87,44.34,44.89,1373800,0.0,0.0
2015-09-03,45.03,46.03,44.9,45.32,1227100,0.0,0.0
2015-09-04,44.19,45.02,44.18,44.26,911300,0.0,0.0
2015-09-08,44.87,45.29,44.52,45.23,694200,0.0,0.0
2015-09-09,45.54,46.35,44.86,44.96,1198000,0.0,0.0
2015-09-10,44.86,45.85,44.79,45.33,1845700,0.0,0.0
2015-09-11,45.15,46.14,44.78,45.34,1146300,0.0,0.0
2015-09-14,45.34,46.01,44.42,45.98,1648500,0.0,0.0
2015-09-15,48.61,48.61,45.28,46.06,1578000,0.0,0.0
