Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,14.14,14.3,14.07,14.25,2240200,0.0,0
2009-12-08,14.27,14.33,14.12,14.24,1890600,0.0,0
2009-12-09,14.2,14.33,14.13,14.33,2247400,0.0,0
2009-12-10,14.31,14.49,14.31,14.39,2111300,0.0,0
2009-12-11,14.38,14.66,14.38,14.66,2300500,0.0,0
2009-12-14,14.71,14.79,14.64,14.73,2362000,0.0,0
2009-12-15,14.68,14.75,14.62,14.7,3560500,0.0,0
2009-12-16,14.75,14.78,14.66,14.7,2526000,0.0,0
2009-12-17,14.62,14.73,14.55,14.58,3269200,0.0,0
2009-12-18,14.68,14.78,14.55,14.78,3635400,0.0,0
2009-12-21,14.9,15.02,14.72,14.9,3402800,0.0,0
2009-12-22,14.87,15.0,14.75,14.76,2341000,0.245,0
2009-12-23,14.8,14.86,14.75,14.82,1503300,0.0,0
2009-12-24,14.89,15.0,14.84,14.95,662400,0.0,0
2009-12-28,14.96,15.0,14.82,14.85,1615600,0.0,0
2009-12-29,14.87,14.96,14.83,14.84,2037200,0.0,0
2009-12-30,14.82,14.88,14.76,14.85,1736900,0.0,0
2009-12-31,14.85,14.92,14.69,14.69,1364700,0.0,0
2010-01-04,14.8,14.8,14.57,14.59,2670400,0.0,0
2010-01-05,14.5,14.54,14.13,14.42,4321400,0.0,0
2010-01-06,14.45,14.51,14.36,14.45,2164500,0.0,0
2010-01-07,14.4,14.43,14.29,14.39,3041700,0.0,0
2010-01-08,14.37,14.41,14.26,14.39,1599100,0.0,0
2010-01-11,14.48,14.6,14.39,14.53,2266600,0.0,0
2010-01-12,14.5,14.72,14.44,14.71,3481400,0.0,0
2010-01-13,14.73,14.97,14.73,14.93,3438400,0.0,0
2010-01-14,14.99,15.0,14.86,14.96,2278400,0.0,0
2010-01-15,14.91,14.91,14.74,14.82,3249700,0.0,0
2010-01-19,14.84,14.95,14.75,14.95,1647700,0.0,0
2010-01-20,14.93,14.96,14.7,14.91,2731100,0.0,0
2010-01-21,14.95,15.07,14.71,14.8,4444100,0.0,0
2010-01-22,14.77,14.84,14.43,14.43,3347900,0.0,0
2010-01-25,14.48,14.54,14.31,14.39,2106500,0.0,0
2010-01-26,14.32,14.48,14.28,14.4,2730900,0.0,0
2010-01-27,14.35,14.53,14.24,14.5,3885800,0.0,0
2010-01-28,14.61,14.61,14.35,14.44,2859000,0.0,0
2010-01-29,14.45,14.51,14.32,14.39,3960200,0.0,0
2010-02-01,14.42,14.48,14.28,14.44,2335200,0.0,0
2010-02-02,14.4,14.66,14.31,14.66,2501800,0.0,0
2010-02-03,14.59,14.65,14.46,14.48,2209300,0.0,0
2010-02-04,14.43,14.44,14.01,14.01,4037200,0.0,0
2010-02-05,13.98,14.01,13.75,13.94,4800900,0.0,0
2010-02-08,13.95,14.03,13.86,13.87,3274300,0.0,0
2010-02-09,13.93,14.13,13.91,13.99,3303600,0.0,0
2010-02-10,13.98,14.01,13.76,13.89,3504600,0.0,0
2010-02-11,13.9,14.07,13.72,14.05,3170700,0.0,0
2010-02-12,13.93,14.02,13.85,14.01,3009500,0.0,0
2010-02-16,14.06,14.28,14.06,14.26,1541700,0.0,0
2010-02-17,14.29,14.37,14.17,14.23,2249700,0.0,0
2010-02-18,14.23,14.44,14.21,14.43,2286800,0.0,0
2010-02-19,14.4,14.64,14.35,14.59,1938000,0.0,0
2010-02-22,14.65,14.68,14.54,14.57,2090700,0.0,0
2010-02-23,14.54,14.64,14.46,14.53,3150800,0.0,0
2010-02-24,14.56,14.63,14.35,14.56,2907000,0.0,0
2010-02-25,14.41,14.57,14.33,14.52,3108700,0.0,0
2010-02-26,14.52,14.6,14.41,14.41,2561700,0.0,0
2010-03-01,14.46,14.64,14.44,14.55,1524900,0.0,0
2010-03-02,14.62,14.73,14.59,14.69,1827700,0.0,0
2010-03-03,14.68,14.8,14.64,14.7,1558200,0.0,0
2010-03-04,14.7,14.71,14.53,14.58,2696100,0.0,0
2010-03-05,14.59,14.68,14.57,14.67,1982700,0.0,0
2010-03-08,14.64,14.69,14.59,14.64,1408200,0.0,0
2010-03-09,14.62,14.71,14.55,14.63,2193400,0.0,0
2010-03-10,14.62,14.68,14.48,14.62,2285800,0.0,0
2010-03-11,14.6,14.62,14.5,14.6,2853800,0.0,0
2010-03-12,14.67,14.72,14.48,14.56,2119000,0.0,0
2010-03-15,14.53,14.64,14.52,14.64,1147600,0.0,0
2010-03-16,14.67,14.75,14.59,14.75,1443700,0.0,0
2010-03-17,14.77,14.91,14.73,14.84,1759900,0.0,0
2010-03-18,14.81,14.89,14.73,14.84,2177800,0.0,0
2010-03-19,14.94,15.02,14.83,14.94,3545700,0.0,0
2010-03-22,14.89,14.94,14.84,14.89,1789300,0.0,0
2010-03-23,14.85,14.92,14.83,14.92,1649500,0.245,0
2010-03-24,14.88,14.89,14.76,14.76,1646400,0.0,0
2010-03-25,14.85,14.87,14.73,14.75,2143600,0.0,0
2010-03-26,14.79,14.89,14.7,14.73,1900100,0.0,0
2010-03-29,14.78,14.9,14.74,14.88,1929000,0.0,0
2010-03-30,14.87,14.98,14.84,14.86,1490600,0.0,0
2010-03-31,14.84,14.98,14.76,14.85,2405000,0.0,0
2010-04-01,14.9,15.06,14.88,14.99,1660700,0.0,0
2010-04-05,15.05,15.17,14.99,15.15,2138600,0.0,0
2010-04-06,15.09,15.3,15.09,15.3,1761700,0.0,0
2010-04-07,15.25,15.27,15.07,15.15,1704100,0.0,0
2010-04-08,15.14,15.14,14.98,15.05,1792500,0.0,0
2010-04-09,15.06,15.15,14.91,15.15,1640400,0.0,0
2010-04-12,15.18,15.26,15.13,15.23,1818000,0.0,0
2010-04-13,15.22,15.27,15.0,15.06,2601400,0.0,0
2010-04-14,15.01,15.09,14.96,15.07,1734800,0.0,0
2010-04-15,15.06,15.07,14.79,14.87,4962400,0.0,0
2010-04-16,14.87,15.17,14.86,15.04,5069800,0.0,0
2010-04-19,15.02,15.1,14.94,15.04,1839300,0.0,0
2010-04-20,15.11,15.14,15.06,15.13,2010200,0.0,0
2010-04-21,15.16,15.22,15.11,15.13,2201800,0.0,0
2010-04-22,15.07,15.28,14.99,15.25,2627200,0.0,0
2010-04-23,15.27,15.37,15.16,15.37,1639000,0.0,0
2010-04-26,15.32,15.44,15.29,15.29,2074100,0.0,0
2010-04-27,15.18,15.36,15.03,15.03,2475800,0.0,0
2010-04-28,15.1,15.16,14.98,15.05,3563900,0.0,0
2010-04-29,15.09,15.16,14.97,15.13,3594300,0.0,0
2010-04-30,15.21,15.39,15.13,15.23,2132000,0.0,0
2010-05-03,15.32,15.51,15.28,15.48,1991700,0.0,0
2010-05-04,15.29,15.41,15.18,15.23,2402200,0.0,0
2010-05-05,15.17,15.46,15.16,15.23,2635500,0.0,0
2010-05-06,15.16,15.23,14.06,14.78,5072800,0.0,0
2010-05-07,14.71,14.87,14.48,14.62,4365500,0.0,0
2010-05-10,14.92,15.05,14.77,15.04,3869500,0.0,0
2010-05-11,14.84,15.26,14.84,15.11,3040200,0.0,0
2010-05-12,15.09,15.16,14.99,15.1,2983400,0.0,0
2010-05-13,15.11,15.2,14.97,15.01,1875300,0.0,0
2010-05-14,14.95,15.03,14.8,14.9,2911700,0.0,0
2010-05-17,14.91,15.09,14.72,15.03,3057500,0.0,0
2010-05-18,15.08,15.18,14.88,14.92,3212600,0.0,0
2010-05-19,14.83,14.98,14.78,14.9,5634800,0.0,0
2010-05-20,14.63,14.82,14.43,14.43,6055500,0.0,0
2010-05-21,14.31,14.53,14.19,14.48,5656900,0.0,0
2010-05-24,14.44,14.53,14.31,14.34,2389600,0.0,0
2010-05-25,14.08,14.23,13.87,14.22,3701000,0.0,0
2010-05-26,14.32,14.36,14.14,14.2,2783200,0.0,0
2010-05-27,14.38,14.41,14.25,14.38,2324700,0.0,0
2010-05-28,14.34,14.48,14.31,14.35,3474800,0.0,0
2010-06-01,14.22,14.37,14.1,14.1,1921900,0.0,0
