Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,18.56,18.75,18.33,18.44,4088000,0.0,0
2009-12-08,18.38,19.06,18.21,18.86,11192100,0.0,0
2009-12-09,18.86,19.05,18.6,19.04,7539500,0.0,0
2009-12-10,19.08,19.26,18.97,19.02,4764800,0.0,0
2009-12-11,19.16,19.18,18.67,18.8,4341900,0.0,0
2009-12-14,18.91,19.02,18.64,19.0,4570700,0.0,0
2009-12-15,18.9,19.13,18.8,18.96,4338800,0.0,0
2009-12-16,18.97,19.74,18.96,19.65,10216600,0.0,0
2009-12-17,19.62,19.67,19.21,19.35,5538500,0.0,0
2009-12-18,19.41,19.63,19.27,19.56,5580500,0.0,0
2009-12-21,19.63,19.9,19.63,19.83,3960200,0.0,0
2009-12-22,19.87,20.07,19.79,19.88,3110900,0.0,0
2009-12-23,19.97,19.98,19.75,19.88,2112100,0.0,0
2009-12-24,19.97,20.12,19.9,20.12,956400,0.0,0
2009-12-28,20.17,20.19,19.91,20.02,2201700,0.0,0
2009-12-29,20.07,20.07,19.75,19.85,2286100,0.0,0
2009-12-30,19.84,20.19,19.8,20.11,2387500,0.0,0
2009-12-31,20.14,20.18,19.87,19.88,2249000,0.0,0
2010-01-04,20.1,20.33,20.02,20.13,2824700,0.0,0
2010-01-05,20.09,20.21,19.71,19.88,3469700,0.0,0
2010-01-06,19.83,20.13,19.6,19.75,6329200,0.0,0
2010-01-07,19.72,19.72,19.32,19.55,9252700,0.0,0
2010-01-08,19.47,19.87,19.35,19.83,5005800,0.0,0
2010-01-11,19.84,19.94,19.37,19.63,5611800,0.0,0
2010-01-12,19.33,19.4,18.89,19.08,6111800,0.0,0
2010-01-13,19.17,19.31,18.74,19.25,7026600,0.0,0
2010-01-14,19.02,19.17,18.87,19.13,4906500,0.0,0
2010-01-15,19.14,19.28,18.48,18.66,7072500,0.0,0
2010-01-19,18.96,18.99,18.69,18.94,7132600,0.0,0
2010-01-20,18.88,19.05,18.53,18.99,9186100,0.0,0
2010-01-21,19.1,20.16,18.8,20.03,20768000,0.0,0
2010-01-22,19.91,19.98,18.87,18.91,13790600,0.0,0
2010-01-25,19.04,19.57,19.02,19.34,11561400,0.0,0
