Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-10-13,20.88,21.56,20.43,21.54,396800,0.0,0
2011-10-14,21.64,22.64,21.64,22.52,402600,0.0,0
2011-10-17,22.65,22.92,22.35,22.35,583400,0.0,0
2011-10-18,22.26,22.53,22.12,22.42,423500,0.0,0
2011-10-19,22.43,22.52,21.99,21.99,722200,0.0,0
2011-10-20,22.03,22.23,21.61,21.99,549700,0.0,0
2011-10-21,22.21,22.87,22.16,22.69,1764500,0.0,0
2011-10-24,22.65,22.96,22.65,22.89,371300,0.0,0
2011-10-25,22.99,23.17,22.21,22.87,546800,0.0,0
2011-10-26,23.18,23.18,22.08,22.23,657300,0.0,0
2011-10-27,22.43,23.05,22.43,22.76,405400,0.0,0
2011-10-28,22.65,22.94,22.43,22.94,584700,0.0,0
2011-10-31,23.32,23.75,22.43,23.75,15106000,0.0,0
2011-11-01,22.74,25.12,22.34,24.26,6095200,0.0,0
2011-11-02,24.34,24.34,22.91,23.65,2476700,0.0,0
2011-11-03,23.93,24.05,23.43,23.44,1615000,0.0,0
2011-11-04,23.25,23.62,22.1,22.38,1923300,0.0,0
2011-11-07,22.13,22.63,21.65,21.85,2703500,0.0,0
2011-11-08,22.3,22.52,21.99,22.15,2024100,0.0,0
2011-11-09,21.63,22.21,21.18,21.22,1570900,0.0,0
2011-11-10,21.75,21.95,20.89,21.01,1166000,0.0,0
2011-11-11,21.21,21.4,20.99,21.13,1266200,0.0,0
2011-11-14,21.04,21.5,20.96,21.35,1339000,0.1012,0
2011-11-15,21.36,21.74,21.25,21.4,1657700,0.0,0
2011-11-16,21.37,21.95,21.21,21.52,1804600,0.0,0
2011-11-17,21.41,21.58,21.11,21.28,1279200,0.0,0
2011-11-18,21.3,21.54,21.16,21.35,1426200,0.0,0
2011-11-21,21.14,21.24,20.82,21.07,1282100,0.0,0
2011-11-22,22.32,23.32,20.22,21.08,2126400,0.0,0
2011-11-23,20.76,21.19,20.41,21.13,1009700,0.0,0
2011-11-25,20.92,20.92,20.41,20.52,991100,0.0,0
2011-11-28,21.11,21.57,20.64,20.96,1567300,0.0,0
2011-11-29,20.97,21.05,20.67,20.76,1222400,0.0,0
2011-11-30,21.46,21.59,20.81,21.32,2320800,0.0,0
2011-12-01,21.24,21.73,21.1,21.65,1046700,0.0,0
2011-12-02,22.73,22.73,21.61,21.63,1208900,0.0,0
2011-12-05,21.92,22.44,21.78,22.38,930900,0.0,0
2011-12-06,22.32,22.37,21.87,22.15,662800,0.0,0
2011-12-07,22.05,22.15,21.29,21.92,951200,0.0,0
2011-12-08,21.81,21.9,21.23,21.3,938700,0.0,0
2011-12-09,21.47,21.82,21.37,21.72,549800,0.0,0
2011-12-12,21.37,21.58,20.73,21.34,1213400,0.0,0
2011-12-13,21.43,21.81,21.15,21.28,1652500,0.0,0
2011-12-14,21.05,21.05,20.46,20.88,1736000,0.0,0
2011-12-15,21.01,21.46,20.91,21.34,1074900,0.0,0
2011-12-16,21.54,22.25,21.42,22.01,2925700,0.0,0
2011-12-19,22.01,22.18,21.54,21.63,1107200,0.0,0
2011-12-20,21.94,22.05,21.37,21.69,1190000,0.0,0
2011-12-21,21.81,22.33,21.43,22.23,2177400,0.0,0
2011-12-22,22.37,22.88,22.12,22.15,971100,0.0,0
2011-12-23,22.15,22.45,22.03,22.22,575000,0.0,0
2011-12-27,22.16,22.35,21.83,22.35,664400,0.0,0
2011-12-28,22.4,22.98,22.4,22.8,917700,0.0,0
2011-12-29,22.9,23.61,22.75,23.15,3975200,0.0,0
