Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,18.87,19.12,18.87,19.02,7044300,0.0,0.0
2009-12-08,18.76,19.07,18.76,19.02,9715400,0.0,0.0
2009-12-09,18.99,19.31,18.9,19.27,10494800,0.0,0.0
2009-12-10,19.38,19.5,19.11,19.13,6364300,0.0,0.0
2009-12-11,19.23,19.36,19.16,19.22,3256100,0.0,0.0
2009-12-14,19.38,19.49,19.24,19.42,4876400,0.0,0.0
2009-12-15,19.37,19.42,19.23,19.29,3600600,0.0,0.0
2009-12-16,19.46,19.48,19.23,19.28,2638100,0.0,0.0
2009-12-17,19.17,19.34,19.11,19.16,3440600,0.0,0.0
2009-12-18,19.2,19.28,19.11,19.24,5337100,0.0,0.0
2009-12-21,19.36,19.54,19.14,19.52,3968500,0.0,0.0
2009-12-22,19.52,19.74,19.42,19.55,3074100,0.0,0.0
2009-12-23,19.65,19.77,19.58,19.74,2633800,0.0,0.0
2009-12-24,19.77,19.84,19.7,19.73,1430600,0.0,0.0
2009-12-28,19.81,19.81,19.57,19.61,2498000,0.0,0.0
2009-12-29,19.66,19.76,19.64,19.64,2844700,0.0,0.0
2009-12-30,19.65,19.76,19.58,19.63,1886100,0.0,0.0
2009-12-31,19.63,19.77,19.5,19.5,1790200,0.0,0.0
2010-01-04,19.58,19.67,19.55,19.57,2962200,0.0,0.0
2010-01-05,19.58,19.61,19.41,19.5,3298700,0.0,0.0
2010-01-06,19.49,19.61,19.33,19.36,4178900,0.0,0.0
2010-01-07,19.28,19.41,19.24,19.36,2452400,0.0,0.0
2010-01-08,19.35,19.42,19.24,19.36,3772300,0.0,0.0
2010-01-11,19.45,19.83,19.35,19.7,5790100,0.0,0.0
2010-01-12,19.8,20.11,19.7,20.07,6634500,0.0,0.0
2010-01-13,20.14,20.3,19.98,20.18,5638000,0.21,0.0
2010-01-14,20.19,20.42,20.07,20.4,4147900,0.0,0.0
2010-01-15,20.39,20.42,19.96,20.05,6315900,0.0,0.0
2010-01-19,20.04,20.12,19.95,20.04,4951200,0.0,0.0
2010-01-20,19.9,20.01,19.67,19.76,4666600,0.0,0.0
2010-01-21,19.81,19.91,19.56,19.66,5409500,0.0,0.0
2010-01-22,19.5,19.68,19.26,19.28,5496200,0.0,0.0
2010-01-25,19.4,19.45,19.26,19.27,5121200,0.0,0.0
2010-01-26,19.17,19.41,19.14,19.3,3479800,0.0,0.0
2010-01-27,19.31,19.62,19.23,19.57,5000000,0.0,0.0
2010-01-28,19.67,19.8,19.28,19.31,5245000,0.0,0.0
2010-01-29,19.41,19.58,19.22,19.23,4092300,0.0,0.0
2010-02-01,19.37,19.93,19.33,19.91,5443100,0.0,0.0
2010-02-02,19.91,20.2,19.78,20.14,4649500,0.0,0.0
2010-02-03,19.97,20.01,19.66,19.87,5113800,0.0,0.0
2010-02-04,19.61,19.78,18.74,18.78,13879100,0.0,0.0
2010-02-05,18.83,18.91,18.41,18.54,10415900,0.0,0.0
2010-02-08,18.63,18.68,18.36,18.4,6890300,0.0,0.0
2010-02-09,18.5,18.67,18.27,18.59,10736500,0.0,0.0
2010-02-10,18.55,18.73,18.52,18.64,5846600,0.0,0.0
2010-02-11,18.63,18.79,18.51,18.77,5190700,0.0,0.0
2010-02-12,18.57,18.85,18.48,18.76,8109800,0.0,0.0
2010-02-16,18.78,18.92,18.75,18.89,5279600,0.0,0.0
2010-02-17,18.96,19.04,18.86,18.92,3859000,0.0,0.0
2010-02-18,18.93,19.04,18.86,18.93,4080200,0.0,0.0
