Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,54.72,55.69,54.72,55.19,961700,0.0,0
2009-12-08,54.72,54.96,54.14,54.55,2048900,0.0,0
2009-12-09,54.42,54.61,53.61,54.06,1579200,0.0,0
2009-12-10,54.44,55.53,54.33,55.28,1103700,0.0,0
2009-12-11,55.17,55.63,55.15,55.42,1173200,0.0,0
2009-12-14,55.55,56.23,55.55,55.9,947000,0.0,0
2009-12-15,55.9,56.48,55.47,56.08,1408800,0.0,0
2009-12-16,55.88,56.61,55.33,55.42,1563000,0.0,0
2009-12-17,55.21,55.41,54.75,54.78,1429000,0.0,0
2009-12-18,54.39,54.84,53.73,54.59,1798700,0.0,0
2009-12-21,54.75,55.53,54.75,54.97,674100,0.0,0
2009-12-22,54.89,55.55,54.89,55.49,619300,0.0,0
2009-12-23,55.68,56.12,55.28,56.08,764300,0.0,0
2009-12-24,56.14,56.3,56.02,56.27,234500,0.0,0
2009-12-28,56.28,56.5,55.98,56.33,545200,0.0,0
2009-12-29,56.28,56.44,56.03,56.18,590200,0.0,0
2009-12-30,56.15,56.22,55.6,55.79,577100,0.0,0
2009-12-31,55.69,55.91,55.13,55.18,562300,0.0,0
2010-01-04,55.37,56.15,55.37,56.03,782400,0.0,0
2010-01-05,57.25,57.86,56.62,57.81,1718100,0.0,0
2010-01-06,57.94,57.99,57.39,57.79,1277300,0.0,0
2010-01-07,58.67,59.47,58.03,59.11,1683500,0.0,0
2010-01-08,57.7,58.67,57.04,57.87,2149500,0.0,0
2010-01-11,58.25,59.57,58.07,59.15,1426000,0.0,0
2010-01-12,59.0,59.34,57.63,58.01,1476200,0.0,0
2010-01-13,58.12,58.62,57.63,58.39,766400,0.0,0
2010-01-14,58.25,58.69,58.02,58.56,755300,0.0,0
2010-01-15,58.34,58.53,57.37,57.65,1431500,0.0,0
2010-01-19,57.83,59.51,57.79,59.48,1656600,0.0,0
2010-01-20,59.47,60.47,57.92,58.38,1544600,0.0,0
2010-01-21,58.38,58.82,57.13,57.27,1038000,0.0,0
2010-01-22,57.97,58.82,56.54,56.57,1666600,0.0,0
2010-01-25,57.15,58.02,56.51,56.8,1886100,0.0,0
2010-01-26,56.65,57.1,56.41,56.63,1369400,0.0,0
2010-01-27,56.45,56.45,54.98,55.9,1655100,0.0,0
2010-01-28,54.38,55.34,52.77,53.07,3494800,0.0,0
2010-01-29,53.16,53.19,51.67,52.58,3514500,0.0,0
2010-02-01,52.71,53.3,51.88,53.24,2072500,0.0,0
2010-02-02,53.32,54.63,53.17,54.43,2173500,0.0,0
2010-02-03,54.31,54.31,53.27,53.33,1272100,0.0,0
2010-02-04,52.83,53.1,51.88,51.93,1619000,0.0,0
2010-02-05,51.81,51.9,51.09,51.75,1726900,0.0,0
2010-02-08,51.54,52.57,51.54,51.74,1338200,0.0,0
2010-02-09,52.18,52.77,51.88,52.35,1519000,0.0,0
2010-02-10,52.29,53.42,52.19,52.91,2530800,0.0,0
2010-02-11,52.67,54.09,52.67,53.77,2396300,0.0,0
2010-02-12,53.26,53.62,52.8,53.44,1156600,0.0,0
2010-02-16,53.65,54.48,53.53,54.48,1000200,0.0,0
2010-02-17,54.54,54.65,54.17,54.46,984200,0.0,0
2010-02-18,54.26,54.6,54.14,54.52,767000,0.0,0
2010-02-19,54.42,54.73,53.82,54.24,1072400,0.0,0
2010-02-22,54.24,54.44,53.9,54.28,701500,0.0,0
2010-02-23,54.09,54.17,53.23,53.57,820800,0.0,0
2010-02-24,53.65,54.06,53.41,53.62,1071600,0.0,0
2010-02-25,53.28,53.51,52.73,53.44,1054200,0.0,0
2010-02-26,53.42,53.92,53.21,53.52,917500,0.0,0
2010-03-01,53.62,54.68,53.47,54.36,1132300,0.0,0
2010-03-02,54.56,55.38,54.36,55.14,964100,0.0,0
2010-03-03,55.08,55.3,54.82,55.12,869200,0.0,0
2010-03-04,55.22,55.22,54.61,54.88,1172500,0.0,0
2010-03-05,54.96,56.29,54.88,56.11,1614200,0.0,0
2010-03-08,56.14,56.5,55.56,55.59,1025400,0.0,0
2010-03-09,55.25,55.53,55.12,55.18,1202800,0.0,0
2010-03-10,55.02,55.15,54.61,54.95,1256400,0.0,0
2010-03-11,54.75,54.86,52.37,53.24,9028000,0.0,0
2010-03-12,53.62,55.36,53.62,55.3,4746800,0.0,0
2010-03-15,55.06,55.41,54.16,54.37,2643900,0.0,0
2010-03-16,54.57,54.75,53.58,53.97,1964500,0.0,0
2010-03-17,54.0,54.15,53.6,53.81,2172400,0.0,0
2010-03-18,53.8,53.95,53.52,53.62,1729100,0.0,0
2010-03-19,53.19,53.76,52.49,53.19,2438600,0.0,0
2010-03-22,53.22,54.4,53.05,54.33,3306600,0.0,0
2010-03-23,54.4,54.72,53.75,54.58,1468100,0.0,0
2010-03-24,54.32,54.74,54.11,54.19,993800,0.0,0
2010-03-25,54.47,54.47,53.64,53.66,1327800,0.0,0
2010-03-26,53.87,54.13,53.35,53.5,1223700,0.0,0
2010-03-29,53.58,54.78,53.53,54.72,1474700,0.0,0
2010-03-30,54.65,55.18,54.41,55.11,1754500,0.0,0
2010-03-31,54.99,55.48,54.81,55.27,1962400,0.0,0
2010-04-01,55.47,56.0,55.39,56.0,1508300,0.0,0
2010-04-05,56.1,56.26,55.41,55.55,1140700,0.0,0
2010-04-06,55.33,55.7,54.89,55.03,1856500,0.0,0
2010-04-07,54.92,55.5,54.61,55.16,1993700,0.0,0
2010-04-08,54.97,55.3,54.71,55.16,1357900,0.0,0
2010-04-09,55.07,55.6,54.89,55.59,1064300,0.0,0
2010-04-12,55.59,55.84,55.35,55.4,734800,0.0,0
2010-04-13,55.33,56.15,55.14,56.1,1317800,0.0,0
2010-04-14,56.03,57.06,55.76,56.98,2212300,0.0,0
2010-04-15,57.4,58.2,56.73,56.95,2644200,0.0,0
2010-04-16,56.81,57.05,55.83,56.46,1965200,0.0,0
2010-04-19,56.23,56.51,55.7,56.36,1178000,0.0,0
2010-04-20,56.63,57.22,56.63,57.12,1973100,0.0,0
2010-04-21,57.03,57.03,55.88,56.22,2520700,0.0,0
2010-04-22,55.35,56.61,54.61,56.59,2803000,0.0,0
2010-04-23,56.63,57.06,56.3,56.92,2322600,0.0,0
2010-04-26,58.03,58.35,56.97,57.08,3616400,0.0,0
2010-04-27,56.9,57.58,56.6,56.78,2433500,0.0,0
2010-04-28,57.07,57.82,56.7,57.37,2461200,0.0,0
2010-04-29,57.76,57.85,57.3,57.52,2769000,0.0,0
2010-04-30,57.43,57.85,56.48,56.86,1430300,0.0,0
2010-05-03,56.91,57.41,56.56,57.26,707500,0.0,0
2010-05-04,56.65,57.02,56.01,56.24,1440700,0.0,0
2010-05-05,55.86,56.33,55.53,56.3,2280700,0.0,0
2010-05-06,56.01,57.01,53.84,55.77,4451000,0.0,0
2010-05-07,55.47,55.64,53.89,54.61,3506600,0.0,0
2010-05-10,56.41,57.36,55.93,56.84,1966200,0.0,0
2010-05-11,56.59,57.17,56.07,56.67,1573400,0.0,0
2010-05-12,56.88,57.16,56.43,57.04,2274600,0.0,0
2010-05-13,56.92,57.13,56.62,56.62,1064800,0.0,0
2010-05-14,56.34,56.56,55.33,55.6,969400,0.0,0
2010-05-17,55.7,56.02,54.29,55.12,2442800,0.0,0
2010-05-18,55.24,55.9,54.73,54.8,1159800,0.0,0
2010-05-19,54.69,54.9,54.15,54.49,1074300,0.0,0
2010-05-20,53.63,53.64,52.35,52.35,1757200,0.0,0
2010-05-21,51.61,52.81,51.08,52.12,2893100,0.0,0
2010-05-24,51.66,52.91,51.65,51.92,2332500,0.0,0
2010-05-25,51.03,51.23,50.02,51.21,2373400,0.0,0
2010-05-26,51.51,51.69,50.52,50.63,2795800,0.0,0
2010-05-27,51.27,51.67,50.86,51.65,1620000,0.0,0
2010-05-28,51.58,52.7,51.43,52.21,2924700,0.0,0
2010-06-01,51.68,51.68,50.51,50.57,3228700,0.0,0
2010-06-02,50.57,51.44,50.31,51.44,1651500,0.0,0
2010-06-03,51.9,51.97,51.16,51.56,2113800,0.0,0
2010-06-04,50.71,51.06,49.49,49.65,2565800,0.0,0
2010-06-07,49.89,50.03,49.13,49.16,1539800,0.0,0
2010-06-08,49.25,49.71,48.79,49.47,2215800,0.0,0
2010-06-09,49.74,50.57,49.48,49.68,2569600,0.0,0
2010-06-10,50.27,50.63,50.07,50.47,1952200,0.0,0
2010-06-11,49.85,50.63,49.73,50.42,1625100,0.0,0
2010-06-14,50.44,50.95,50.02,50.1,1831900,0.0,0
2010-06-15,50.3,50.94,50.23,50.75,2614100,0.0,0
2010-06-16,50.85,51.67,49.69,51.5,2250400,0.0,0
2010-06-17,51.53,51.55,50.95,51.36,1349600,0.0,0
2010-06-18,51.41,51.62,51.01,51.39,3203300,0.0,0
2010-06-21,51.98,52.31,51.13,51.35,2106800,0.0,0
2010-06-22,51.45,51.75,50.91,50.95,1735100,0.0,0
2010-06-23,50.93,50.93,49.96,50.58,1631800,0.0,0
2010-06-24,50.31,50.31,49.51,49.68,1848800,0.0,0
2010-06-25,49.82,49.9,49.39,49.73,1813800,0.0,0
2010-06-28,49.65,51.31,49.52,50.95,2643400,0.0,0
2010-06-29,51.51,52.72,50.58,50.97,3931400,0.0,0
2010-06-30,51.05,51.43,50.26,50.46,2680900,0.0,0
2010-07-01,50.48,50.48,49.23,50.3,1939400,0.0,0
2010-07-02,50.35,51.09,50.23,50.71,1633200,0.0,0
2010-07-06,51.04,51.95,50.98,51.38,2160500,0.0,0
2010-07-07,51.39,52.57,50.9,52.49,1831700,0.0,0
2010-07-08,52.7,53.07,52.05,52.59,1823900,0.0,0
2010-07-09,52.35,52.64,52.16,52.49,1319700,0.0,0
2010-07-12,52.36,52.47,52.06,52.29,1362500,0.0,0
2010-07-13,52.63,53.75,52.63,53.14,2103600,0.0,0
2010-07-14,52.98,53.67,52.87,53.67,1575700,0.0,0
2010-07-15,53.62,54.22,53.41,54.07,1648200,0.0,0
2010-07-16,53.92,54.06,52.04,52.2,1549000,0.0,0
2010-07-19,52.35,52.63,51.91,52.27,955800,0.0,0
2010-07-20,51.14,51.59,50.24,51.49,2761600,0.0,0
2010-07-21,49.28,50.08,48.69,49.45,5164800,0.0,0
2010-07-22,51.13,51.63,48.8,49.02,5840300,0.0,0
2010-07-23,49.09,49.83,48.84,49.42,3374600,0.0,0
2010-07-26,49.67,50.21,49.35,49.78,3574800,0.0,0
2010-07-27,50.06,50.45,49.76,50.29,3320800,0.0,0
2010-07-28,50.13,50.37,49.59,49.93,4068000,0.0,0
2010-07-29,50.22,50.22,48.54,48.7,3837000,0.0,0
2010-07-30,48.21,49.67,48.08,49.47,2600700,0.0,0
2010-08-02,49.91,50.59,49.86,50.25,2271900,0.0,0
2010-08-03,50.22,50.8,50.21,50.59,1946200,0.0,0
2010-08-04,50.59,51.3,50.42,51.19,1903800,0.0,0
2010-08-05,50.89,51.02,50.56,50.88,1846100,0.0,0
2010-08-06,50.49,50.69,49.72,50.39,1589100,0.0,0
2010-08-09,50.78,50.87,50.15,50.4,1217100,0.0,0
2010-08-10,50.05,50.79,49.75,50.32,2126700,0.0,0
2010-08-11,49.68,49.68,48.44,48.56,3295600,0.0,0
2010-08-12,48.03,48.84,47.9,48.55,2847400,0.0,0
2010-08-13,48.28,48.45,47.97,48.02,1454800,0.0,0
2010-08-16,47.73,48.05,47.24,47.61,1349000,0.0,0
2010-08-17,47.74,48.17,47.51,47.81,2049500,0.0,0
2010-08-18,47.83,48.71,47.66,48.42,1596300,0.0,0
2010-08-19,48.2,48.2,46.84,46.88,1826000,0.0,0
2010-08-20,46.71,47.19,46.19,46.51,1779300,0.0,0
2010-08-23,46.82,47.23,46.08,46.09,1649200,0.0,0
2010-08-24,45.6,45.6,43.75,43.85,3615200,0.0,0
2010-08-25,43.3,44.78,43.2,44.55,2950000,0.0,0
2010-08-26,44.59,44.67,43.99,44.14,1672700,0.0,0
2010-08-27,44.2,44.89,43.99,44.82,1409600,0.0,0
2010-08-30,44.69,44.88,44.37,44.37,1272300,0.0,0
2010-08-31,44.27,44.4,43.84,44.04,1934800,0.0,0
2010-09-01,44.55,45.37,44.39,44.53,1870400,0.0,0
2010-09-02,44.93,45.52,44.72,45.32,1426900,0.0,0
2010-09-03,45.63,46.15,45.58,46.01,1428200,0.0,0
2010-09-07,45.84,46.17,45.6,45.75,1698900,0.0,0
2010-09-08,45.47,45.73,45.06,45.46,2298300,0.0,0
2010-09-09,45.82,45.97,45.47,45.7,1413100,0.0,0
2010-09-10,45.67,46.14,45.37,45.74,1522700,0.0,0
2010-09-13,46.18,46.36,45.83,46.03,1553900,0.0,0
2010-09-14,45.86,46.63,45.43,46.56,1895900,0.0,0
2010-09-15,46.45,47.22,46.2,47.21,2064900,0.0,0
2010-09-16,47.01,47.22,46.31,47.21,1531200,0.0,0
2010-09-17,47.36,47.59,47.01,47.31,1981800,0.0,0
2010-09-20,47.49,48.26,47.18,48.17,1428500,0.0,0
2010-09-21,48.01,48.44,47.69,48.11,1438700,0.0,0
2010-09-22,48.03,48.31,47.14,47.24,1629600,0.0,0
2010-09-23,46.94,47.42,46.69,46.99,1327200,0.0,0
2010-09-24,47.31,48.37,47.3,48.37,1236900,0.0,0
2010-09-27,47.8,47.8,46.67,46.78,3127000,0.0,0
2010-09-28,46.84,48.35,46.21,48.26,4273400,0.0,0
2010-09-29,48.06,48.92,47.83,48.69,2131400,0.0,0
2010-09-30,48.81,49.24,48.36,48.85,1988800,0.0,0
2010-10-01,49.02,49.3,48.81,49.15,1724400,0.0,0
2010-10-04,48.85,49.17,47.67,47.83,1859600,0.0,0
2010-10-05,48.26,49.22,48.19,48.94,1763900,0.0,0
2010-10-06,48.96,49.25,48.85,49.25,1091100,0.0,0
2010-10-07,49.36,49.38,48.33,48.64,2103300,0.0,0
2010-10-08,48.76,49.07,48.15,48.51,2142000,0.0,0
2010-10-11,48.5,48.56,47.99,48.19,1519400,0.0,0
2010-10-12,48.05,48.1,46.43,47.59,4731500,0.0,0
2010-10-13,47.93,48.04,46.28,47.15,4232100,0.0,0
2010-10-14,47.15,47.54,46.66,46.97,2093900,0.0,0
2010-10-15,47.33,47.9,46.95,47.82,2204000,0.0,0
2010-10-18,47.89,48.85,47.78,48.76,1927600,0.0,0
2010-10-19,47.98,48.08,47.15,47.29,2708300,0.0,0
