Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,11.9,12.22,11.87,12.11,5229300,0.0,0
2009-12-08,12.14,12.65,12.11,12.54,7954500,0.0,0
2009-12-09,12.52,12.9,12.31,12.76,7559700,0.0,0
2009-12-10,12.81,12.84,12.28,12.34,4811800,0.0,0
2009-12-11,12.36,12.5,12.24,12.41,3494300,0.0,0
2009-12-14,12.5,12.6,12.23,12.56,3948400,0.0,0
2009-12-15,12.32,12.33,11.82,11.91,5638300,0.0,0
2009-12-16,11.96,12.09,11.69,11.79,4555200,0.0,0
2009-12-17,11.65,11.9,11.58,11.59,3630100,0.0,0
2009-12-18,11.69,11.99,11.59,11.98,5720000,0.0,0
2009-12-21,12.01,12.12,11.82,12.06,3089900,0.0,0
2009-12-22,12.06,12.07,11.89,12.07,3029600,0.0,0
2009-12-23,12.04,12.05,11.73,11.8,3833200,0.0,0
2009-12-24,11.84,11.89,11.72,11.78,1145500,0.0,0
2009-12-28,11.79,11.93,11.59,11.65,3281500,0.0,0
2009-12-29,11.59,11.75,11.57,11.64,2129100,0.0,0
2009-12-30,11.59,11.69,11.42,11.69,2799500,0.0,0
2009-12-31,11.62,11.8,11.57,11.71,3239800,0.0,0
2010-01-04,11.81,12.21,11.76,12.17,3974600,0.0,0
2010-01-05,12.12,12.63,12.08,12.6,5605500,0.0,0
2010-01-06,12.48,13.7,12.47,13.69,12615200,0.0,0
2010-01-07,13.67,15.52,13.65,15.23,24716800,0.0,0
2010-01-08,14.78,15.21,14.17,14.98,6903000,0.0,0
2010-01-11,15.04,15.33,14.7,15.07,5532000,0.0,0
2010-01-12,14.95,15.47,14.45,14.65,7340200,0.0,0
2010-01-13,14.56,15.13,13.82,14.93,10367200,0.0,0
2010-01-14,14.94,15.38,14.84,15.26,4677900,0.0,0
2010-01-15,15.32,15.42,14.72,14.84,4889300,0.0,0
2010-01-19,14.84,15.7,14.66,15.62,7056700,0.0,0
2010-01-20,15.44,16.43,15.38,16.36,9979700,0.0,0
2010-01-21,16.41,17.73,16.39,16.76,14223800,0.0,0
2010-01-22,16.5,16.66,15.63,16.12,11289700,0.0,0
2010-01-25,16.4,16.42,15.24,16.36,10474700,0.0,0
2010-01-26,17.31,18.79,17.25,17.42,26333100,0.0,0
2010-01-27,17.24,17.66,16.74,17.29,9314100,0.0,0
2010-01-28,17.83,18.03,17.25,17.66,7063800,0.0,0
2010-01-29,17.87,17.99,17.15,17.32,6963600,0.0,0
2010-02-01,17.5,18.2,17.46,18.19,6913400,0.0,0
2010-02-02,18.24,18.43,17.75,18.18,5880500,0.0,0
2010-02-03,18.05,18.06,16.85,17.0,10280400,0.0,0
2010-02-04,16.52,16.57,15.88,15.97,11389800,0.0,0
2010-02-05,16.1,16.52,15.74,16.43,7965300,0.0,0
2010-02-08,16.47,17.15,16.17,16.43,8066000,0.01,0
2010-02-09,16.72,17.04,16.43,16.63,4783100,0.0,0
2010-02-10,16.68,17.08,16.56,16.92,4126600,0.0,0
2010-02-11,16.82,17.02,16.51,16.6,5180100,0.0,0
2010-02-12,16.45,16.49,16.02,16.31,4889000,0.0,0
2010-02-16,16.53,16.74,16.21,16.68,3531900,0.0,0
2010-02-17,16.89,16.89,16.31,16.49,3946300,0.0,0
2010-02-18,16.32,16.57,16.08,16.19,4436000,0.0,0
2010-02-19,16.14,16.91,16.05,16.84,5704800,0.0,0
2010-02-22,16.94,17.36,16.92,17.24,4690800,0.0,0
2010-02-23,16.95,17.3,16.47,16.61,5477800,0.0,0
2010-02-24,16.62,17.26,16.51,17.05,4770400,0.0,0
2010-02-25,16.73,16.86,16.46,16.84,4482200,0.0,0
2010-02-26,16.86,16.99,16.55,16.94,3528900,0.0,0
2010-03-01,17.08,17.08,16.61,16.72,2452200,0.0,0
2010-03-02,17.17,17.53,16.82,17.03,4703800,0.0,0
2010-03-03,17.11,17.14,16.73,16.81,3343500,0.0,0
2010-03-04,16.78,16.84,16.44,16.52,4441000,0.0,0
2010-03-05,16.67,17.15,16.57,17.12,4540900,0.0,0
2010-03-08,17.27,17.42,17.05,17.29,3084200,0.0,0
2010-03-09,17.12,17.72,16.86,17.59,5624600,0.0,0
2010-03-10,17.81,19.24,17.77,18.72,13857400,0.0,0
2010-03-11,18.89,19.85,18.61,19.58,14077100,0.0,0
2010-03-12,19.8,20.03,19.15,19.17,9106700,0.0,0
2010-03-15,19.13,19.48,18.8,19.4,6415500,0.0,0
2010-03-16,19.6,20.42,19.4,20.3,8523800,0.0,0
2010-03-17,20.26,21.68,20.26,21.18,13527300,0.0,0
2010-03-18,20.82,21.0,20.27,20.76,8474500,0.0,0
2010-03-19,20.72,20.98,20.11,20.2,7798700,0.0,0
2010-03-22,19.87,20.71,19.51,20.65,5981200,0.0,0
2010-03-23,20.63,20.92,20.26,20.84,4373500,0.0,0
2010-03-24,20.76,21.4,20.72,21.06,5177100,0.0,0
2010-03-25,21.32,21.79,20.64,20.68,5195100,0.0,0
2010-03-26,20.81,21.18,20.01,20.31,5999600,0.0,0
2010-03-29,20.59,20.74,19.58,19.87,7127400,0.0,0
2010-03-30,19.91,20.08,19.7,19.79,3950800,0.0,0
2010-03-31,19.58,20.17,19.56,19.95,4617800,0.0,0
2010-04-01,20.21,20.26,19.74,19.99,3231500,0.0,0
2010-04-05,20.55,21.25,20.32,21.2,6554200,0.0,0
2010-04-06,21.14,22.52,21.03,22.17,8533800,0.0,0
2010-04-07,22.22,22.61,21.32,21.69,7203800,0.0,0
2010-04-08,21.71,22.07,21.25,21.89,4002200,0.0,0
2010-04-09,22.08,22.24,21.66,21.86,3588400,0.0,0
2010-04-12,21.86,22.76,21.62,22.74,7493900,0.0,0
2010-04-13,22.61,22.7,22.16,22.44,9121900,0.0,0
2010-04-14,22.79,24.37,22.61,24.08,12528900,0.0,0
2010-04-15,24.72,24.76,23.56,23.88,10151500,0.0,0
2010-04-16,23.8,24.05,22.27,23.32,8800800,0.0,0
2010-04-19,23.08,23.6,22.53,23.23,8444100,0.0,0
2010-04-20,23.55,25.21,23.09,25.05,13658700,0.0,0
2010-04-21,25.17,27.4,25.08,26.37,15578100,0.0,0
2010-04-22,26.2,27.18,25.71,27.04,6772200,0.0,0
2010-04-23,26.97,27.54,26.72,27.4,5048000,0.0,0
2010-04-26,27.53,27.67,26.14,26.29,6694300,0.0,0
2010-04-27,26.11,26.72,24.94,25.35,7658300,0.0,0
2010-04-28,25.73,26.08,25.07,25.27,6247200,0.0,0
2010-04-29,25.48,26.58,25.48,26.36,3457100,0.0,0
