Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-02-01,29.89,30.12,28.91,29.42,66789100,0.0,0
2013-02-04,29.5,30.35,29.19,29.43,7695400,0.0,0
2013-02-05,29.65,30.34,29.27,29.45,5013200,0.0,0
2013-02-06,29.39,29.82,29.18,29.44,2126100,0.0,0
2013-02-07,29.41,31.06,29.41,30.36,3800800,0.0,0
2013-02-08,30.66,31.77,30.65,31.36,2599300,0.0,0
2013-02-11,31.37,31.79,31.2,31.56,1487200,0.0,0
2013-02-12,31.69,32.26,31.45,32.01,1637300,0.0,0
2013-02-13,32.07,32.07,31.31,31.83,1269700,0.0,0
2013-02-14,31.68,31.74,31.09,31.57,2954500,0.0,0
2013-02-15,31.61,32.35,31.31,32.24,5415400,0.0,0
2013-02-19,32.28,32.33,31.85,32.11,1206900,0.0,0
2013-02-20,32.11,32.15,30.93,31.05,1842900,0.0,0
2013-02-21,30.84,31.12,30.23,30.89,3242300,0.0,0
2013-02-22,31.1,31.24,30.84,30.92,954500,0.0,0
2013-02-25,31.01,31.02,30.36,30.43,818900,0.0,0
2013-02-26,30.41,30.74,30.35,30.4,1048700,0.0,0
2013-02-27,30.36,31.36,30.36,30.67,1343600,0.0,0
2013-02-28,30.89,31.83,30.89,31.74,2991400,0.0,0
2013-03-01,31.65,32.92,31.45,32.83,2334000,0.0,0
2013-03-04,33.02,33.1,32.49,32.59,865400,0.0,0
2013-03-05,32.65,32.72,32.02,32.54,1413400,0.0,0
2013-03-06,32.58,32.62,32.12,32.12,802000,0.0,0
2013-03-07,32.21,32.91,31.84,32.79,1320000,0.0,0
2013-03-08,32.29,32.91,32.07,32.35,1541100,0.0,0
2013-03-11,32.23,32.51,31.55,32.43,1729400,0.0,0
2013-03-12,32.37,32.49,31.88,32.09,1557600,0.0,0
2013-03-13,32.17,32.32,31.39,32.26,2240800,0.0,0
2013-03-14,32.57,33.61,32.54,32.87,1865200,0.0,0
2013-03-15,32.92,33.06,31.61,31.73,2692100,0.0,0
2013-03-18,31.07,31.25,30.97,31.16,2372000,0.0,0
2013-03-19,31.12,31.71,30.68,31.12,1336200,0.0,0
2013-03-20,31.22,31.82,30.84,31.8,1944000,0.0,0
2013-03-21,32.17,32.26,31.59,31.76,514500,0.0,0
2013-03-22,31.83,32.02,31.06,31.43,763300,0.0,0
2013-03-25,31.77,31.77,30.6,30.8,1324600,0.0,0
2013-03-26,31.06,31.11,30.36,30.85,1396500,0.0,0
2013-03-27,30.72,31.21,30.42,31.06,1896800,0.0,0
2013-03-28,31.17,31.79,30.96,31.69,7434900,0.0,0
2013-04-01,31.71,31.87,30.77,30.92,1466300,0.0,0
2013-04-02,30.99,31.43,30.8,30.88,712200,0.0,0
2013-04-03,31.0,31.29,30.7,30.87,1409700,0.0,0
2013-04-04,30.75,30.84,30.09,30.21,1946400,0.0,0
2013-04-05,30.11,30.43,29.01,30.32,3963500,0.0,0
2013-04-08,30.31,31.29,30.14,31.24,1965200,0.0,0
2013-04-09,31.36,31.87,30.89,31.73,2004400,0.0,0
2013-04-10,32.03,32.03,31.29,31.45,969500,0.0,0
2013-04-11,31.52,31.54,31.19,31.46,1826600,0.0,0
2013-04-12,31.28,31.64,30.93,31.53,723500,0.0,0
2013-04-15,31.38,31.53,30.52,30.59,839500,0.0,0
2013-04-16,30.7,31.66,30.64,31.51,2271200,0.0,0
2013-04-17,31.29,31.53,30.52,31.21,3140500,0.0,0
2013-04-18,31.41,31.41,30.72,30.81,799900,0.0,0
2013-04-19,31.04,31.11,30.18,31.04,2159300,0.0,0
2013-04-22,31.22,31.22,30.57,30.99,922100,0.0,0
2013-04-23,31.1,31.27,29.89,30.08,2731700,0.0,0
2013-04-24,30.01,30.07,28.86,29.05,4149300,0.0,0
2013-04-25,29.35,30.35,29.18,29.94,1520600,0.0,0
2013-04-26,29.99,31.01,29.99,30.97,1421800,0.0,0
2013-04-29,31.33,31.33,30.58,31.05,1711600,0.065,0
2013-04-30,32.02,33.03,31.31,31.39,3390300,0.0,0
2013-05-01,31.35,31.86,31.05,31.74,1393100,0.0,0
2013-05-02,31.73,32.2,31.48,31.64,696300,0.0,0
2013-05-03,31.96,31.98,31.37,31.57,998400,0.0,0
2013-05-06,31.71,31.84,31.14,31.32,503700,0.0,0
2013-05-07,31.45,31.45,30.7,31.26,700700,0.0,0
2013-05-08,31.37,31.79,31.11,31.62,1034100,0.0,0
2013-05-09,31.67,32.01,31.64,31.9,977200,0.0,0
2013-05-10,31.89,31.95,31.35,31.54,534100,0.0,0
